POA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
POA6000,7,18,33,0,0,59,4,0,9,0,0,14,0,0,14,0,0,12,5,5,17,0,0,23,10,3,34,0,0,49,10,11,131,0,0,152,13,18,197,0,0,226,29,46,196,0,0,275,18,32,86,0,0,141,28,37,76,0,0,145,32,19,52,0,0,98,3,11,38,0,0,55,161,191,889,0,0,1249
POA6003,0,0,10,0,0,10,0,0,0,0,0,0,0,0,5,0,0,9,0,0,6,0,0,12,3,0,15,0,0,15,0,11,40,0,0,53,4,13,69,0,0,85,9,12,45,0,0,61,8,3,26,0,0,39,8,12,14,0,0,35,19,3,6,0,0,35,5,0,17,0,0,22,64,63,257,0,0,389
POA6004,0,12,47,0,0,60,0,4,12,0,0,20,0,0,12,0,0,10,0,0,19,0,0,22,3,4,38,0,0,39,0,3,143,0,0,157,8,10,171,0,0,183,4,7,225,0,0,238,6,6,98,0,0,111,14,12,121,0,0,140,13,27,62,0,0,101,4,12,50,0,0,64,60,94,996,0,0,1149
POA6005,8,8,24,0,0,34,4,0,3,0,0,3,0,0,5,0,0,10,0,0,9,0,0,13,0,3,21,0,0,26,4,12,76,0,0,87,5,24,69,0,0,100,6,20,75,0,0,107,7,19,36,0,0,69,8,14,26,0,0,42,12,9,31,0,0,47,8,4,10,0,0,29,70,113,382,0,0,563
POA6006,46,11,3,0,0,64,11,3,0,0,0,14,12,4,0,0,0,15,14,4,6,0,0,16,22,5,4,0,0,33,55,24,31,0,0,109,77,32,43,0,0,153,163,52,23,0,0,234,139,41,13,0,0,191,235,31,5,0,0,274,198,21,5,0,0,226,40,11,4,0,0,50,1005,242,137,0,4,1386
POA6007,34,10,15,0,0,55,3,3,0,0,0,13,7,7,9,0,0,15,9,7,6,0,0,17,16,12,15,0,0,42,33,29,39,0,0,106,26,40,62,0,0,133,97,63,52,0,0,218,73,27,19,0,0,123,114,25,11,0,0,159,138,27,7,0,0,173,34,14,13,0,0,55,589,263,253,5,0,1105
POA6008,78,12,8,0,0,100,20,3,4,0,0,34,14,4,7,0,0,24,13,6,16,0,0,35,15,7,14,0,0,36,53,24,53,0,0,131,56,31,84,0,0,172,109,55,66,0,0,229,103,35,34,0,0,171,201,51,30,0,0,275,400,36,19,0,0,455,62,21,12,0,0,86,1122,295,340,3,0,1759
POA6009,97,11,12,0,0,124,10,0,3,0,0,15,13,5,0,0,0,15,14,9,0,0,0,21,16,7,8,0,0,23,49,14,15,0,0,75,34,14,18,0,0,63,94,26,15,0,0,135,59,19,11,0,0,88,133,27,9,0,0,175,626,30,17,0,0,666,98,10,6,0,0,110,1251,161,101,0,0,1511
POA6010,84,18,18,0,0,124,22,0,3,0,0,29,15,0,5,0,0,24,18,11,5,0,0,30,25,12,7,0,0,40,52,18,20,0,0,96,60,29,40,0,0,133,148,43,42,0,0,233,119,29,18,0,0,161,232,69,25,0,0,325,590,66,23,0,0,680,103,20,6,0,0,134,1461,331,209,0,0,2006
POA6011,55,5,5,0,0,70,6,0,0,0,0,8,4,3,0,0,0,12,13,0,3,0,0,13,7,3,0,0,0,15,23,6,20,0,0,44,23,9,6,0,0,33,60,4,10,0,0,80,27,9,6,0,0,42,57,22,8,0,0,87,384,34,9,0,0,423,67,3,5,0,0,76,737,92,72,0,0,904
POA6012,44,10,6,0,0,55,4,0,0,0,0,8,0,0,0,0,0,8,9,5,10,0,0,20,17,3,9,0,0,30,40,12,21,0,0,72,28,21,16,0,0,61,72,26,15,0,0,113,73,8,3,0,0,90,149,11,3,0,0,162,325,6,0,0,0,335,72,7,0,0,0,81,837,107,90,0,0,1035
POA6014,113,7,23,0,0,148,31,0,4,0,0,38,21,5,12,0,0,37,26,4,23,0,0,62,43,14,35,0,0,94,110,35,67,0,0,215,110,35,68,0,0,209,205,51,55,0,0,318,205,33,23,0,0,262,418,38,22,0,0,484,706,36,14,0,0,759,109,15,13,0,0,140,2107,280,364,0,6,2759
POA6015,67,0,0,0,0,68,6,0,0,0,0,6,0,0,0,0,0,0,8,0,3,0,0,14,14,0,0,0,0,14,41,0,0,0,0,40,25,0,0,0,0,25,52,5,0,0,0,59,31,0,0,0,0,35,72,3,0,0,0,80,341,7,0,0,0,351,61,3,0,0,0,66,718,16,9,0,0,745
POA6016,42,6,10,0,0,56,14,0,11,0,0,22,14,0,4,0,0,21,22,9,15,0,0,45,28,13,10,0,0,56,61,39,45,0,0,147,78,46,29,4,0,156,183,53,24,0,0,257,163,32,9,0,0,202,221,23,9,0,0,247,212,7,6,0,0,228,43,14,6,0,0,60,1077,250,164,6,0,1495
POA6017,8,17,0,0,0,25,0,4,3,0,0,13,0,5,5,0,0,15,0,5,10,0,0,15,8,16,9,0,0,28,7,66,26,0,0,99,32,81,21,0,0,140,23,68,11,0,0,108,18,21,0,0,0,36,16,12,0,0,0,28,3,4,0,0,0,10,9,16,4,0,0,31,126,318,92,0,0,542
POA6018,232,48,12,0,0,287,62,12,4,0,0,75,48,16,0,0,0,65,87,30,9,0,0,120,87,40,10,0,0,135,324,169,31,0,0,526,362,300,49,0,0,711,845,412,31,0,0,1285,608,180,8,0,0,794,869,140,14,0,0,1016,738,72,3,0,0,815,256,81,6,0,0,350,4513,1496,175,6,0,6197
POA6019,108,59,12,0,0,180,33,10,4,0,0,50,13,13,6,0,0,34,30,37,11,0,0,72,55,48,14,0,0,112,96,137,42,0,0,284,145,216,62,0,0,418,338,372,52,0,0,770,297,180,20,0,0,503,381,153,23,0,0,553,330,97,20,0,0,448,97,84,19,0,0,199,1927,1399,278,0,0,3611
POA6020,143,18,0,0,0,161,33,16,0,0,0,52,28,4,4,0,0,36,54,8,3,0,0,66,66,10,0,0,0,75,172,34,6,0,0,205,213,43,9,0,0,268,390,82,6,0,0,469,381,55,0,0,0,438,520,47,0,0,0,566,452,37,5,0,0,490,180,18,4,0,0,204,2631,377,41,0,0,3036
POA6021,122,32,0,0,0,151,21,16,0,0,0,39,30,8,0,0,0,40,48,27,0,0,0,72,65,41,0,0,0,103,177,160,0,0,0,335,214,219,3,0,0,434,430,190,9,0,0,627,257,57,0,0,0,318,341,39,0,0,0,379,269,14,0,0,0,282,136,31,0,0,0,173,2108,838,18,0,0,2963
POA6022,37,0,0,0,0,37,10,0,0,0,0,12,8,0,0,0,0,14,18,0,0,0,0,17,20,0,0,0,0,19,81,10,0,0,0,88,115,15,0,0,0,127,223,30,0,0,0,251,95,8,0,0,0,99,81,3,0,0,0,82,41,0,0,0,0,37,51,0,0,0,0,55,778,66,0,0,0,852
POA6023,110,5,0,0,0,115,34,3,0,0,0,37,26,0,0,0,0,30,49,0,0,0,0,52,61,0,0,0,0,69,182,12,4,0,0,195,239,25,3,0,0,262,523,27,0,0,0,548,420,12,0,0,0,434,376,7,0,0,0,380,215,0,0,0,0,215,116,7,0,0,0,129,2355,93,12,0,0,2462
POA6024,105,5,0,0,0,113,30,5,0,0,0,37,25,0,0,0,0,29,49,3,0,0,0,53,68,0,0,0,0,74,220,22,7,0,0,246,360,44,0,0,0,402,659,30,0,0,0,691,302,12,0,0,0,316,177,8,0,0,0,178,97,4,0,0,0,103,109,7,0,0,0,123,2201,141,6,0,0,2352
POA6025,246,21,3,0,0,266,81,6,0,0,0,87,63,7,0,0,0,69,110,14,0,0,0,120,137,19,3,0,0,161,427,45,11,0,0,482,657,90,14,0,0,753,1195,78,4,0,0,1282,663,30,0,0,0,693,607,12,0,0,0,623,433,6,0,0,0,435,294,22,6,0,0,319,4902,353,37,0,0,5290
POA6026,165,17,0,0,0,185,61,4,0,0,0,58,60,0,0,0,0,57,70,6,0,0,0,75,120,6,0,0,0,125,315,25,0,0,0,340,410,47,0,0,0,463,965,51,0,0,0,1013,567,15,0,0,0,584,388,11,0,0,0,398,183,8,0,0,0,189,184,6,0,0,0,192,3479,198,0,5,0,3684
POA6027,306,19,7,0,0,335,104,8,5,0,0,117,77,10,3,0,0,93,140,15,13,0,0,166,205,8,11,0,0,220,596,74,46,0,0,709,919,83,43,0,0,1041,1685,78,16,0,0,1779,852,24,10,0,0,895,669,19,9,0,0,692,432,8,0,0,0,439,382,14,4,0,0,402,6372,361,156,0,0,6892
POA6028,184,4,0,0,0,192,62,3,0,0,0,69,45,6,0,0,0,45,74,0,0,0,0,81,123,0,7,0,0,124,345,13,17,0,0,378,524,22,13,0,0,554,1009,8,3,0,0,1023,616,3,7,0,0,627,581,3,8,0,0,585,437,0,0,0,0,442,253,4,0,0,0,263,4250,69,48,0,0,4367
POA6029,17,0,0,0,0,17,4,0,0,0,0,6,4,0,0,0,0,8,5,0,0,0,0,3,9,0,0,0,0,9,13,0,0,0,0,12,6,9,0,0,0,16,32,0,4,0,0,37,41,10,0,0,0,53,71,0,0,0,0,76,101,0,0,0,0,101,35,6,0,0,0,33,337,29,4,0,0,365
POA6030,245,13,0,0,0,257,91,3,0,0,0,98,82,8,0,0,0,97,151,11,0,0,0,157,238,11,3,0,0,249,956,43,15,0,0,1012,1463,43,7,0,0,1516,1748,50,8,0,0,1802,732,9,3,0,0,745,556,9,0,0,0,562,309,6,6,0,0,327,392,17,6,0,0,417,6963,225,44,0,3,7235
