Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value
2023-09-30,Priority Applications,Priority,Applications,Number,,Actual,-,-,N,4875.0
2023-09-30,Priority Applications,Priority,Applications,12 month rolling average,,Actual,-,-,N,4602.153846153846
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,-,-,N,272.84615384615427
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,-,-,N,5.9286621648726445
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Actual,-,-,N,53.0
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Percentage,-,-,N,1.0991289921194525
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Actual,-,-,N,618.0
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Percentage,-,-,N,14.517265680056376
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,-,-,N,424.0
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,-,-,N,9.525949224893282
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,-,-,N,105.0
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,-,-,N,2.20125786163522
2023-09-30,Priority Applications,Priority,Applications,12 month rolling average,,Actual,change from prior month,Actual,N,49.2307692307686
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,N,3.769230769231399
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,0.018680411814597342
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Actual,change from prior month,Actual,N,-1.0
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Percentage,change from prior month,Actual,N,-0.03342134345101733
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior month,Actual,N,31.0
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior month,Actual,N,0.6565809102806952
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,N,53.0
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,N,1.1907436531116602
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior month,Actual,N,53.0
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,N,1.1111111111111112
2023-09-30,Priority Applications,Priority,Applications,Number,,Actual,change from prior month,Percentage,N,1.0991289921194525
2023-09-30,Priority Applications,Priority,Applications,12 month rolling average,,Actual,change from prior month,Percentage,N,1.0813002635669253
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,1.400800457404466
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,0.316082394077298
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Actual,change from prior month,Percentage,N,-1.8518518518518516
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Percentage,change from prior month,Percentage,N,-2.950980843971308
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior month,Percentage,N,5.281090289608177
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior month,Percentage,N,4.73700196769803
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Percentage,N,14.285714285714285
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,14.285714285714285
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior month,Percentage,N,101.92307692307692
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Percentage,N,101.92307692307693
2023-09-30,Priority Applications,Priority,Applications,12 month rolling average,,Actual,change from prior year,Actual,N,657.3076923076919
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-39.30769230769192
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-1.9842914454855638
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Actual,change from prior year,Actual,N,31.0
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Percentage,change from prior year,Actual,N,0.579648472638933
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior year,Actual,N,7.0
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior year,Actual,N,-2.2408253786380854
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior year,Actual,N,-74.0
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-3.7222550847635425
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior year,Actual,N,-11.0
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior year,Actual,N,-0.5999978736944107
2023-09-30,Priority Applications,Priority,Applications,Number,,Actual,change from prior year,Percentage,N,14.517265680056376
2023-09-30,Priority Applications,Priority,Applications,12 month rolling average,,Actual,change from prior year,Percentage,N,16.66244174482771
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-12.592410054213774
2023-09-30,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-25.07649536688915
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Actual,change from prior year,Percentage,N,140.9090909090909
2023-09-30,Priority Applications,Priority,Applications,Difference,prior month,Percentage,change from prior year,Percentage,N,111.58233098299462
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior year,Percentage,N,1.1456628477905073
2023-09-30,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior year,Percentage,N,-13.37160283226589
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior year,Percentage,N,-14.859437751004014
2023-09-30,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-28.09629892294409
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior year,Percentage,N,-9.482758620689655
2023-09-30,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-21.418889611797884
2023-09-30,Total Applications,Total,Applications,Number,,Actual,-,-,N,19114.0
2023-09-30,Total Applications,Total,Applications,12 month rolling average,,Actual,-,-,N,19044.384615384617
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,-,-,N,69.61538461538294
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,-,-,N,0.36554284121706704
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Actual,-,-,N,65.0
2023-09-30,Total Applications,Total,Applications,Difference,prior month,Percentage,-,-,N,0.3412252611685653
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Actual,-,-,N,139.0
2023-09-30,Total Applications,Total,Applications,Difference,prior year,Percentage,-,-,N,0.7325428194993412
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Actual,-,-,N,14663.0
2023-09-30,Total Applications,Total,Applications,Difference,calendar year to date,Percentage,-,-,N,329.4315884070995
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Actual,-,-,N,52.0
2023-09-30,Total Applications,Total,Applications,Difference,financial year to date,Percentage,-,-,N,0.27279404049942296
2023-09-30,Total Applications,Total,Applications,12 month rolling average,,Actual,change from prior month,Actual,N,9.307692307695106
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,N,55.692307692304894
2023-09-30,Total Applications,Total,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,0.29239852465169197
