SOSR_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR501,34148,5293,39936,349223,119779,14559,483564,1078613,93700,1655875
SOSR511,1253,248,1523,12610,4465,730,17802,38169,4256,60227
SOSR512,2530,373,2918,18230,6147,1036,25417,62983,8455,96858
SOSR513,429,74,503,11894,2834,672,15408,29099,7271,51774
SOSR514,454,111,567,4671,1572,267,6508,14119,2060,22690
SOSR515,1474,342,1831,13762,4477,902,19141,46108,8493,73743
SOSR521,633,114,754,5007,2116,365,7490,19545,3766,30808
SOSR522,286,84,375,2693,1570,412,4676,10690,2043,17404
SOSR531,1459,163,1649,22671,9678,1289,33636,84053,19374,137066
SOSR579,0,0,0,40,5,3,45,248,221,516
SOSR599,12,23,30,613,205,45,861,3063,3361,7285
