SOSR_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOSR501,17597,50564,102386,102342,78221,56410,41889,18584,4731,472717,2680,4442,12331,12661,12838,10758,5904,2632,583,64827,3344,5118,16564,18147,25522,30740,24303,11288,2983,138017,958,706,1995,2504,3050,4072,4929,3934,1530,23681,241,268,862,1262,1517,2256,3978,4997,2659,18034,49,146,701,875,991,922,786,618,352,5424,2137,3450,9999,9352,8053,6392,4856,4106,2532,50871,27009,64684,144835,147143,130190,111552,86638,46156,15371,773574,18410,52579,118404,116193,87137,62291,39934,17303,5575,517827,1722,3254,9526,9903,12902,13882,7997,3348,958,63500,2489,3908,12535,14047,22797,29589,30962,15610,5676,137615,703,505,1366,1900,2388,3631,5455,4743,2551,23248,201,179,770,1319,1793,2579,4858,5971,4293,21978,44,88,616,987,1103,1239,1089,928,791,6880,2007,2900,7612,6248,5186,4735,5238,5396,4697,44024,25574,63425,150840,150593,133310,117957,95534,53298,24536,815069,36004,103147,220792,218537,165355,118698,81822,35887,10302,990545,4406,7699,21853,22561,25740,24635,13899,5983,1543,128318,5834,9026,29097,32192,48322,60333,55266,26893,8666,275632,1657,1210,3359,4408,5440,7710,10388,8675,4080,46927
SOSR511,479,1167,2251,2372,2024,1520,1183,486,133,11610,179,265,639,712,655,472,272,102,24,3324,238,346,1123,1259,1484,1836,1431,631,114,8464,54,39,142,135,165,277,318,242,72,1440,14,11,31,32,43,94,214,266,129,832,3,0,18,14,21,27,15,14,12,117,98,127,358,353,358,327,260,152,105,2142,1063,1951,4567,4877,4750,4552,3690,1901,581,27934,546,1351,3019,3143,2604,1857,1147,516,155,14340,116,149,557,637,666,710,432,141,43,3455,177,237,769,908,1395,1750,1626,792,241,7899,36,37,89,102,99,174,320,253,120,1235,6,15,26,37,47,78,179,283,183,853,3,0,8,3,7,21,15,16,17,89,76,93,282,208,223,238,248,217,174,1782,960,1888,4758,5039,5046,4822,3971,2222,939,29647,1029,2522,5276,5513,4621,3374,2329,1003,288,25947,293,416,1197,1351,1324,1182,702,238,65,6784,417,578,1893,2169,2886,3587,3062,1420,360,16367,90,76,230,237,265,455,630,498,195,2672
SOSR512,694,1825,3745,3697,3119,2474,1953,851,234,18586,344,457,993,961,1004,791,494,173,48,5265,459,568,1664,1693,2308,2914,2239,984,236,13061,111,74,159,193,306,386,504,428,136,2302,19,26,60,85,116,228,385,511,296,1714,4,8,44,51,45,42,32,33,26,284,245,272,748,725,710,662,493,372,173,4395,1877,3229,7419,7401,7601,7492,6099,3354,1137,45615,761,1987,4681,4804,4125,3025,1966,917,325,22590,191,294,773,787,1098,1199,763,269,65,5438,290,441,1057,1312,2024,2489,2457,1230,392,11689,76,63,119,142,193,302,455,420,216,1983,20,13,32,60,75,150,304,486,373,1515,4,5,24,24,47,30,40,29,37,245,233,242,580,567,512,531,505,462,368,3999,1572,3044,7268,7694,8079,7730,6490,3810,1776,47463,1458,3814,8424,8496,7247,5500,3917,1767,558,41177,531,750,1761,1750,2106,1988,1259,444,116,10702,753,1018,2712,3005,4328,5401,4700,2213,623,24753,189,136,280,337,497,683,959,852,351,4282
SOSR513,382,1010,2783,2848,1940,1167,582,217,48,10975,172,202,646,677,610,470,143,55,3,2972,173,222,905,1103,1239,1228,583,211,33,5711,51,40,138,155,140,199,147,80,19,972,15,5,29,32,67,74,124,110,54,513,6,3,11,28,22,18,16,10,3,114,261,305,856,821,718,556,224,135,47,3927,1061,1791,5367,5657,4737,3721,1824,814,207,25177,409,1095,3911,3518,2155,1251,597,226,52,13213,94,134,510,526,549,467,194,64,9,2557,116,174,670,730,872,883,573,230,60,4309,40,30,82,88,106,139,107,93,42,718,14,9,21,55,53,73,90,106,52,464,0,3,11,12,16,17,16,9,8,98,207,241,828,696,556,368,205,138,76,3319,885,1686,6029,5626,4307,3196,1773,863,300,24674,788,2100,6695,6361,4096,2421,1180,444,99,24182,264,338,1158,1204,1157,939,331,121,16,5531,289,397,1575,1835,2113,2116,1159,441,88,10020,88,75,219,242,243,342,251,169,58,1694
SOSR514,164,361,834,982,807,547,589,233,43,4566,63,88,234,255,252,186,125,53,8,1273,84,72,267,355,472,640,561,207,43,2698,16,15,31,41,57,100,149,85,17,511,9,17,35,20,24,38,85,92,50,373,0,0,5,6,5,3,9,9,0,35,81,62,181,191,213,153,131,104,60,1174,418,614,1583,1850,1829,1670,1657,779,226,10629,159,359,1105,1395,1042,702,540,226,56,5587,40,46,165,221,224,275,184,71,7,1237,50,61,201,302,452,601,606,258,78,2609,22,8,29,28,45,70,108,70,42,424,0,3,11,13,15,26,73,88,58,292,0,0,3,0,0,3,3,0,9,21,55,53,129,160,143,123,120,135,101,1009,330,533,1637,2121,1933,1799,1646,845,346,11177,323,721,1937,2379,1848,1249,1131,459,100,10147,104,140,398,474,481,465,309,116,22,2511,135,136,465,657,930,1235,1165,465,113,5312,39,17,60,75,102,171,256,151,62,939
SOSR515,455,1246,2856,2531,2121,1595,1414,621,130,12968,224,302,703,771,833,686,372,159,36,4087,262,365,1120,1326,1841,2309,1773,653,132,9783,87,58,155,230,250,425,466,319,110,2096,28,21,65,75,112,175,326,414,178,1395,4,4,41,33,44,38,36,32,22,251,316,290,809,791,789,709,543,351,149,4747,1376,2284,5750,5753,5994,5942,4933,2542,755,35337,499,1341,3791,3469,2602,2027,1415,604,185,15936,147,194,651,688,820,920,494,146,37,4108,180,291,839,1002,1448,1948,1874,726,267,8566,79,40,95,147,199,261,352,275,116,1563,24,15,41,61,93,131,233,359,210,1173,0,11,23,23,35,26,36,35,21,216,266,296,731,687,638,543,500,393,232,4292,1199,2190,6169,6088,5835,5862,4901,2538,1074,35849,954,2589,6645,6002,4724,3624,2827,1220,316,28903,370,503,1354,1462,1648,1606,869,310,72,8197,442,650,1957,2334,3283,4250,3641,1383,399,18352,166,98,249,370,453,686,812,594,220,3659
SOSR521,196,473,953,897,782,693,624,261,60,4934,80,115,257,256,312,271,164,70,7,1531,143,145,460,556,803,1181,899,315,69,4570,41,19,68,82,135,197,242,120,42,945,19,19,26,44,64,108,207,203,87,783,0,6,7,5,15,4,11,20,8,70,83,119,295,303,401,400,276,188,46,2111,558,894,2073,2137,2513,2859,2419,1178,320,14952,210,481,1259,1230,1004,882,574,279,74,5998,64,87,256,282,319,389,187,74,14,1674,102,128,371,455,724,891,887,327,98,3980,28,22,63,67,95,164,188,123,47,794,22,17,36,24,40,67,137,154,94,595,0,0,10,7,3,12,18,13,9,75,82,112,269,270,287,301,253,192,97,1865,502,847,2269,2337,2474,2704,2245,1168,436,14975,404,954,2212,2127,1793,1573,1199,539,131,10935,141,199,519,532,630,663,347,153,20,3208,241,272,832,1004,1530,2070,1788,642,166,8549,65,45,130,146,228,360,428,244,90,1738
SOSR522,106,255,526,443,390,394,432,147,36,2725,65,71,197,165,193,130,93,37,8,968,100,136,305,326,445,609,479,196,39,2634,44,20,52,71,74,115,125,78,18,596,20,14,32,31,49,71,108,124,45,506,4,4,4,7,11,15,8,8,0,66,59,53,148,154,181,199,183,102,30,1111,404,559,1259,1199,1349,1542,1432,691,176,8612,118,332,695,568,462,470,344,145,48,3177,51,82,178,184,191,204,112,33,7,1045,84,98,232,269,392,524,436,184,44,2263,23,27,36,48,54,63,88,79,17,443,9,16,24,15,23,58,84,80,37,355,4,4,0,5,10,10,21,20,9,78,52,65,129,114,127,181,146,102,46,962,345,615,1294,1215,1257,1518,1225,648,201,8314,226,587,1216,1017,851,863,773,296,77,5907,116,150,373,349,383,340,209,75,14,2009,190,233,534,596,840,1131,913,383,79,4899,62,50,90,123,130,182,211,154,33,1033
SOSR531,1083,2594,4460,5061,5368,4994,3817,1333,189,28893,326,437,995,1253,1573,1437,819,288,37,7167,477,703,2178,2622,3887,5082,3694,1243,188,20069,99,69,204,317,495,741,895,470,104,3379,34,23,102,114,199,317,629,584,197,2205,8,9,29,64,105,91,40,53,25,432,429,803,2094,2050,2099,1807,1151,534,109,11078,2456,4640,10054,11487,13721,14460,11046,4511,841,73217,1074,2181,4806,5991,6289,5659,3378,1052,199,30631,168,219,625,909,1438,1780,831,245,39,6257,243,246,872,1261,2539,3525,3003,1043,208,12939,81,34,94,124,222,435,511,355,105,1957,17,10,45,54,107,162,329,383,154,1266,3,5,12,24,27,22,33,37,16,179,353,374,853,945,1061,1075,836,442,91,6035,1944,3079,7305,9308,11681,12660,8922,3562,805,59260,2158,4771,9261,11052,11656,10648,7193,2390,389,59521,489,655,1622,2160,3008,3214,1650,535,74,13421,721,949,3051,3877,6425,8610,6697,2284,389,33008,183,102,291,441,719,1175,1400,825,202,5333
SOSR579,0,9,34,47,28,19,6,0,0,139,0,0,8,16,12,3,0,0,0,38,0,0,8,27,15,10,0,0,0,59,0,0,6,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,44,72,45,20,4,0,0,197,7,25,99,157,99,55,14,0,0,453,0,9,8,9,6,0,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,0,0,0,0,20,3,11,14,11,9,3,4,0,0,61,3,13,49,54,34,18,4,0,0,173,0,0,8,16,12,3,0,0,0,38,0,0,11,27,15,13,0,0,0,61,0,0,6,0,0,0,0,0,0,16
