SOSR_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR501,323,576,4505,3121,637,6139,2092,8783,424,26585,1666,5505,12020,5979,2528,5751,4886,8194,937,47456,10672,27529,31615,8468,6773,5601,13257,11973,2454,118342,20930,30851,29410,6544,7254,4213,13717,9139,2323,124376,21231,23398,23988,5383,6447,3888,12760,7908,1968,106970,14810,16209,17112,3972,5413,3190,11372,6862,1310,80244,4261,5939,4086,1052,1693,1411,3067,2399,456,24362,634,921,313,85,227,218,224,354,145,3132,37,52,10,4,28,21,4,20,48,235,74556,110981,123062,34610,30998,30429,61386,55633,10055,531710,347,672,962,7867,1685,12540,417,3745,389,28619,2053,7555,2959,13876,7221,9011,983,3164,665,47486,9971,38151,7319,19427,19129,8070,2117,5850,1688,111712,13021,37575,5970,17399,21747,6580,1807,6087,1549,111734,12133,28444,4805,16203,22857,7176,1896,6801,1261,101583,7202,17901,3171,11427,18772,6051,1398,5620,835,72375,1532,4492,701,2423,5064,1583,301,1451,266,17809,153,347,48,140,434,137,23,156,114,1540,6,13,6,0,24,9,0,10,40,99,46414,135147,25932,88759,96928,51142,8945,32881,6813,492968
SOSR511,5,9,261,79,14,269,78,425,24,1159,30,66,529,81,44,118,215,360,21,1467,244,392,1308,154,102,168,545,576,72,3564,452,519,1278,158,148,106,705,465,86,3907,527,539,1077,170,173,133,727,376,78,3792,393,453,801,142,164,118,694,351,42,3153,114,158,172,40,57,48,179,93,20,880,27,14,9,6,3,9,14,6,5,90,0,0,0,3,0,3,0,0,4,10,1786,2156,5428,831,705,974,3150,2649,341,18015,15,16,44,325,86,570,19,198,19,1292,71,155,115,386,214,206,39,140,19,1357,222,818,269,584,589,344,85,294,38,3234,320,974,221,695,715,338,86,370,51,3767,332,840,226,765,836,363,94,389,49,3893,219,576,121,518,675,280,70,290,22,2777,50,149,26,101,151,46,17,70,10,611,11,10,0,7,4,3,3,8,4,46,0,0,0,0,0,0,0,0,0,3,1235,3529,1018,3382,3276,2162,406,1766,208,16983
SOSR512,20,23,540,143,30,469,106,600,36,1966,66,117,980,137,53,217,296,478,36,2383,389,691,2162,304,153,263,888,752,95,5694,792,777,1840,333,178,228,927,635,103,5810,848,817,1583,382,208,233,1167,569,114,5922,760,694,1184,334,243,208,1137,560,87,5204,307,222,290,88,74,78,334,179,37,1602,48,32,27,5,11,13,21,29,15,206,14,0,0,0,0,0,0,4,6,23,3237,3371,8609,1727,948,1711,4874,3805,528,28812,22,35,111,575,106,851,35,276,24,2046,83,339,197,563,315,332,86,218,26,2153,356,1309,380,949,900,460,180,394,45,4978,560,1434,293,1087,1106,476,164,472,64,5656,649,1405,319,1159,1282,554,220,586,71,6236,457,915,200,879,1083,502,140,534,64,4774,150,210,47,178,309,120,28,150,20,1209,19,21,4,7,25,6,0,13,11,108,5,0,0,0,0,0,0,0,5,11,2301,5668,1547,5398,5124,3306,857,2636,331,27169
SOSR513,14,11,237,71,14,213,60,264,31,909,40,52,498,72,33,89,154,222,30,1200,329,483,1619,237,141,130,589,493,112,4128,623,551,1589,225,193,109,675,382,136,4476,565,421,1058,205,156,95,673,297,116,3601,381,303,629,123,124,83,604,255,53,2562,90,79,123,29,41,27,125,60,13,592,24,0,4,0,3,7,5,7,5,53,4,0,0,0,0,0,0,0,0,9,2068,1910,5761,963,710,747,2888,1980,502,17522,12,15,58,194,96,338,23,132,30,904,41,178,82,254,234,148,51,88,18,1104,378,1077,298,641,773,307,167,307,55,4020,437,971,241,706,886,252,120,321,78,4016,396,624,162,524,689,258,112,281,40,3085,242,399,83,316,424,203,62,211,34,1981,60,96,11,60,115,37,7,43,3,435,7,6,0,8,3,4,0,6,0,37,0,0,0,0,0,0,0,0,0,3,1577,3372,952,2701,3222,1545,539,1394,259,15573
SOSR514,0,5,96,45,6,101,13,142,4,410,14,10,171,30,8,30,37,128,5,440,107,100,474,74,34,40,133,232,19,1215,186,205,492,80,36,44,185,196,31,1461,215,201,421,52,35,54,239,165,26,1412,158,128,271,52,33,49,221,149,31,1077,70,65,60,12,20,23,74,45,9,373,12,6,5,4,0,0,8,8,3,45,0,0,0,0,0,0,0,0,0,5,764,718,1990,349,171,341,905,1062,132,6436,3,4,25,115,15,142,7,65,8,390,16,26,22,101,58,71,9,52,11,368,105,236,100,239,151,102,38,121,11,1099,196,378,104,291,247,153,31,140,24,1576,177,281,83,273,278,150,32,162,13,1445,98,179,61,163,208,135,24,119,12,1001,28,54,15,44,55,39,6,28,3,269,7,9,0,5,3,4,0,3,0,26,0,0,0,0,0,0,0,0,0,0,637,1169,410,1232,1014,793,152,695,78,6175
SOSR515,18,10,307,85,15,230,71,389,35,1163,50,126,633,86,40,96,184,348,30,1590,303,401,1607,277,103,155,673,757,95,4376,497,444,1426,245,152,99,860,547,115,4376,631,419,1209,230,145,130,1041,502,112,4426,515,362,914,224,147,134,965,512,98,3870,238,146,223,73,53,58,270,180,29,1263,71,15,17,4,16,19,12,42,15,199,0,0,0,0,0,0,0,0,8,11,2316,1934,6330,1231,676,916,4079,3266,527,21270,9,14,62,321,77,391,27,186,27,1111,54,181,135,339,240,180,75,182,26,1411,317,955,346,753,717,294,185,418,70,4045,439,915,304,712,812,338,204,444,64,4220,452,764,249,729,822,361,198,506,64,4139,359,565,192,622,693,323,124,450,55,3379,130,155,37,125,184,88,29,103,20,876,19,10,4,11,13,8,0,17,16,98,0,0,0,0,0,3,0,0,0,7,1764,3559,1337,3612,3560,1983,846,2307,328,19294
SOSR521,5,4,111,22,3,58,32,129,12,381,24,40,188,32,11,36,79,136,11,552,150,120,470,106,33,38,243,215,28,1408,194,147,461,108,43,34,288,153,36,1460,240,166,437,97,49,35,372,206,47,1647,277,147,357,81,79,49,500,210,44,1751,143,52,90,17,21,26,147,86,21,606,38,4,3,0,3,5,10,12,8,90,7,0,0,0,0,0,0,7,0,15,1078,694,2115,467,240,286,1675,1147,209,7915,7,3,26,90,21,94,9,94,11,349,19,52,29,100,81,61,24,60,9,428,91,270,89,267,241,95,54,174,21,1295,168,287,90,276,275,94,60,148,26,1422,195,285,90,287,302,140,78,221,17,1605,178,240,85,252,293,143,50,204,18,1456,69,55,17,59,70,38,16,56,15,392,18,3,0,4,9,4,6,14,3,54,0,0,0,0,0,0,0,0,0,3,743,1198,429,1320,1285,655,294,965,127,7011
SOSR522,3,5,56,11,10,15,10,35,7,149,15,13,94,27,0,12,38,61,10,280,79,88,228,70,11,25,117,125,33,766,133,75,184,38,17,17,146,103,15,726,158,68,198,58,28,26,177,122,28,853,168,75,173,49,31,25,230,120,31,896,93,38,59,7,19,12,70,52,11,361,25,10,0,0,4,4,10,7,3,67,4,0,0,0,0,0,0,0,6,10,673,365,982,265,119,129,808,635,136,4113,3,5,17,54,11,43,0,36,3,164,18,38,13,84,49,33,16,28,7,284,48,149,50,157,122,44,22,71,7,674,98,143,53,118,139,59,17,59,13,696,106,126,45,160,130,62,27,81,21,753,114,136,38,142,135,51,35,104,11,776,41,41,10,26,44,13,12,28,11,225,4,0,0,8,8,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,425,642,225,751,646,309,132,418,75,3609
SOSR531,78,23,643,142,23,318,174,718,55,2186,244,141,1031,188,63,170,434,683,51,3006,1140,569,2000,241,102,137,990,1036,122,6351,2137,746,2228,200,159,156,1247,841,133,7854,3103,926,2324,327,254,206,1764,925,208,10045,3178,957,1971,279,276,231,1814,1018,190,9908,1931,382,537,73,108,116,541,398,76,4154,636,54,46,13,25,22,43,87,53,968,94,0,0,0,0,0,0,9,14,125,12547,3806,10771,1469,1011,1360,7003,5722,905,44592,30,22,116,550,118,654,48,441,50,2027,93,265,207,502,290,279,127,318,71,2139,561,1124,371,691,870,284,210,581,72,4769,1181,1563,465,865,1395,364,222,544,96,6690,1745,1729,478,1158,1853,579,289,709,142,8680,1693,1403,385,1045,1771,514,261,718,98,7890,888,388,91,216,486,135,46,246,54,2551,229,26,15,11,58,7,9,49,24,433,22,0,0,0,0,0,0,0,0,27,6447,6518,2127,5038,6830,2810,1212,3600,606,35194
SOSR579,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,6,0,12,0,3,15,0,0,0,5,21,0,60,0,12,27,0,4,0,8,30,4,92,4,8,12,0,0,0,5,15,6,55,0,9,13,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,77,0,10,0,25,86,12,246,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,15,0,29
