SOSR_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOSR501,35,45,32,110,88,99,190,298,1196,18,1512,18,92,8,124,40,34,71,194,301,0,494,20,217,26,253,99,98,197,457,617,5,1078,42,395,38,473,176,179,350,820,1094,14,1930,76,674,53,810,172,259,431,1239,2052,22,3315,214,1700,166,2079,277,423,703,2779,2985,16,5786,561,2386,203,3148,207,271,483,3632,2738,13,6375,1435,2642,217,4298,138,191,340,4633,3347,29,8004,2610,2790,209,5608,143,140,281,5885,2938,22,8848,2952,2253,204,5401,130,100,229,5635,2156,19,7802,2890,1426,188,4501,90,65,149,4649,1493,16,6157,2774,1033,155,3962,53,45,97,4057,1124,11,5193,5189,1609,283,7082,77,48,128,7209,1588,16,8816,2156,665,137,2962,39,42,86,3049,829,3,3881,1823,415,110,2350,27,18,45,2396,340,7,2740,680,149,38,868,7,4,17,882,199,0,1079,2192,413,94,2703,36,17,51,2754,447,10,3208,2413,1303,316,4045,136,97,236,4276,1909,131,6317,88,57
SOSR511,0,0,0,6,0,5,7,14,26,0,43,0,0,0,0,0,0,0,3,8,0,14,0,12,0,14,4,4,7,24,16,0,38,0,22,0,20,8,10,13,39,60,0,93,3,36,3,40,3,10,17,56,102,0,164,18,83,8,109,11,22,38,145,175,0,318,33,149,15,195,12,13,24,217,131,0,353,82,145,15,239,8,0,14,257,153,0,409,139,139,20,298,0,5,8,303,126,0,430,122,103,3,225,0,5,9,238,91,0,330,107,61,16,179,0,3,3,184,46,0,224,110,34,6,156,0,0,3,156,41,0,198,200,37,16,254,3,5,10,255,45,0,303,65,25,10,96,0,0,0,95,21,0,119,54,7,4,65,0,0,0,68,10,0,81,21,5,0,22,0,0,0,23,3,0,32,33,7,0,41,0,0,0,39,13,0,54,119,60,14,190,9,0,10,198,81,5,289,3,5
SOSR512,0,6,0,0,5,3,8,12,62,0,75,0,9,0,14,0,3,3,14,16,0,31,3,10,0,13,14,7,19,33,46,0,85,0,19,0,26,10,12,19,49,80,7,135,4,58,7,67,15,16,32,102,166,3,271,15,130,12,160,7,20,27,191,234,5,431,53,214,17,283,15,14,26,312,199,0,510,113,176,13,301,10,8,16,321,231,0,556,187,196,25,406,5,0,7,415,199,0,619,200,122,17,336,6,8,15,346,110,0,458,182,95,11,280,0,6,3,284,73,0,361,172,47,10,231,0,4,3,237,45,0,280,265,58,22,340,0,0,0,343,82,3,427,99,40,11,143,0,0,0,147,42,0,191,86,13,3,104,0,0,0,107,16,0,122,34,6,0,45,6,0,6,46,3,0,43,70,12,10,93,0,0,0,90,12,0,104,165,82,14,257,8,4,12,267,126,10,401,5,4
SOSR513,0,0,0,4,4,3,5,11,39,0,50,0,0,0,0,4,0,3,6,8,0,16,0,9,0,9,5,4,8,20,25,0,46,0,15,3,17,9,8,16,33,54,0,86,4,21,0,26,4,4,13,36,85,0,121,3,35,9,46,8,15,24,70,83,0,147,22,63,3,92,0,9,7,98,66,0,162,54,64,3,115,0,6,8,121,85,0,213,75,53,5,134,3,0,11,140,68,0,212,96,38,8,142,0,4,8,147,49,0,197,110,31,5,147,0,0,4,154,22,0,176,107,23,4,131,0,4,3,134,22,0,159,199,33,14,249,0,0,5,251,37,0,281,51,9,0,61,0,0,0,62,12,0,78,67,10,9,87,0,0,0,87,5,0,94,32,0,3,37,0,0,0,37,4,0,42,69,15,0,82,0,0,0,83,16,0,99,76,39,19,134,3,6,9,143,69,8,220,3,3
SOSR514,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,5,0,6,0,0,0,7,3,5,6,15,6,0,17,0,9,0,9,4,4,4,12,19,0,32,0,14,0,16,6,4,8,26,46,0,74,7,37,0,48,3,8,11,55,59,0,121,11,55,5,77,0,0,5,74,49,0,125,23,66,7,99,7,4,9,108,57,0,160,51,57,3,114,5,5,7,121,43,0,163,45,43,3,89,0,0,0,94,38,0,125,36,18,0,58,0,0,3,59,28,0,85,22,18,0,38,0,0,0,36,7,0,46,51,10,3,69,0,0,0,69,27,0,93,22,10,6,36,0,0,0,36,6,0,44,13,7,5,30,0,0,6,28,0,0,32,4,0,0,4,0,0,0,4,3,0,9,11,0,0,18,0,0,0,18,10,0,22,39,24,8,69,0,0,5,70,23,0,99,0,0
SOSR515,0,6,0,5,4,8,3,10,33,5,49,0,3,0,3,0,4,0,8,15,0,23,0,16,0,18,13,9,17,27,46,0,76,0,21,0,27,16,15,26,51,66,0,124,4,40,3,45,14,15,28,71,126,0,205,11,94,15,121,14,27,46,165,154,0,325,31,136,15,191,10,5,10,203,152,0,356,71,107,8,189,3,12,14,204,157,3,363,111,126,11,253,7,5,14,263,121,3,390,128,80,10,211,5,5,7,223,95,0,320,110,50,9,165,0,0,0,168,48,0,215,106,20,10,142,0,0,0,140,38,0,176,164,56,8,231,0,0,0,236,41,6,281,60,19,4,86,4,0,4,85,12,0,104,60,10,5,77,0,0,0,78,7,0,90,26,4,6,27,0,0,0,27,6,0,29,34,7,4,48,0,0,6,50,8,0,58,115,73,17,195,4,7,9,204,114,10,329,4,0
SOSR521,0,0,0,0,0,4,4,4,21,0,20,0,3,0,7,0,0,0,6,20,0,30,0,8,0,7,0,4,6,13,55,0,68,0,12,0,14,0,8,10,20,54,3,75,4,17,0,18,8,5,12,33,72,3,99,3,47,6,53,3,14,18,75,85,0,159,14,41,9,59,5,5,8,64,94,0,162,36,52,9,92,0,0,3,96,110,0,209,37,40,4,86,0,0,0,85,79,0,159,38,29,0,66,4,0,4,75,42,0,116,33,16,3,48,3,0,4,54,27,0,75,24,9,6,31,0,0,6,37,23,0,63,51,15,0,67,0,0,0,64,10,0,82,17,11,5,29,0,0,0,29,18,0,52,9,7,5,22,0,0,0,22,0,0,22,11,0,0,10,0,0,0,10,5,0,12,15,3,6,21,0,0,0,21,14,0,33,45,35,10,86,3,0,3,92,72,6,170,5,0
SOSR522,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,3,0,3,4,4,0,4,5,3,7,13,55,0,66,0,10,0,14,5,4,10,17,54,0,73,0,14,0,13,0,5,5,15,53,0,75,3,26,0,33,5,3,6,45,52,0,96,8,26,3,39,7,7,12,50,59,0,108,9,20,0,36,0,0,7,42,55,0,98,24,20,0,46,3,3,3,50,47,0,95,22,8,4,32,0,0,0,36,27,0,65,17,6,0,22,0,0,3,20,10,0,31,18,7,0,25,0,0,0,26,7,0,33,35,4,0,43,0,0,0,43,8,0,45,6,0,0,10,0,0,0,10,3,0,17,3,0,0,8,0,0,0,8,4,0,5,3,0,0,9,0,0,0,9,0,0,9,4,0,0,4,0,0,0,4,0,0,11,19,16,4,34,4,0,0,43,45,3,88,0,0
SOSR531,4,6,0,11,0,0,3,13,41,0,53,0,0,0,3,0,0,0,4,19,0,23,6,15,0,23,0,4,3,27,50,0,83,6,22,3,36,5,8,15,49,82,0,129,12,45,3,59,11,6,21,85,147,0,227,20,66,11,93,13,10,23,117,131,0,255,34,95,9,134,5,4,12,148,124,3,275,66,105,7,183,5,3,10,191,171,3,358,92,98,4,204,7,6,8,213,134,4,347,106,73,8,196,5,0,3,199,107,0,304,107,52,9,163,4,3,8,169,50,0,220,89,40,13,140,3,0,3,143,52,3,200,149,59,16,216,3,4,10,225,68,3,292,82,31,7,116,0,0,3,117,36,0,153,58,14,4,77,0,0,0,77,13,0,89,26,8,7,43,0,0,0,43,9,0,58,70,17,7,94,0,0,3,95,16,0,111,156,103,15,273,3,12,12,288,144,10,444,7,7
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
