SOSR_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR501,9549,236,78,316,9866,1397,25,11284,63,7,0,76,154,0,0,0,156,7,172,333,43196,5323,1145,713,50376,856,219,1074,51453,2874,304,54636,9977,1154,217,48,11398,173,39,208,11608,527,22,12160,11886,1509,286,88,13775,142,32,173,13950,421,14,14383,327,60,66,4,456,3,0,3,458,27,3,489,98,15,0,106,216,9,0,9,229,16,33,273,22283,2744,569,247,25845,328,76,398,26241,986,75,27304,210,35,10,10,262,36,5,41,304,24,3,333,469,64,7,16,558,39,10,40,599,39,5,644,677,99,22,26,822,74,9,82,905,69,4,979,22963,2841,594,270,26669,403,80,481,27147,1056,82,28285,4465,723,168,122,5472,166,47,208,5682,961,15,6654,28,4,0,51,85,7,0,7,89,8,105,196,27459,3569,758,440,32218,569,131,691,32912,2016,202,35135,13288,1506,275,67,15140,241,57,304,15444,727,25,16192,14330,1865,310,109,16611,199,65,262,16868,633,19,17522
SOSR511,305,7,0,10,316,41,0,352,0,0,0,7,8,0,0,0,8,0,5,13,1513,175,61,33,1785,36,3,42,1822,108,8,1938,395,37,13,6,450,3,0,4,455,10,0,468,496,49,15,4,561,0,3,4,563,13,0,582,14,3,4,0,23,0,0,0,22,0,0,23,4,0,0,4,10,0,0,0,10,0,0,11,901,89,28,10,1034,8,0,8,1043,30,0,1075,9,3,0,0,10,3,0,3,15,0,0,14,16,0,0,0,16,0,0,4,17,5,0,18,21,3,0,0,27,3,0,4,29,0,0,33,928,90,28,10,1061,9,5,13,1076,33,0,1111,162,15,3,7,182,9,0,9,191,25,0,224,0,0,0,0,0,0,0,0,0,0,0,8,1096,108,35,18,1248,14,5,25,1271,64,4,1335,520,44,19,3,589,10,0,10,593,20,0,610,620,62,27,0,715,12,0,12,725,15,0,743
SOSR512,407,19,0,23,430,66,7,498,5,0,0,0,8,0,0,0,8,0,11,15,2257,303,81,41,2681,42,15,58,2738,163,16,2915,640,76,12,3,732,7,0,10,745,34,0,783,654,85,31,5,773,0,6,10,782,36,4,821,18,4,0,0,25,0,0,0,25,0,0,26,3,0,0,3,5,0,0,0,5,4,0,8,1320,166,45,11,1540,16,7,23,1555,78,4,1641,12,0,0,0,10,3,0,6,9,0,0,13,14,3,0,0,15,0,0,0,19,0,0,18,20,3,0,0,30,3,4,5,28,4,0,33,1336,169,47,13,1566,17,7,27,1586,79,4,1676,193,29,9,7,237,11,0,9,248,56,0,304,0,0,0,0,0,0,0,0,0,0,10,11,1527,201,51,21,1801,27,12,38,1840,138,15,1992,796,90,22,3,914,3,0,7,922,35,4,960,701,106,36,8,853,0,5,7,864,44,0,905
SOSR513,273,8,9,21,296,50,0,346,0,0,0,0,3,0,0,0,3,0,0,7,1539,134,92,45,1805,29,8,42,1843,98,6,1950,413,33,14,5,465,9,0,9,467,11,0,486,356,37,15,6,416,5,0,5,421,6,0,435,15,0,8,0,26,0,0,0,26,0,0,25,0,0,0,3,11,0,0,0,11,0,0,10,786,68,41,18,911,11,0,11,924,25,0,950,7,0,0,0,7,3,0,3,11,0,0,11,12,4,0,0,16,0,0,0,17,0,0,17,19,4,0,0,21,8,0,8,26,0,0,25,807,70,37,18,928,16,0,16,953,25,0,976,108,12,10,4,138,0,7,7,147,37,0,174,0,0,0,0,0,0,0,0,0,0,3,4,914,88,43,23,1069,16,7,28,1098,55,11,1162,415,26,15,3,469,9,0,9,470,15,0,487,310,39,11,0,362,3,0,3,370,10,0,377
SOSR514,92,0,0,4,94,22,0,112,0,0,0,0,0,0,0,0,0,0,0,0,535,87,31,17,667,6,0,6,676,39,7,727,99,25,0,0,125,0,0,3,128,5,0,137,162,23,16,0,205,0,0,0,204,11,0,215,7,0,0,0,6,0,0,0,6,0,0,6,0,0,0,3,5,0,0,0,5,0,0,6,268,48,22,4,339,5,3,4,348,17,4,360,5,0,0,0,5,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,5,0,0,9,6,0,0,0,6,3,0,3,9,0,0,12,275,54,22,4,351,3,3,4,353,12,4,376,31,4,3,0,45,0,0,0,45,13,0,59,0,0,0,0,0,0,0,0,0,0,0,0,303,56,20,5,394,3,3,4,403,33,3,437,126,22,3,0,150,4,0,4,157,5,0,162,166,30,17,0,216,4,0,4,217,4,0,229
SOSR515,300,11,3,12,318,79,0,399,0,3,0,0,3,0,0,0,3,0,8,12,1612,206,105,49,1961,32,8,39,2008,168,14,2185,423,35,9,5,481,0,0,3,481,25,0,511,397,69,23,7,497,6,0,11,506,21,0,526,18,4,9,0,25,0,0,0,25,0,0,25,3,0,0,10,17,0,0,0,17,0,0,17,844,105,38,20,1009,9,3,11,1028,49,0,1077,5,5,0,3,11,0,0,0,11,0,0,12,12,0,4,0,15,0,4,0,22,0,0,22,19,0,4,4,27,0,4,5,33,0,0,31,867,113,41,21,1040,13,5,17,1055,49,0,1107,153,24,4,16,197,4,0,5,200,67,7,264,5,0,0,3,4,0,0,0,4,0,6,12,1016,138,43,38,1241,18,9,23,1258,112,9,1383,496,47,14,14,569,5,0,3,572,24,0,600,407,64,17,8,496,11,0,13,509,20,0,531
SOSR521,123,7,0,7,138,83,5,220,3,0,0,0,4,0,0,0,3,0,8,16,507,83,32,20,638,22,6,24,662,125,13,796,118,20,3,0,143,3,0,0,147,13,0,162,123,27,9,0,154,0,0,3,158,8,0,167,5,0,0,0,9,0,0,0,9,0,0,10,0,0,0,3,3,0,0,0,3,0,0,3,245,47,13,3,310,4,3,4,316,26,0,344,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,7,4,0,13,251,41,13,3,314,7,3,8,321,27,0,354,41,5,3,4,60,8,0,4,64,49,0,114,0,0,0,0,0,0,0,0,0,0,5,7,291,50,24,10,370,12,6,15,388,79,6,468,121,19,5,0,150,0,0,0,150,14,0,166,125,30,10,3,161,3,0,3,163,14,0,180
SOSR522,67,9,0,5,75,91,0,165,0,0,0,0,0,0,0,0,0,0,3,5,274,52,9,11,350,21,3,23,374,113,9,499,46,8,0,3,56,0,0,0,56,4,0,58,53,7,3,0,64,0,0,0,67,13,0,78,0,7,0,0,7,0,0,0,7,0,0,8,5,0,0,0,5,0,0,0,5,6,0,7,105,20,3,3,132,0,0,0,132,24,0,153,0,0,0,0,4,5,0,5,3,0,0,6,0,0,0,0,4,0,0,0,4,9,0,12,3,0,0,0,6,5,0,7,10,12,0,17,106,21,3,5,138,0,0,3,140,27,0,175,22,13,0,0,43,6,0,6,49,61,0,101,0,0,0,0,0,0,0,0,0,0,5,8,136,30,5,6,179,8,0,9,191,92,5,284,55,7,0,0,59,0,0,0,60,3,0,66,50,8,6,0,69,4,0,4,64,3,0,74
SOSR531,586,17,4,21,609,141,0,752,0,4,0,5,9,0,0,0,9,0,15,24,3380,420,117,75,3993,46,6,52,4045,262,20,4332,721,86,24,3,841,9,3,9,853,42,0,895,883,147,31,20,1081,8,3,13,1089,40,4,1137,28,5,13,0,49,0,0,0,49,3,0,54,10,0,0,15,29,0,0,0,29,3,0,33,1649,241,67,33,1998,20,5,22,2018,91,4,2117,9,0,6,0,9,11,0,11,17,7,0,27,12,4,0,0,21,0,4,4,26,0,0,25,25,4,6,0,31,9,4,10,45,3,0,49,1672,248,74,35,2031,25,4,32,2059,94,4,2164,278,37,10,8,336,12,0,13,354,105,0,451,0,0,0,0,5,0,0,0,5,3,10,18,1951,285,89,52,2371,40,8,43,2417,201,10,2636,910,72,33,12,1019,12,0,10,1031,62,0,1094,976,164,52,11,1204,11,3,9,1215,47,5,1261
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
