SOSR_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR501,37732,264663,298046,95428,50308,746172,9043,755215
SOSR511,1209,9512,11150,3856,1854,27579,407,27979
SOSR512,2167,15499,16860,6005,3161,43692,752,44443
SOSR513,1023,6766,8862,3205,1598,21465,461,21923
SOSR514,446,3567,4172,1350,649,10177,198,10381
SOSR515,1678,11383,12241,4453,2407,32160,687,32849
SOSR521,992,4485,4746,1888,1121,13233,424,13658
SOSR522,828,2585,2460,930,514,7313,229,7539
SOSR531,1033,9396,18252,10777,10312,49766,972,50741
SOSR579,0,0,0,0,0,3,0,3
SOSR599,0,0,0,0,0,0,0,0
