SOSR_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR501,807849,848032,1655875,388718,225993,614708,115132,236707,351838,27866,30266,58128,29739,27543,57284,561453,520512,1081965,200560,289677,490236,5.3,5.3,5.3,69.5,61.4,65.3,65.8,58.1,61.9,50468,49477,99944,14441,27697,42135,132548,171851,304398,71879,90255,162134,180026,97407,277435,10343,14680,25025,10259,18969,29230,200628,131058,331686,805807,837814,1643619,135465,143754,279222,519265,538723,1057992,367420,391229,758655
SOSR511,29199,31028,60227,13585,7164,20751,3233,8672,11905,1199,1143,2343,948,879,1829,18960,17861,36824,8366,11616,19983,5,4.9,5,64.9,57.6,61.1,61.7,54.7,58.1,613,659,1279,324,738,1065,2312,4048,6361,1973,2939,4916,9023,5522,14544,534,870,1402,387,783,1169,9944,7172,17117,28577,30200,58779,5243,5753,10994,18955,19800,38754,12839,14343,27177
SOSR512,47455,49404,96858,21212,12475,33688,5636,12920,18558,1961,1772,3734,1375,1064,2434,30186,28226,58415,13282,17698,30982,4.5,3.8,4.2,63.6,57.1,60.3,60.7,55,57.8,997,1137,2131,482,1231,1710,3390,6210,9602,3036,4777,7809,13866,7362,21225,873,1326,2197,612,1089,1697,15355,9771,25125,44282,46368,90657,9033,9417,18453,28514,29382,57898,21737,23449,45190
SOSR513,26160,25619,51774,13784,8535,22322,2345,5784,8131,1387,1253,2640,682,633,1322,18208,16211,34412,4215,6268,10483,3.8,3.9,3.8,69.6,63.3,66.5,67,60.8,63.9,515,763,1278,276,727,1008,1873,3808,5687,1759,2505,4269,8140,3556,11692,377,696,1074,321,486,811,8842,4740,13582,23091,22601,45695,6239,6605,12841,11963,11383,23338,15066,15697,30767
SOSR514,11094,11600,22690,4438,2351,6782,1465,3357,4817,532,474,1010,336,298,637,6769,6478,13248,3254,4237,7496,4.9,4.6,4.8,61,55.8,58.4,58,53.3,55.6,241,268,511,108,290,402,990,1643,2639,707,1202,1909,3115,1598,4709,161,268,434,178,269,443,3457,2136,5588,10531,10960,21489,2089,2204,4299,6813,6888,13698,5021,5553,10579
SOSR515,36634,37107,73743,15699,9131,24825,3772,8593,12366,1798,1570,3371,1057,879,1938,22328,20171,42501,9978,13098,23072,4.7,4.4,4.6,60.9,54.4,57.6,58.1,52,55,533,681,1216,302,771,1070,2212,4250,6465,1943,3335,5281,10396,5242,15637,569,963,1536,479,732,1208,11444,6941,18381,33183,33235,66418,7076,7524,14599,21000,20576,41572,16759,17795,34560
SOSR521,15377,15431,30808,5734,3227,8965,1416,3138,4555,765,645,1410,484,394,875,8400,7400,15802,5064,6356,11415,5.8,5.3,5.5,54.6,48,51.3,51.5,45.5,48.5,194,251,444,101,269,369,721,1564,2287,779,1184,1963,3844,1952,5791,205,357,560,174,298,474,4218,2601,6824,13928,13871,27799,2611,2681,5297,9622,9434,19057,5912,6189,12094
SOSR522,8847,8560,17404,2952,1677,4635,780,1620,2399,376,316,688,369,271,644,4479,3885,8369,3320,3790,7112,8.3,7.1,7.7,50.7,45.4,48.1,46.5,42.2,44.4,99,136,231,48,138,188,403,761,1168,403,593,991,1948,975,2926,133,185,322,107,169,269,2192,1328,3518,8308,8096,16404,1308,1358,2663,5976,5768,11746,3028,3136,6167
SOSR531,75535,61530,137066,33138,15383,48517,7933,16981,24913,3526,2834,6357,1505,1144,2649,46098,36343,82437,19531,19560,39083,3.3,3.2,3.2,61,59.1,60.1,59,57.2,58.2,1230,1502,2729,557,1555,2121,5448,8944,14392,4658,6358,11018,19452,8066,27519,918,1386,2305,984,1488,2465,21348,10939,32289,64829,58259,123084,9603,8670,18275,47928,42673,90602,23289,21308,44601
SOSR579,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
