SOSR_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOSR501,159,289,694,702,704,648,354,119,11,3685,324,2408,12678,15190,12564,7389,1350,79,3,51988,1268,2878,7564,9162,9188,7181,1710,189,8,39152,114,350,1598,2108,1968,1507,291,20,0,7958,2862,6734,18672,18669,14986,10825,2544,200,17,75508,492,1213,3664,4386,4174,3065,818,101,10,17915,5818,7407,8461,6339,5049,3816,1495,203,13,38615,8585,5636,6452,4319,2591,1989,592,73,3,30246,671,2252,7348,8255,7610,7088,2220,192,4,35653,207,510,1269,1440,1111,702,210,38,0,5488,54,580,2433,3198,2854,1759,592,118,8,11597,110,418,1286,1561,1577,1261,729,188,21,7159,364,2946,10462,13151,10173,6426,2467,385,28,46400,544,1515,3443,3276,2891,2517,904,124,10,15220,290,1754,6651,7684,7702,6300,1600,166,8,32147,871,1799,4730,4909,4789,4578,1745,186,12,23622,378,2311,7104,7261,6168,5007,1877,244,9,30366,1177,1384,2019,1596,1216,944,405,81,6,8819,980,2097,4558,4047,3621,3004,1102,158,11,19575,1311,2991,7245,7129,6014,4237,1362,268,52,30609
SOSR511,23,27,68,53,63,61,36,11,0,338,20,120,487,633,581,394,58,0,0,2301,92,206,526,645,592,396,68,3,0,2538,9,24,97,130,148,138,24,0,0,577,136,341,716,732,634,540,143,11,0,3255,14,43,77,109,106,76,10,0,0,438,234,168,266,197,174,156,45,7,0,1247,399,93,139,100,59,54,11,0,0,863,11,57,148,196,266,286,88,8,0,1068,11,14,32,21,20,13,10,0,0,112,3,7,22,25,53,32,12,6,0,159,9,7,32,28,44,37,18,5,3,172,14,29,130,139,133,101,61,7,0,620,15,29,64,80,76,73,29,0,0,370,12,43,131,164,205,205,51,3,0,807,10,25,91,115,143,144,67,0,0,598,17,59,192,209,195,184,54,6,0,924,24,9,23,17,16,20,6,0,0,121,43,86,147,140,138,112,34,5,0,709,59,75,183,171,147,123,38,8,4,808
SOSR512,45,79,183,177,186,211,123,32,11,1057,95,342,1197,1274,1140,784,119,5,0,4968,101,168,389,388,343,290,72,4,0,1760,7,28,70,119,121,126,21,0,0,494,249,445,953,840,771,726,181,13,0,4175,29,71,181,202,230,157,42,6,0,920,438,315,413,358,324,297,110,19,0,2276,596,221,312,254,153,134,68,11,0,1740,30,84,266,327,536,555,213,17,0,2026,13,15,36,34,27,29,6,0,0,155,0,13,25,52,63,45,16,4,0,222,7,23,72,57,65,63,36,11,0,324,28,58,192,197,226,194,82,13,0,994,21,54,120,131,147,164,40,8,0,689,19,54,245,351,456,408,108,8,0,1649,24,38,187,224,274,258,89,10,0,1113,25,65,275,318,350,338,102,12,0,1488,29,22,34,33,30,32,14,9,0,213,92,165,282,250,233,193,73,8,0,1304,102,119,266,231,238,192,82,18,6,1256
SOSR513,23,33,115,84,89,70,31,9,4,455,40,170,907,1250,791,464,48,0,0,3669,41,61,205,197,160,81,19,4,0,769,15,22,73,102,99,79,11,0,0,408,114,222,691,609,475,362,88,0,0,2568,26,34,124,136,113,99,14,0,0,553,188,120,191,156,134,112,29,5,0,937,217,89,206,145,86,87,29,3,0,857,37,75,356,435,426,323,84,4,0,1746,3,9,20,22,14,11,0,0,0,84,0,9,13,27,13,13,3,0,0,79,4,10,48,52,66,38,9,4,0,232,16,22,96,117,84,65,19,0,0,426,25,34,114,97,108,78,21,0,0,478,15,41,221,291,297,180,40,0,0,1092,4,25,147,157,151,122,24,5,0,636,14,30,151,150,141,140,50,0,0,678,20,9,20,20,18,13,12,0,0,121,50,84,173,182,127,76,20,0,0,717,53,101,245,238,203,140,32,10,0,1017
SOSR514,3,19,64,41,57,27,16,9,0,246,8,44,171,247,264,147,36,0,0,910,34,43,146,145,134,85,25,3,0,615,5,16,32,59,64,47,6,0,0,238,66,71,210,275,223,166,33,6,0,1052,3,10,23,27,49,24,11,0,0,149,86,59,70,65,67,70,24,0,0,440,128,59,142,126,60,49,30,0,0,588,5,9,34,32,53,79,40,3,0,253,0,0,3,7,7,11,0,0,0,29,0,0,0,7,19,8,4,0,0,50,0,0,11,16,21,16,12,0,0,70,0,5,40,50,56,51,15,4,0,215,6,4,40,45,49,41,10,3,0,210,4,16,42,62,64,83,19,0,0,291,5,6,30,63,53,47,15,4,0,221,4,11,37,61,42,56,18,0,0,233,15,6,16,14,16,5,4,3,0,76,20,28,50,53,45,28,15,0,0,244,16,36,53,64,73,51,18,3,0,316
SOSR515,71,117,332,271,248,225,146,49,6,1465,44,178,922,1216,1057,713,105,3,0,4231,77,147,345,365,339,296,79,10,0,1665,14,24,91,104,107,107,21,0,0,473,179,257,647,563,554,479,163,12,0,2848,35,52,134,125,123,119,31,3,0,626,268,145,245,169,194,169,69,14,0,1268,201,84,155,129,116,126,41,12,0,863,34,81,208,201,278,323,134,14,3,1274,8,11,25,22,10,7,8,0,0,89,3,7,17,30,34,16,9,0,0,103,5,15,24,23,39,41,21,8,0,176,7,30,120,109,117,89,37,7,0,515,19,38,113,104,130,113,40,4,0,562,28,94,294,303,354,358,99,6,0,1535,8,50,123,155,184,175,70,5,0,766,26,38,156,130,171,170,83,10,0,772,10,18,38,31,20,22,18,9,0,166,77,120,182,142,160,126,44,8,0,849,62,88,218,190,193,199,55,22,4,1034
SOSR521,37,74,147,111,113,129,114,35,4,768,18,74,325,378,334,293,45,3,0,1467,35,55,112,136,138,109,32,4,0,620,5,9,22,29,43,44,12,0,0,153,48,81,179,188,212,227,73,0,0,1018,5,28,57,52,65,48,14,5,0,271,57,51,72,39,49,68,25,6,0,363,61,26,56,37,46,57,33,6,0,323,7,16,45,73,84,173,76,12,0,484,0,0,5,7,3,7,0,0,0,27,0,0,0,7,7,8,0,0,0,27,0,0,8,5,8,10,8,0,0,47,0,9,18,34,36,39,17,4,0,156,7,15,32,31,58,46,17,0,0,210,8,22,96,112,169,202,54,6,0,679,3,12,47,44,49,58,18,3,0,244,10,8,56,55,64,74,11,6,0,278,7,9,14,12,11,18,0,0,0,78,23,33,55,45,54,56,19,0,0,273,34,36,62,65,91,91,43,14,3,443
SOSR522,24,45,126,111,108,120,62,24,4,622,7,28,106,107,114,89,27,0,0,479,15,16,40,42,63,28,11,0,0,213,0,4,10,17,27,24,5,0,0,84,24,28,78,95,76,104,30,4,0,442,4,16,35,31,21,31,7,0,0,143,18,20,35,21,39,41,19,0,0,176,19,31,36,35,33,42,18,4,0,217,5,7,45,35,60,81,40,3,0,279,0,0,0,3,4,0,3,0,0,14,0,0,0,3,4,0,0,0,0,10,0,0,5,3,8,4,0,0,0,23,0,0,6,10,11,18,16,5,0,71,0,4,29,18,24,26,13,0,0,115,6,20,58,70,132,131,40,3,0,460,0,18,38,36,42,48,18,0,0,196,0,4,19,28,33,31,13,0,0,128,4,0,9,7,6,7,6,0,0,48,10,17,35,26,25,32,19,5,0,166,15,15,54,33,48,46,23,5,6,236
SOSR531,314,596,1496,1822,2257,2466,1641,601,96,11302,95,414,1435,1756,1839,1270,214,14,0,7035,159,196,311,472,646,628,209,37,5,2657,10,16,49,129,153,166,50,3,0,578,305,467,885,1157,1311,1280,355,29,3,5792,67,85,161,196,251,290,95,15,0,1150,328,210,186,169,292,281,130,23,0,1616,372,142,211,153,209,213,121,21,3,1448,32,59,216,304,569,616,282,25,0,2110,8,19,26,35,41,29,13,0,0,168,0,10,32,51,70,59,28,3,0,262,10,15,42,48,88,117,57,10,0,393,23,62,140,217,318,328,170,31,0,1293,41,75,148,138,228,214,87,11,0,948,43,192,267,268,502,561,131,17,0,1973,29,57,108,179,246,314,119,8,0,1065,18,39,98,134,222,240,108,23,0,872,30,39,56,60,94,102,39,12,0,433,157,146,229,267,287,308,114,8,0,1520,141,161,254,295,420,415,193,72,9,1973
SOSR579,3,0,15,9,4,0,0,0,0,32,0,5,9,34,20,12,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,9,0,0,13,16,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,8,10,13,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,11,5,4,3,0,0,36
