SOSR_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR501,205986,406124,4059,23000,24368,111084,6066,27279,141617,539082,176105,700451,12819,53432,21891,75151,41043,129545,75755,258127,251858,958581,1182,5498,5958,20304,2867,10304,32190,84093,42203,120196,3744,11842,8472,19148,29167,62997,41381,93981,83590,214177,8990,18897,550426,1597778
SOSR511,8198,16065,159,847,874,3903,316,1384,4722,18152,6067,24279,343,1361,544,1682,1318,4031,2200,7078,8268,31358,49,214,273,902,161,581,1595,4262,2080,5956,123,371,264,552,1051,2207,1436,3133,3519,9087,237,498,20221,57014
SOSR512,13183,25901,239,1350,1149,5223,465,2104,7081,27441,8936,36114,443,1748,736,2265,2029,6217,3201,10235,12137,46352,74,348,394,1349,276,992,2268,6222,3009,8910,153,474,377,801,1661,3520,2194,4797,5210,13706,435,900,30964,86860
SOSR513,5732,11083,131,706,697,3130,255,1142,5169,20166,6258,25142,189,758,348,1025,866,2633,1408,4416,7661,29556,44,194,199,703,131,476,1229,3413,1603,4790,55,168,172,366,648,1408,877,1934,2475,6721,214,470,16089,47829
SOSR514,3033,5928,44,229,264,1140,104,456,1812,6925,2225,8755,93,369,177,533,376,1138,646,2037,2868,10789,22,103,123,380,60,235,545,1425,747,2149,33,115,92,204,397,840,530,1157,1279,3307,81,166,7262,20194
SOSR515,9989,19464,154,856,815,3690,347,1602,5615,21797,6929,27944,280,1122,463,1377,1327,4030,2069,6524,8995,34471,47,199,249,853,206,765,1617,4473,2119,6297,104,331,233,484,1134,2439,1467,3246,3586,9548,299,640,22870,64125
SOSR521,4170,8194,60,353,279,1251,155,727,1906,7450,2401,9781,97,413,167,485,568,1710,836,2610,3238,12390,34,190,99,368,113,452,725,2080,974,3094,42,129,94,201,552,1208,694,1536,1666,4627,176,395,9251,25614
SOSR522,2316,4560,32,192,163,765,119,618,1091,4370,1401,5951,43,169,69,189,291,938,397,1295,1800,7244,18,79,57,212,75,313,432,1332,582,1934,20,52,55,105,328,774,397,932,984,2868,118,278,5217,14950
SOSR531,19878,38997,358,1942,1746,7452,628,2768,8340,33197,11078,45362,870,3400,1268,3853,3628,11095,5767,18348,16840,63710,36,199,245,809,168,636,1399,3800,1847,5447,100,315,268,562,1517,3245,1881,4120,3732,9569,375,799,40824,113080
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
