SOSR_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR501,564,8333,95,8422,..,5376,909,6284,45,6327,..,1559,365,1925,11,1937,..,15077,6240,21316,158,21475,..,62480,9917,72397,1385,73779,..,379363,53747,433111,4659,437765,..,9585,1373,10962,90703,101668,1504326,388953,55123,444076,95360,2043762
SOSR511,0,48,0,48,..,105,18,117,0,117,..,6,0,6,0,6,..,86,45,130,0,129,..,936,109,1047,31,1082,..,5635,619,6255,80,6335,..,238,20,257,4215,4471,64393,5873,635,6513,4292,75196
SOSR512,0,97,5,100,..,314,48,363,0,359,..,19,0,23,0,23,..,213,83,293,4,297,..,2016,304,2320,55,2375,..,8908,933,9837,128,9968,..,525,57,580,9054,9631,100551,9429,991,10419,9181,120142
SOSR513,4,63,0,63,..,315,30,349,6,351,..,22,3,21,0,27,..,118,25,139,0,139,..,1762,121,1885,45,1929,..,6694,500,7191,100,7292,..,563,45,607,8334,8939,51958,7256,538,7796,8438,68192
SOSR514,0,13,0,13,..,37,10,46,0,46,..,0,0,0,0,0,..,26,13,39,0,39,..,251,77,334,6,332,..,1632,220,1849,23,1875,..,95,6,98,2235,2334,24263,1725,225,1948,2260,28471
SOSR515,0,48,0,49,..,189,45,232,0,240,..,4,0,4,0,4,..,114,54,164,0,164,..,2298,353,2645,59,2710,..,6635,828,7463,137,7598,..,435,161,603,9703,10306,74624,7068,995,8061,9837,92523
SOSR521,0,11,0,11,..,63,11,75,0,73,..,0,0,0,0,0,..,43,11,54,0,54,..,1615,129,1747,54,1799,..,2983,264,3249,86,3333,..,173,14,185,4040,4225,30363,3153,282,3432,4128,37925
SOSR522,0,4,0,4,..,15,3,16,0,16,..,0,0,0,0,0,..,9,4,14,0,15,..,2761,274,3033,80,3111,..,3237,308,3548,89,3637,..,86,32,115,2152,2267,15679,3322,343,3666,2239,21588
SOSR531,0,25,0,25,..,187,38,226,0,224,..,12,0,12,0,12,..,258,167,426,6,430,..,3798,301,4099,103,4201,..,9617,899,10516,175,10693,..,434,33,466,20192,20657,132299,10051,931,10983,20367,163652
SOSR579,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
SOSR599,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
