SOSR_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR501,133,272,17,21,34,309,290,449,1050,28161,20268,2610,51041,1959,2149,4104,55145,27632,809,83590
SOSR511,3,13,0,0,0,13,16,10,39,1103,918,141,2161,75,89,162,2327,1169,19,3519
SOSR512,10,19,0,0,0,23,16,58,98,1658,1301,175,3131,103,102,211,3345,1774,90,5210
SOSR513,6,13,0,0,0,15,19,42,74,974,463,95,1530,51,64,116,1648,767,60,2475
SOSR514,0,6,0,0,0,9,10,7,19,338,389,48,769,32,30,60,835,437,7,1279
SOSR515,0,13,0,4,4,13,39,29,81,1044,866,132,2041,102,95,193,2234,1290,59,3586
SOSR521,5,9,0,0,0,11,19,26,56,346,327,59,732,36,40,73,803,819,44,1666
SOSR522,0,0,0,0,0,4,25,26,54,181,168,24,367,26,34,68,432,515,29,984
SOSR531,8,21,0,0,3,24,31,52,102,1096,870,130,2095,66,75,137,2227,1422,80,3732
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
