SOSR_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOSR501,2937,41215,2612,12630,4721,1840,468,1204,430,68053,3448,25319,560,11721,3597,1262,248,878,230,47263,14219,20017,2164,7959,29423,7890,1099,3622,975,87367,5431,17760,1503,19113,9189,2954,621,2647,590,59809,1925,5440,1036,2237,2658,1865,234,708,149,16247,2295,835,6228,5571,4012,2740,541,1936,235,24401,30,35,14,93,66,75,19,83,7,420,538,1080,252,915,859,373,112,263,96,4493,545,849,372,1331,1272,675,178,614,1283,7117,35736,128180,20084,65243,60870,22069,4490,14172,4383,355238,4153,14437,3513,2230,2480,1246,745,1141,299,30246,3613,10874,3058,1340,1931,1139,1317,1440,267,24979,17772,30112,53747,3679,5921,3283,11078,7975,1619,135193,5157,4608,18588,1199,1938,1115,3034,3669,507,39822,1716,2549,2593,720,949,596,902,1529,134,11695,4926,55054,3654,15695,5319,2237,1230,1916,624,90656,5170,32865,1130,12735,3970,1493,877,1278,328,59852,32648,39182,6240,11514,37152,12981,5644,7118,1885,154371,9232,27169,3175,25628,11405,4155,2429,4561,983,88741,3123,9326,2777,3288,3444,2889,1076,1684,268,27873
SOSR511,101,1236,94,443,172,82,24,54,15,2214,127,982,23,557,125,56,16,46,0,1933,330,364,94,242,1035,318,52,172,22,2629,127,375,45,893,254,133,25,135,24,2017,29,93,39,43,48,47,8,23,4,331,69,25,256,201,127,131,25,100,12,956,0,0,0,10,0,0,0,3,0,14,12,32,16,27,30,6,8,14,3,147,8,24,15,48,32,22,7,44,43,243,866,3367,798,2562,1966,856,221,702,132,11480,58,185,118,35,30,13,25,43,3,512,49,86,97,34,45,37,33,53,3,438,459,562,2937,104,187,117,599,354,79,5397,127,84,778,43,61,37,218,232,15,1598,81,102,99,26,44,21,67,98,10,554,138,1653,133,515,181,90,61,82,14,2873,198,1285,61,583,136,68,66,62,0,2461,636,614,243,306,1169,419,179,266,42,3863,179,518,85,1097,289,171,82,200,29,2646,47,131,66,68,60,61,28,52,10,517
SOSR512,169,1928,153,755,278,138,41,104,14,3576,216,1524,34,788,189,75,30,76,15,2938,538,537,106,368,1502,432,89,249,34,3853,221,667,83,1196,370,191,47,185,23,2993,48,153,45,85,91,73,16,47,4,552,145,44,374,345,233,163,60,151,17,1517,0,0,6,11,4,11,0,12,0,29,17,31,12,45,29,17,8,16,5,173,25,41,27,88,62,43,22,62,47,409,1538,5343,1059,3811,2966,1242,383,1029,174,17540,129,471,130,66,70,28,26,45,3,970,62,115,91,49,57,46,42,76,5,538,742,715,4207,212,204,190,947,618,101,7938,263,130,1238,95,72,71,279,199,35,2378,194,197,227,78,79,99,149,211,17,1253,249,2541,199,873,301,144,93,127,26,4562,339,2002,76,858,203,91,85,99,27,3774,1008,912,259,501,1681,612,261,385,62,5675,330,922,141,1510,407,232,122,258,33,3954,83,223,107,119,107,107,40,86,9,877
SOSR513,122,1089,94,270,172,49,30,47,14,1876,166,943,32,384,130,30,15,30,10,1747,420,314,123,231,983,248,63,168,31,2574,170,379,50,573,247,81,24,104,13,1646,45,100,26,61,71,27,12,21,4,368,87,33,173,184,168,86,38,90,20,876,0,0,0,0,4,0,0,0,0,9,22,24,15,25,26,7,12,10,0,139,22,42,20,59,70,33,8,59,61,364,1164,3160,717,1873,2011,620,272,591,163,10572,63,149,83,35,60,18,8,19,4,437,46,39,56,32,36,28,12,21,5,277,523,637,3132,116,206,86,579,361,119,5764,203,58,795,48,46,21,211,192,23,1598,111,109,103,33,43,29,80,73,14,600,192,1354,124,334,188,50,64,50,15,2373,233,1212,76,415,144,37,48,41,14,2232,763,490,295,304,1099,341,166,245,65,3767,242,523,106,769,279,102,81,143,26,2268,63,150,66,74,84,44,24,40,3,544
SOSR514,35,336,38,143,44,28,10,24,0,659,52,337,14,194,53,19,6,25,3,702,152,120,29,99,312,136,16,55,4,924,58,150,17,273,69,39,10,50,4,667,29,43,19,39,28,35,4,18,0,206,41,15,111,76,42,40,16,48,0,397,0,0,0,0,0,0,0,0,0,8,0,14,0,13,3,8,0,9,0,49,11,13,12,26,15,14,0,16,15,123,444,1115,311,884,615,343,82,286,42,4119,40,118,31,19,20,11,3,32,3,276,16,16,31,6,6,7,4,13,3,103,128,107,815,34,34,33,179,143,31,1506,96,34,354,10,16,8,69,81,11,682,51,70,69,26,19,11,21,47,10,334,57,444,48,165,44,28,21,33,5,849,74,437,28,207,51,29,22,37,6,886,265,211,81,130,347,186,51,93,11,1375,89,193,39,334,77,44,25,76,6,882,40,72,41,39,26,33,12,29,0,293
SOSR515,113,1091,129,432,167,59,52,85,14,2152,197,1131,43,547,163,44,21,53,19,2211,389,297,116,267,947,295,99,207,29,2640,176,378,70,767,272,101,51,144,21,1984,37,94,24,68,58,36,5,36,0,366,101,23,237,222,177,112,59,133,13,1078,0,0,0,8,3,4,0,0,0,27,16,30,17,27,27,14,10,11,4,153,35,39,24,86,61,40,14,63,58,413,1187,3324,894,2559,2044,785,394,895,183,12268,88,199,111,62,49,20,27,53,5,613,32,65,46,21,31,28,33,39,6,296,496,459,3282,155,162,92,749,524,102,6019,196,60,793,59,47,37,268,198,30,1681,201,185,191,84,97,53,136,195,26,1180,161,1340,170,519,184,71,101,112,25,2678,288,1441,79,593,174,50,68,83,22,2809,660,441,259,347,1054,382,208,288,41,3681,246,548,126,1001,305,124,114,212,21,2692,62,133,56,91,71,50,32,76,9,578
SOSR521,54,349,24,169,62,25,16,29,7,730,91,412,11,203,56,16,8,23,0,829,144,85,21,90,335,74,30,58,11,849,77,115,24,278,86,45,21,68,10,723,15,28,6,25,26,13,3,15,0,130,34,5,75,47,47,29,25,48,12,317,0,0,0,0,0,0,0,6,0,3,5,7,4,9,8,3,0,5,0,43,24,19,9,37,30,19,6,28,15,185,492,1112,235,890,716,272,143,316,64,4239,33,65,25,23,22,9,9,19,3,210,22,25,12,10,5,4,10,15,0,92,209,155,1068,48,60,34,298,176,38,2086,59,23,214,10,15,13,82,66,15,496,103,72,96,31,40,29,55,86,10,512,68,450,32,207,67,29,27,42,7,929,128,514,27,220,66,18,27,31,3,1033,253,135,57,120,366,115,63,82,18,1211,99,166,40,377,98,56,39,86,15,972,18,40,18,27,28,19,14,21,3,190
SOSR522,39,169,7,89,42,5,8,8,3,379,43,242,3,104,28,17,7,10,3,455,81,39,19,45,150,26,6,33,3,401,35,56,13,128,47,18,7,27,5,322,5,16,3,7,11,0,0,6,0,61,17,3,31,33,22,17,8,17,0,157,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,0,5,3,0,14,4,0,8,17,14,11,5,9,10,84,271,563,131,457,350,113,51,140,33,2110,19,42,14,12,7,3,10,11,0,121,6,12,6,4,6,0,0,0,0,41,115,62,456,30,18,24,153,92,14,955,46,12,98,14,8,3,37,31,14,256,59,32,60,13,22,14,27,58,5,299,56,214,8,105,47,9,14,14,5,469,65,307,14,111,29,17,9,14,3,572,156,69,40,55,169,43,24,53,7,607,48,74,13,171,51,19,12,36,3,433,11,24,8,10,17,6,9,6,0,97
SOSR531,582,1933,252,703,436,115,70,181,32,4299,719,1892,69,796,355,83,58,129,20,4122,1067,651,159,311,1809,361,97,294,53,4811,435,644,113,950,480,154,70,232,52,3128,149,188,70,102,139,84,14,73,15,829,234,36,330,303,299,148,65,193,14,1629,5,4,0,5,8,3,0,4,3,33,51,48,27,53,35,14,12,16,4,256,134,55,45,122,119,66,34,113,108,793,4052,6119,1435,3569,4112,1160,559,1560,343,22908,389,617,169,65,116,44,52,86,12,1561,108,138,72,32,42,21,50,43,3,517,2228,1083,5556,210,286,174,1414,891,186,12018,587,119,1322,80,81,47,370,359,55,3021,1856,428,403,144,213,134,329,606,40,4161,730,2378,312,821,458,130,128,228,40,5231,917,2279,135,843,379,96,133,176,28,4982,2035,1075,412,415,1987,519,306,493,91,7324,648,872,206,1180,537,197,154,354,64,4217,201,291,144,136,152,107,59,129,19,1241
SOSR579,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,0,23,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,25,39,0,6,0,10,24,6,110,0,0,5,0,0,0,5,10,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,6,0,3,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
