SED_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED50106,3339,2563,1292,485,18511
SED50202,2810,1930,976,322,21683
SED50304,2744,1808,935,366,24663
SED50405,2581,1428,732,152,25010
SED50502,2887,1897,817,219,19700
SED50605,4164,3400,1618,548,25182
SED50702,3191,1992,942,371,26600
SED50805,3629,2526,1378,721,21834
SED50906,3303,2278,1070,403,20833
SED51004,3785,1687,651,192,22067
SED51104,2892,1728,950,339,24502
SED51205,2784,2022,946,287,27015
SED51304,3661,3451,1631,406,22762
SED51401,3207,2439,1107,334,17422
SED51504,3866,2604,1539,706,25566
SED51605,2908,1571,605,170,23332
SED51706,3330,2389,1089,363,19759
SED51804,4537,3603,2245,992,26270
SED51902,3227,2079,847,193,21345
SED52006,3441,3135,1705,460,18762
SED52102,2587,1734,763,235,18766
SED52205,4113,2933,1191,476,25443
SED52301,2865,1970,912,369,17889
SED52404,3652,2659,950,218,21590
SED52505,3465,2116,635,149,28622
SED52604,4153,2502,991,401,22053
SED52702,3794,3193,1753,554,20497
SED52803,3669,1583,399,105,24623
SED52903,4818,3823,906,106,26446
SED53004,3426,2830,1105,376,21071
SED53105,2377,1355,525,194,21914
SED53204,2681,1460,571,189,21825
SED53306,3037,2514,1600,749,20113
SED53402,3125,2101,903,335,24725
SED53502,3209,2219,1203,547,22453
SED53602,2395,1707,823,267,19615
SED53701,3774,3219,1312,259,18656
SED53802,2793,2130,1127,313,22579
SED53902,3325,2369,1361,666,24074
SED54006,3201,2423,1182,384,18423
SED54104,4435,3816,2231,784,31117
SED54203,4758,3500,917,97,26841
SED54304,4335,2505,916,313,38012
SED54403,5682,1928,377,31,41203
SED54505,3654,3078,1513,470,24329
SED54605,3378,2436,1424,556,19584
SED54701,2837,1887,980,305,16840
SED54804,3240,2222,1296,612,26366
SED54905,3821,3017,1502,750,26065
SED55005,2711,1687,678,230,22952
SED55102,3112,1874,695,113,21334
SED55202,2720,2024,1132,446,21279
SED55306,3738,3221,1511,448,22032
SED55405,2857,1898,1038,669,28755
SED55504,2893,1801,845,281,22309
SED55605,3182,1446,656,201,21067
SED55706,4338,3623,1550,415,22066
SED55802,2897,1468,689,200,23406
SED55905,3130,2177,1294,657,21177
SED59797,465,123,24,0,2853
