SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED50106,13967,33814,1052,1575,125,188,1175,1766,52,75,0,0,0,0,0,0,25,48,74,122,145,229,156,217,92,97,7,13,401,547,53,92,15664,36346,2295,..,17961,36346
SED50202,16323,43654,2766,5068,42,74,2807,5140,156,238,59,90,0,0,0,0,20,42,235,370,115,144,139,186,36,35,10,18,298,385,34,46,19689,49596,1651,..,21342,49596
SED50304,10097,25711,7377,13745,1116,2252,8495,16003,1118,1848,322,519,8,6,0,0,5,12,1457,2385,0,0,0,0,0,0,0,0,0,0,20,33,20067,44135,1603,..,21674,44135
SED50405,18839,53595,545,956,105,174,654,1134,49,70,116,170,11,8,0,0,5,17,184,260,36,63,26,30,9,9,53,75,119,182,15,33,19814,55207,1240,..,21057,55207
SED50502,14121,37797,1741,3140,264,547,2012,3688,276,407,65,91,58,90,0,0,30,50,423,626,0,0,0,5,4,15,5,9,10,19,16,37,16578,42166,1164,..,17748,42166
SED50605,12749,35541,2026,4054,754,1785,2782,5835,262,435,131,204,448,797,182,297,12,33,1035,1758,0,0,0,0,0,3,3,6,6,10,18,30,16592,43187,1565,..,18157,43187
SED50702,13314,33285,2224,4314,1595,3295,3820,7610,650,1069,628,1005,639,1012,1334,2338,21,39,3263,5467,27,38,4,12,12,12,9,6,47,65,58,100,20502,46525,2675,..,23174,46525
SED50805,10423,27821,3214,5663,984,2052,4194,7715,389,545,442,624,223,361,35,65,15,35,1106,1632,0,0,0,0,9,12,15,25,26,35,31,68,15784,37266,1365,..,17146,37266
SED50906,14329,35729,2424,3745,483,876,2904,4622,445,668,123,194,24,35,36,60,7,14,639,971,91,131,42,59,43,45,9,23,190,258,44,76,18108,41661,1950,..,20060,41661
SED51004,14748,41427,943,1717,196,339,1139,2055,77,123,216,362,3,7,0,0,13,20,306,512,5,3,0,0,11,14,3,7,13,20,9,20,16219,44046,1016,..,17230,44046
