SA3_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
50101,181,9,0,9,185,25,0,211,0,0,0,0,4,0,0,0,4,0,9,9,1204,210,77,25,1510,17,6,21,1536,58,9,1607,264,47,7,0,320,7,0,7,323,11,0,338,370,80,27,3,476,3,3,10,485,28,0,510,13,4,4,0,20,0,0,0,20,0,0,20,0,0,0,3,3,0,0,0,3,0,0,3,648,130,35,7,824,4,3,12,834,38,3,875,4,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,8,0,0,8,656,133,36,7,829,11,4,13,847,38,3,885,63,22,5,3,90,4,0,4,92,10,0,107,0,0,0,3,3,0,0,0,3,0,0,4,719,147,42,13,926,10,4,16,937,50,3,998,324,59,24,0,404,4,0,4,406,26,0,432,387,88,31,4,507,0,5,6,513,19,0,535
50102,420,13,3,14,439,74,0,514,6,0,0,7,12,0,0,0,12,0,5,19,2190,245,78,50,2572,43,11,54,2623,165,14,2803,555,55,16,4,627,3,0,4,630,25,0,658,715,69,22,6,808,4,5,6,815,23,0,841,22,4,9,0,28,0,0,0,30,0,0,36,9,0,0,3,13,0,0,0,13,0,3,19,1297,126,42,18,1484,5,9,13,1497,46,3,1550,17,4,0,0,23,8,0,8,27,0,0,28,21,0,0,0,23,0,3,7,26,7,0,28,36,3,0,0,43,8,3,10,50,4,0,55,1336,135,42,17,1527,11,10,24,1551,54,3,1603,227,20,5,4,264,7,0,8,273,50,0,326,0,0,0,0,6,0,0,0,6,0,5,8,1566,152,48,28,1797,20,11,31,1826,104,5,1935,704,61,20,7,796,11,0,11,804,35,0,838,878,86,36,0,1005,13,0,14,1015,24,0,1044
50103,93,7,0,7,97,20,0,115,0,0,0,0,0,0,0,0,0,0,0,0,430,57,30,15,534,8,3,14,538,41,0,576,115,16,5,3,136,0,0,0,143,8,0,147,115,17,7,0,143,0,0,0,145,6,0,153,0,4,3,0,6,0,0,0,6,0,0,6,0,0,0,3,3,0,0,0,3,3,0,5,234,39,11,11,291,3,0,3,297,20,0,314,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,239,39,11,11,293,3,0,3,301,20,0,315,36,5,4,4,40,0,0,0,40,11,0,53,0,0,0,0,0,0,0,0,0,0,0,0,275,39,14,12,337,3,0,3,339,29,3,374,123,8,3,0,136,3,0,3,137,4,0,144,129,32,3,3,169,0,0,0,168,10,0,178
50201,428,6,0,12,438,71,0,515,0,0,0,8,14,0,0,0,14,0,13,26,1743,224,98,59,2117,40,4,47,2167,151,17,2340,404,44,19,6,476,12,0,12,491,25,0,516,480,69,28,10,584,10,0,9,595,26,5,624,18,0,5,0,26,0,0,0,32,3,0,38,3,0,0,0,4,0,0,0,4,0,0,5,907,118,51,10,1096,21,0,21,1114,60,10,1182,12,0,4,3,19,8,0,6,23,0,0,25,17,0,3,4,19,3,0,3,26,0,0,26,30,0,4,4,41,10,0,8,47,0,0,50,938,121,58,20,1132,30,4,32,1164,58,10,1227,178,37,17,12,245,14,0,13,257,59,0,312,0,0,0,0,3,0,0,0,3,0,10,11,1113,166,74,30,1378,39,5,47,1424,116,20,1561,559,55,17,6,640,9,0,8,653,39,0,692,585,73,28,11,688,11,3,12,703,43,0,742
50301,469,0,0,0,474,27,0,501,3,0,0,5,7,0,0,0,7,0,3,14,2074,211,23,10,2327,22,11,33,2354,84,9,2453,465,51,7,0,521,9,3,12,538,33,0,569,601,77,10,0,699,4,3,8,704,15,0,718,16,0,0,0,16,0,0,0,16,0,0,16,4,0,0,6,11,0,0,0,12,0,0,13,1094,127,22,9,1246,16,5,22,1269,48,4,1321,11,0,0,0,9,4,0,4,12,3,0,14,18,0,0,0,18,3,0,3,23,0,0,25,28,3,0,0,26,8,0,8,35,6,0,39,1120,129,22,9,1278,23,5,26,1299,52,4,1358,264,30,0,0,296,7,0,11,305,21,0,327,0,0,0,0,0,0,0,0,0,0,4,7,1383,155,24,13,1576,32,3,32,1605,75,5,1685,723,65,8,0,801,17,7,21,821,48,0,868,849,99,7,9,963,10,5,11,973,28,0,1000
50302,330,0,0,0,328,31,0,359,0,0,0,4,6,0,0,0,6,0,6,13,1871,221,27,11,2119,35,7,41,2158,77,16,2253,421,60,7,0,495,11,4,9,505,14,0,518,497,57,0,0,558,12,6,11,570,5,0,575,6,0,0,0,9,0,0,0,9,0,0,9,4,0,0,3,5,0,0,0,5,0,3,8,921,120,6,7,1059,17,9,20,1085,18,4,1103,9,0,0,0,11,0,0,0,11,0,0,11,15,5,0,0,16,0,0,0,16,0,0,20,24,3,0,0,30,0,0,0,30,5,0,29,950,126,11,7,1086,17,9,20,1108,25,4,1139,142,12,8,0,156,0,0,5,159,17,0,176,0,0,0,0,4,0,0,0,4,0,3,5,1090,138,15,7,1250,18,8,27,1276,41,10,1320,516,84,9,0,608,10,4,13,618,28,0,656,540,83,3,0,625,9,3,15,637,31,0,669
50401,251,9,4,11,268,39,0,304,5,0,0,0,7,0,0,0,7,0,11,10,1356,224,26,13,1620,30,13,42,1662,99,12,1771,344,37,5,0,389,3,6,11,397,22,0,415,386,66,7,0,470,0,5,5,467,14,0,487,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,3,6,0,0,0,6,0,0,9,749,107,9,6,875,3,4,9,884,42,0,925,5,0,0,0,5,0,0,0,5,0,0,5,9,0,0,0,15,0,0,0,20,3,0,17,17,0,0,0,21,0,0,0,26,3,0,22,762,110,9,6,894,5,4,13,912,41,5,953,104,22,3,6,135,3,0,6,144,23,0,173,0,0,0,7,7,0,0,0,7,0,3,8,868,131,17,20,1039,9,10,18,1054,66,5,1126,434,63,14,0,512,14,0,16,526,40,0,568,423,75,4,6,511,14,5,15,524,19,3,547
50402,201,0,0,3,201,24,0,220,0,0,0,0,6,0,0,0,6,0,0,6,866,106,34,16,1029,11,0,12,1040,50,0,1096,205,26,12,3,241,3,0,3,247,12,0,262,278,28,12,0,320,0,0,5,322,4,0,330,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,5,5,0,0,0,5,0,0,5,492,64,20,6,579,6,0,7,585,17,0,603,3,0,0,0,3,0,0,0,6,0,0,6,4,0,0,0,9,0,0,0,9,0,0,9,16,0,0,0,13,0,0,0,19,0,0,19,508,61,20,6,592,4,0,8,598,20,0,620,92,15,4,0,113,0,0,0,121,16,0,130,0,0,0,0,0,0,0,0,0,0,0,0,600,77,26,9,708,9,0,8,718,32,0,753,278,43,19,0,337,3,0,3,346,14,0,360,347,47,14,0,408,5,4,7,410,6,0,417
50403,764,26,4,35,800,149,4,955,3,3,0,8,23,0,0,0,23,4,14,42,3172,416,91,74,3756,74,19,99,3854,274,34,4158,761,84,22,0,875,13,0,21,894,39,6,939,785,109,26,12,928,11,0,12,938,31,0,971,18,7,10,0,30,0,0,0,30,4,0,37,8,5,0,7,18,0,0,0,18,6,0,19,1577,201,58,17,1849,26,0,31,1886,74,9,1968,16,0,0,0,21,4,0,4,22,0,0,23,24,11,0,0,37,0,0,0,32,0,0,39,44,8,0,0,55,3,0,3,55,3,0,60,1614,210,57,20,1904,33,0,34,1936,77,9,2023,365,72,21,10,471,12,4,13,485,108,3,590,0,0,0,3,8,0,0,0,8,0,5,15,1986,282,71,44,2381,45,3,50,2433,180,14,2632,974,101,30,5,1115,14,5,19,1134,45,0,1181,987,134,24,9,1150,25,4,27,1180,42,0,1222
50501,629,13,0,18,654,57,0,706,8,0,0,6,8,0,0,0,8,0,13,21,4287,383,105,36,4812,61,10,70,4884,177,24,5080,1064,119,18,0,1200,17,0,17,1217,41,5,1260,1371,163,32,7,1569,12,0,14,1586,33,0,1618,28,5,3,0,32,0,0,0,32,0,0,38,7,0,0,6,15,0,0,0,16,0,0,22,2467,288,50,15,2813,30,0,32,2848,75,8,2936,7,0,0,0,10,5,0,5,16,0,0,18,40,0,0,0,43,3,0,3,48,3,0,53,50,7,3,0,57,4,0,4,65,6,0,75,2515,290,55,13,2875,38,0,39,2914,82,8,3010,344,32,10,7,390,6,0,8,404,42,0,438,0,0,0,5,7,0,0,0,7,0,12,17,2867,319,62,23,3277,40,3,48,3323,120,20,3459,1448,122,31,12,1611,31,4,34,1642,64,4,1710,1645,193,35,10,1880,28,0,28,1911,57,3,1969
