SA1_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
50101100101,0,5,5,8,0,0,0,0,0,13,0,16,0,15,3,24,4,17,4,29,3,21,3,32,3,19,4,29,0,14,3,15,0,0,0,3,18,117,22,159,0,13,0,17,0,4,0,5,4,9,3,18,0,10,5,24,4,20,5,27,8,21,3,41,0,19,0,24,0,8,0,10,0,0,0,0,20,115,25,158,0,20,0,25,0,8,0,10,0,23,7,30,3,24,12,41,10,40,5,54,14,50,11,75,5,38,10,48,0,23,6,22,0,3,0,4,40,230,48,315
50101100102,0,27,0,29,0,14,8,16,0,46,11,53,8,125,12,155,10,81,14,103,0,52,5,61,6,35,0,42,0,15,0,14,0,7,0,9,35,402,47,481,0,31,7,35,0,7,0,7,3,60,10,75,19,149,17,182,13,87,8,105,14,51,7,71,4,40,5,49,0,8,0,10,0,5,0,3,59,438,48,541,0,58,0,64,0,23,8,25,10,109,17,131,25,275,32,342,23,170,16,207,18,103,13,132,10,75,3,92,4,26,0,30,4,9,0,9,98,840,90,1026
50101100103,0,0,0,3,0,5,0,10,0,6,0,9,3,5,0,9,3,11,4,20,9,24,4,39,9,37,3,53,5,40,4,48,0,18,3,23,31,159,17,209,0,5,0,5,0,0,0,0,0,5,0,10,5,13,0,14,8,12,4,23,4,28,3,32,15,45,5,61,7,36,3,42,0,28,5,31,32,167,18,223,0,6,0,6,0,6,0,10,0,14,5,15,6,14,0,29,7,29,7,45,14,50,8,71,19,83,6,116,11,71,4,90,0,48,4,53,64,327,38,427
50101100104,0,0,0,0,0,3,0,3,0,20,0,18,0,15,3,23,0,20,4,24,6,27,0,29,3,40,6,46,4,30,0,30,0,6,3,12,18,162,18,195,3,8,0,10,0,6,5,9,5,9,0,17,0,13,4,21,5,17,0,25,5,30,5,38,6,38,3,48,11,18,0,27,0,14,3,17,33,157,15,206,3,13,0,10,0,14,5,14,10,29,0,38,0,30,4,39,5,33,10,51,14,56,0,66,11,77,10,98,15,48,0,63,0,17,7,28,54,319,35,406
50101100105,0,6,0,6,0,5,0,5,0,0,0,8,5,5,0,14,3,13,0,21,4,18,0,21,5,37,6,39,0,10,0,11,0,6,0,9,14,107,6,124,4,0,0,3,0,0,0,0,0,5,0,4,3,7,0,10,4,13,0,19,3,26,0,34,10,34,0,44,4,8,0,11,0,6,3,3,25,109,10,136,4,12,0,11,0,5,0,5,0,7,3,13,4,17,0,23,9,30,0,39,9,44,0,53,10,66,6,85,6,19,3,21,0,8,3,18,42,209,15,266
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
50101100107,0,14,0,14,0,7,0,7,0,14,0,16,6,25,3,24,4,28,5,30,12,32,10,50,9,39,3,53,0,16,0,16,0,0,0,3,25,169,17,212,0,5,4,7,0,0,0,0,0,13,3,17,0,17,0,21,5,17,0,22,10,42,3,55,5,26,0,37,0,19,0,22,0,0,0,6,23,137,18,179,0,20,4,21,0,5,0,5,0,27,7,30,10,34,4,48,9,38,4,57,16,67,13,96,13,69,8,85,0,33,0,37,0,3,0,7,46,306,37,387
50101100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100109,0,13,0,14,0,8,0,7,4,12,0,9,0,25,3,28,7,31,10,49,9,45,8,57,5,41,3,48,5,9,3,14,0,0,0,0,28,185,21,229,0,11,0,11,0,6,0,6,0,21,0,21,0,32,0,39,10,28,3,45,11,36,3,49,4,31,3,42,0,10,0,6,0,0,0,0,34,177,12,223,0,25,0,26,0,12,0,18,4,31,0,34,5,56,9,65,21,61,10,86,22,75,7,106,9,75,3,90,5,21,3,27,0,0,0,0,63,362,31,457
50101100110,0,4,0,4,0,0,0,0,0,13,0,16,0,10,0,8,0,17,3,20,7,23,0,29,0,15,0,18,0,3,0,3,0,3,0,3,15,84,9,108,0,0,0,0,0,10,0,10,0,13,0,15,0,13,0,13,7,10,0,15,4,11,4,18,3,10,0,20,0,11,0,14,0,0,0,0,16,80,9,109,0,4,0,4,0,6,0,11,0,20,3,29,0,25,0,24,6,27,5,37,11,35,4,48,12,29,0,39,3,11,0,14,0,3,0,3,33,168,14,217
