SA2_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
501011001,233,449,29,18,44,247,254,501,0,0,0,200,173,371,19,23,36,218,191,414,7,0,8,207,220,432,33,23,57,248,247,494,0,0,0,207,223,432,17,17,37,227,248,473,0,4,3,234,269,505,21,19,42,266,292,554,5,5,4,724,679,1401,51,48,99,780,724,1505,42,37,75,2934,2982,5917,312,290,603,3291,3307,6595
501011003,435,809,37,20,55,420,463,880,5,3,8,407,437,841,32,10,44,440,452,898,9,0,6,371,363,734,49,26,76,421,385,811,5,3,7,366,373,739,26,28,62,401,408,801,0,0,0,369,405,777,32,16,48,401,430,827,0,6,8,1166,1100,2260,92,78,167,1257,1190,2443,59,38,97,5433,5528,10964,452,387,837,5942,5958,11900
501011004,428,797,25,22,46,403,461,860,0,4,6,404,403,806,57,38,86,463,439,900,3,5,8,324,307,626,43,24,66,370,335,705,5,0,5,259,276,530,11,19,32,277,292,568,0,0,4,275,309,587,21,16,34,301,325,625,9,4,13,642,708,1352,50,45,90,697,752,1449,72,78,156,4601,4693,9290,420,323,744,5094,5099,10193
501011293,280,503,14,11,30,247,298,542,6,7,10,292,305,596,26,15,39,325,323,645,5,7,11,278,354,634,17,12,31,300,373,674,4,4,5,273,313,580,22,14,31,294,325,623,4,7,8,280,351,629,19,17,38,302,370,671,4,10,10,1028,1104,2138,50,64,111,1088,1172,2262,137,108,247,4167,4466,8634,263,220,476,4564,4794,9359
501011294,581,1115,46,23,68,600,614,1212,11,12,24,529,635,1165,43,21,62,582,671,1255,6,8,17,529,608,1147,26,22,50,561,644,1205,8,6,10,512,584,1095,29,25,51,550,613,1161,5,3,10,529,655,1194,21,26,49,565,691,1256,10,16,28,2062,2502,4571,96,117,213,2173,2629,4801,229,226,451,8505,9464,17971,457,411,861,9192,10095,19292
501021005,597,1170,38,21,60,623,639,1259,13,14,29,560,602,1166,43,18,63,617,636,1256,8,12,15,540,584,1121,26,19,49,574,612,1184,4,11,11,514,596,1113,44,24,73,561,634,1197,5,5,14,540,612,1155,40,32,72,588,647,1237,4,8,18,1387,1465,2850,58,76,133,1446,1553,3000,270,268,541,8792,9122,17916,465,339,801,9521,9730,19256
501021007,158,299,11,6,20,156,175,326,4,0,4,163,182,346,18,11,26,186,195,377,0,3,6,178,204,383,16,9,28,201,219,418,4,0,4,189,197,386,16,13,22,208,216,420,7,0,4,198,220,420,18,12,31,217,236,458,0,5,5,506,489,996,36,37,69,550,521,1076,69,64,134,2415,2575,4991,181,151,335,2658,2800,5457
501021008,182,397,18,13,32,249,202,456,14,13,25,205,184,389,7,21,32,231,211,442,14,14,24,185,204,392,14,11,28,209,234,442,10,11,16,205,191,396,17,14,31,222,213,440,9,5,17,200,210,414,9,11,18,219,231,447,11,15,29,517,649,1161,29,30,56,558,695,1250,286,184,469,3030,2992,6019,240,247,483,3552,3422,6976
501021009,203,429,26,19,39,252,241,488,6,0,8,206,255,462,27,19,44,237,273,515,9,8,13,263,299,559,16,17,32,280,327,604,12,9,20,296,287,588,24,15,38,332,307,641,3,7,13,297,310,605,19,18,43,321,338,660,16,8,21,934,894,1827,61,55,118,1012,953,1966,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812
501021010,90,184,3,0,8,100,98,196,0,0,0,102,97,203,9,8,18,112,103,218,0,0,0,139,141,280,15,12,22,157,151,307,0,0,0,125,122,240,7,12,19,133,133,260,0,0,0,121,129,253,13,14,26,135,146,280,0,0,0,331,268,597,26,23,51,362,292,648,17,10,30,1560,1495,3055,111,94,204,1694,1594,3286
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,0,3,10,0,8
501021012,372,759,37,9,48,430,397,821,3,14,17,298,337,630,20,9,33,321,361,684,3,12,15,322,379,699,21,19,40,353,408,758,8,7,20,335,334,664,26,7,38,373,349,720,8,8,15,305,361,661,18,12,26,325,375,704,0,15,13,988,1156,2141,87,117,205,1077,1288,2362,198,227,427,5512,5782,11295,345,264,611,6051,6273,12327
501021014,256,520,22,14,39,291,287,573,8,9,16,276,289,565,29,16,42,305,313,618,5,6,10,321,314,634,27,13,42,353,332,683,14,16,30,294,340,635,28,16,42,334,373,710,4,0,14,318,285,600,17,14,34,342,303,648,9,7,15,877,921,1803,52,59,112,945,990,1930,143,135,278,4307,4175,8484,304,242,546,4758,4553,9309
501021015,185,386,7,6,14,212,202,418,6,8,12,178,209,387,12,8,16,197,223,418,6,8,16,186,238,426,13,13,23,209,263,469,3,7,10,214,230,445,8,10,13,228,241,467,7,6,13,212,248,456,9,17,27,220,267,492,4,10,19,646,711,1361,32,32,61,682,756,1438,122,181,304,3206,3372,6583,161,148,310,3490,3703,7195
501021016,117,221,19,7,26,125,126,254,4,12,10,110,108,218,16,18,29,125,133,259,7,0,4,140,144,283,19,10,29,159,153,318,4,5,7,147,158,306,13,13,25,161,177,340,8,3,5,147,150,297,12,3,14,161,161,317,4,6,4,503,474,975,23,26,50,531,506,1036,85,71,159,1878,1927,3800,159,122,280,2114,2120,4234
501021251,381,698,23,16,33,345,398,745,11,7,18,343,353,696,15,10,21,364,374,740,3,8,11,296,343,638,26,12,33,328,358,685,0,8,8,271,255,524,14,11,27,284,274,559,3,0,7,196,180,374,9,10,17,204,193,399,5,4,6,415,478,892,27,18,50,448,502,948,141,174,314,4388,4688,9080,208,165,372,4743,5027,9770
501021252,91,175,3,0,4,87,92,180,3,4,9,112,130,250,6,4,11,126,139,265,3,3,8,119,121,241,6,5,9,129,131,260,0,0,0,108,135,242,6,6,11,119,139,255,0,0,0,134,117,251,6,0,7,143,119,261,5,4,9,262,241,507,16,3,17,274,252,530,26,24,51,1447,1454,2907,57,29,90,1535,1510,3042
501021253,365,709,26,16,47,374,381,756,8,7,17,384,403,789,33,11,50,427,429,853,7,8,12,398,432,828,27,8,36,431,446,879,6,7,13,360,394,753,20,14,39,382,417,803,7,8,9,425,497,922,23,15,42,459,512,972,12,6,22,1308,1625,2932,73,115,187,1396,1748,3143,123,131,251,5679,6172,11853,357,302,655,6157,6603,12760
501021254,157,287,12,8,23,149,173,317,9,13,21,126,147,273,15,11,24,157,166,321,12,10,22,158,145,305,14,14,29,184,171,354,13,7,19,133,153,280,16,8,23,159,171,321,6,8,8,148,151,304,10,4,21,163,166,330,5,16,22,391,431,823,25,30,52,421,476,895,167,197,363,2162,2215,4381,195,184,377,2525,2594,5119
501031017,195,358,25,21,46,191,221,405,6,3,10,201,206,404,28,7,38,239,217,456,0,5,4,202,227,428,35,23,55,235,252,490,4,3,9,262,267,537,18,16,38,293,294,585,3,5,7,263,283,547,27,25,53,293,315,611,14,6,21,869,855,1727,75,65,133,951,933,1882,63,53,116,3125,3231,6361,316,278,595,3503,3564,7068
501031018,161,307,10,4,16,158,165,334,6,6,15,169,186,357,7,13,21,189,206,393,5,4,13,203,205,407,20,18,38,225,228,452,6,3,10,205,233,434,16,12,31,226,253,478,4,4,4,231,270,495,10,15,25,247,285,530,0,3,3,726,719,1446,57,52,109,782,778,1563,75,79,153,2753,2859,5612,218,173,391,3039,3112,6155
501031019,131,246,11,12,21,129,147,278,3,8,13,126,151,280,14,15,30,147,167,319,3,3,13,150,160,309,16,17,35,174,179,353,8,12,18,176,215,395,9,11,15,196,240,429,6,0,9,197,171,371,11,12,18,209,185,390,0,0,5,514,559,1075,35,29,59,547,591,1141,113,107,223,2417,2473,4891,175,154,329,2710,2737,5447
