SUA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
5000,43,1506,870,215,1833,0.8,1452,2.4
5001,44,1517,706,300,1741,0.7,1333,2.3
5002,40,2167,1080,350,2623,0.9,2063,2.7
5003,39,1625,767,320,2009,0.7,1605,2.5
5004,44,1755,747,370,1866,0.7,1464,2.5
5005,42,1595,787,270,2017,0.7,1486,2.4
5006,40,1560,764,260,2020,0.7,1539,2.4
5007,35,1600,1212,300,2825,0.8,2294,2.6
5008,34,1950,1597,325,3497,0.9,3111,2.8
5009,37,1907,844,350,2259,0.8,1858,2.6
5010,35,1500,1599,250,3278,0.9,2723,2.7
