SUA_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
5000,3158,5323,16207,17701,19076,17411,6025,1167,149,86215,187,311,891,1011,1140,1283,835,242,13,5918,66,443,1329,1041,916,548,46,4,0,4390,133,153,427,448,434,321,81,12,0,2011,5,21,75,66,88,71,11,0,0,334,24,94,322,381,411,389,88,4,0,1706,52,92,199,173,211,180,49,13,0,962,734,451,762,1000,1211,1139,296,32,0,5626,892,520,1036,831,889,866,226,27,0,5286,28,98,233,295,412,413,162,20,0,1659,4,12,34,47,28,48,22,0,0,187,7,57,165,199,187,155,25,0,0,786,23,49,149,146,164,161,53,11,0,757,28,140,424,517,428,396,134,9,0,2076,61,153,417,466,507,442,111,10,0,2163,54,181,658,871,1021,811,164,17,0,3789,111,362,1399,2038,2266,1948,442,25,0,8604,190,530,1806,2056,2400,2653,656,39,0,10314,63,71,151,168,162,135,49,9,0,804,97,149,377,405,401,339,70,9,0,1850
5001,609,610,1402,1405,1613,1529,541,75,16,7798,4,6,14,33,33,34,38,11,5,177,0,0,6,6,7,5,0,0,0,32,17,22,32,42,46,39,13,0,0,214,0,0,10,16,0,7,0,0,0,38,3,10,46,47,56,29,8,0,0,196,0,11,12,16,23,20,3,0,0,89,209,102,176,178,205,176,42,0,0,1098,222,85,122,108,102,93,27,3,0,743,6,9,14,22,32,32,7,0,0,118,7,5,7,7,6,9,0,0,0,53,3,13,38,25,32,30,0,0,0,148,0,12,24,20,36,19,8,5,0,126,10,10,72,86,77,58,24,5,0,333,0,15,35,45,52,58,19,0,0,220,3,11,55,102,125,90,19,3,0,403,11,38,131,208,337,254,61,5,0,1046,55,154,363,445,526,478,114,9,0,2144,14,3,26,19,15,20,5,0,0,104,18,37,62,72,51,53,22,0,0,318
5002,171,241,854,980,896,744,344,58,0,4292,0,7,12,10,10,29,19,4,0,98,0,0,14,16,8,11,0,0,0,55,0,0,14,10,7,11,3,0,0,52,0,0,5,14,4,0,0,0,0,28,0,0,12,35,27,33,11,0,0,128,0,0,11,8,8,12,4,0,0,42,67,32,62,76,73,84,30,0,0,425,56,41,163,59,52,38,16,0,0,429,5,14,47,41,31,25,6,0,0,176,0,6,8,9,11,7,0,0,0,42,0,4,15,20,10,8,3,0,0,71,0,10,18,16,19,16,10,4,0,97,0,13,34,50,50,34,11,0,0,195,10,10,35,44,27,22,14,0,0,163,6,8,91,99,81,65,7,0,0,359,16,30,144,215,165,118,35,0,0,725,29,82,340,290,238,203,37,4,0,1226,6,0,23,18,20,21,7,0,0,98,10,8,33,40,26,23,7,0,0,149
5003,1167,1464,3500,3842,3740,3078,880,82,4,17760,11,25,38,25,35,25,15,4,0,176,6,36,85,93,88,45,4,0,0,355,57,81,149,188,151,83,10,4,0,727,0,14,28,31,22,28,5,0,0,132,15,37,121,134,115,103,12,3,0,547,9,3,33,38,58,31,11,0,0,186,367,231,431,467,454,337,50,9,0,2345,526,174,223,224,191,91,36,0,0,1460,14,19,47,53,78,82,21,3,0,325,23,16,28,18,12,8,3,0,0,105,0,12,69,79,78,43,9,0,0,290,13,19,60,62,58,53,15,0,0,268,6,34,122,166,132,86,39,4,0,593,6,34,92,131,134,103,25,0,0,533,12,51,170,223,255,158,29,0,0,899,44,73,343,571,754,516,90,3,0,2400,111,344,859,1012,1036,803,180,3,0,4344,37,27,52,39,37,22,3,0,0,225,35,74,181,133,168,99,25,0,0,723
5004,714,575,1452,1923,2067,1707,662,88,8,9199,12,12,27,40,50,52,36,7,0,236,4,4,35,31,44,8,3,0,0,120,26,17,64,92,80,61,20,6,0,365,0,0,3,12,11,7,6,0,0,40,4,11,56,89,83,42,16,0,0,302,5,6,16,24,30,24,12,0,0,116,198,97,159,198,251,251,65,8,0,1217,289,118,205,264,203,157,37,0,0,1277,3,3,19,31,40,38,11,0,0,147,3,3,9,13,15,6,0,0,0,49,0,0,26,39,45,35,9,0,0,161,5,23,42,43,48,31,25,0,0,205,3,14,59,131,128,76,28,5,0,445,17,24,87,117,133,71,22,0,0,467,10,11,44,85,100,66,16,0,0,329,30,28,155,318,377,248,47,8,0,1214,28,90,318,464,498,461,94,3,0,1965,18,8,27,23,32,21,3,0,0,139,25,40,84,78,106,60,10,3,0,396
5005,200,227,536,566,627,570,162,28,0,2924,3,4,17,24,25,29,21,10,0,131,0,0,11,3,8,0,0,0,0,26,5,5,4,9,7,10,0,4,0,45,0,0,0,11,7,7,0,0,0,13,0,4,22,8,16,11,0,0,0,69,0,6,4,12,20,3,0,0,0,43,59,44,60,73,60,50,6,0,0,354,47,35,38,43,43,40,8,0,0,250,0,7,26,29,24,15,3,0,0,106,3,4,0,5,0,0,0,0,0,11,0,0,15,15,10,3,0,0,0,51,0,3,11,7,13,6,0,0,0,44,3,7,32,21,11,18,5,0,0,101,0,5,16,18,21,23,6,0,0,88,4,6,19,30,42,25,4,0,0,136,7,12,75,80,112,79,18,0,0,393,11,39,79,96,118,128,28,4,0,503,4,0,5,4,9,0,0,0,0,29,9,13,29,17,31,17,3,0,0,121
5006,627,691,1645,1659,1804,1608,494,78,7,8610,3,3,12,18,27,29,22,7,3,121,0,17,31,34,30,17,0,0,0,139,9,9,31,37,14,21,9,0,0,118,0,0,3,6,3,4,3,0,0,22,3,16,52,65,48,53,7,0,0,241,7,13,21,35,21,21,0,0,0,110,207,146,175,179,227,184,39,3,0,1166,264,100,107,103,99,78,21,0,0,765,7,12,37,49,56,41,20,0,0,228,8,9,12,7,10,7,3,0,0,45,0,11,33,29,43,27,4,0,0,133,6,11,17,19,26,12,6,0,0,100,8,21,74,66,79,41,18,0,0,311,6,21,44,48,73,45,7,0,0,249,9,17,65,107,142,110,27,0,0,479,23,62,250,339,403,299,51,3,0,1432,60,170,473,482,547,406,113,4,0,2262,7,12,8,13,16,18,3,0,0,82,34,41,69,64,79,47,15,5,0,346
5007,463,804,1996,1889,1672,1446,367,34,0,8662,0,0,0,0,6,4,0,0,0,10,25,105,279,217,180,79,10,3,0,896,8,17,59,44,25,17,13,0,0,184,0,3,11,8,6,5,0,0,0,37,4,12,39,48,42,30,10,0,0,189,8,11,40,27,32,20,0,0,0,141,139,83,133,113,139,110,37,0,0,744,103,69,119,100,106,56,15,7,0,571,4,11,37,49,57,57,13,0,0,236,0,8,9,6,0,4,0,0,0,29,0,3,21,14,10,3,4,0,0,60,4,18,29,30,35,27,0,0,0,141,15,28,71,61,43,41,13,0,0,284,6,22,55,49,59,41,6,0,0,238,6,25,104,91,80,60,5,0,0,367,10,71,176,203,214,170,26,6,0,881,24,103,303,255,257,223,44,0,0,1205,8,5,16,18,14,14,3,0,0,88,19,31,74,56,57,33,8,0,0,281
5008,262,378,1380,1617,1220,776,160,11,0,5801,0,0,0,0,0,0,7,0,0,13,4,37,145,139,73,15,9,0,0,421,10,3,13,11,10,7,0,0,0,58,0,0,24,25,9,0,0,0,0,70,7,10,65,48,25,16,0,0,0,173,6,6,20,9,7,5,0,0,0,53,63,24,92,88,77,34,3,0,0,390,52,25,82,57,47,32,15,0,0,300,6,16,34,33,39,25,0,0,0,159,3,0,11,5,5,9,0,0,0,28,3,0,14,12,7,0,0,0,0,36,3,15,24,30,22,13,4,0,0,107,4,5,37,35,19,20,5,0,0,119,5,19,57,64,52,27,4,0,0,231,9,9,72,88,64,33,7,0,0,293,0,31,152,198,168,53,12,0,0,621,21,55,166,172,111,74,10,0,0,606,4,4,9,21,11,4,0,0,0,59,3,11,55,45,27,7,7,0,0,156
5009,27334,47885,116262,122589,105921,79809,24549,3241,244,527831,80,165,540,578,658,482,236,56,4,2798,97,882,4007,4362,2900,1325,188,17,0,13790,824,1030,2975,3556,3515,2384,562,63,3,14921,36,170,811,1080,808,434,75,4,0,3420,208,944,3771,3866,3125,2145,503,42,0,14614,207,607,1713,2026,1989,1357,306,32,4,8252,8725,9275,10313,8405,8563,6903,1658,121,11,53976,11403,7286,7098,4662,3496,2216,541,37,4,36740,191,796,2357,2527,2589,1853,457,41,0,10808,221,389,887,737,595,415,108,13,0,3364,119,727,3392,4113,3320,1892,400,38,9,14002,115,562,1777,1889,1802,1358,503,81,8,8096,311,2787,9638,9979,6932,3921,1211,128,6,34903,361,1513,4212,4098,3570,2556,651,52,0,17016,268,1581,6090,7632,7352,5386,1075,66,0,29451,1462,3962,12356,15969,18205,13063,3059,201,6,68289,1768,9738,28060,26979,25222,19879,4859,265,8,116786,1158,1459,2196,1844,1417,950,320,42,0,9389,1073,2292,5442,4691,3893,2529,686,84,3,20686
