SUA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5000,24613,20290,27317,13031,13062,7410,19866,19170,2791,147559
5001,1696,2740,2437,2264,1704,1551,1008,1985,215,15601
5002,1438,2123,1119,1179,1188,653,430,722,197,9046
5003,2997,5838,6347,4242,3978,3153,3359,4382,548,34843
5004,2471,3235,3194,2339,1915,1808,1121,2299,306,18679
5005,702,788,921,534,655,492,651,670,129,5530
5006,1732,2976,2854,2365,2003,1629,1469,1928,259,17211
5007,1447,2333,3415,1428,1675,994,2548,1400,271,15512
5008,1111,1564,2483,859,1090,531,996,998,215,9842
5009,122017,244541,148087,125447,129603,83022,68461,88850,17074,1027100
5010,804,1279,2228,676,907,427,1320,889,231,8763
