SUA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5000,299,426,918,886,878,794,234,20,3,4469,342,428,988,1008,1194,1109,477,171,29,5751,6047,9367,27399,30235,32807,30086,9723,1719,172,147559
5001,48,70,135,130,110,123,47,3,0,667,53,50,94,93,110,89,29,11,3,536,1214,1167,2693,2937,3418,3065,956,119,18,15601
5002,10,31,73,87,59,45,20,0,0,322,23,32,91,123,82,58,21,10,0,431,392,532,1995,2098,1808,1535,585,85,0,9046
5003,79,168,318,275,309,216,60,9,0,1427,92,125,279,286,236,183,63,11,0,1275,2486,2834,6743,7645,7672,5839,1489,124,13,34843
5004,52,70,130,143,173,102,46,3,0,722,51,54,91,142,146,108,48,17,6,669,1406,1111,2916,4074,4406,3468,1156,138,19,18679
5005,25,32,69,54,73,37,13,0,0,300,18,33,37,37,47,46,21,9,0,251,372,439,1002,1089,1226,1058,291,52,0,5530
5006,70,90,164,144,135,110,38,12,0,759,54,53,127,119,140,100,45,9,4,660,1310,1386,3197,3400,3804,3112,886,105,14,17211
5007,56,89,165,152,140,79,21,0,0,708,52,66,152,142,131,101,35,4,0,680,884,1445,3629,3358,3088,2467,593,51,0,15512
5008,27,33,105,99,66,29,9,0,0,363,26,50,132,147,101,63,13,0,0,524,488,667,2498,2749,2024,1169,243,13,0,9842
5009,2114,4452,10025,8788,7577,5599,1806,238,15,40612,2258,4799,11572,11392,9591,6563,2096,461,99,48846,56872,95792,228225,235857,209408,153140,42645,4812,350,1027100
5010,20,25,81,74,48,34,10,0,0,293,17,35,88,95,78,57,8,0,0,392,361,543,2396,2346,1683,1207,227,4,0,8763
