SUA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
5000,2718,31527,34246,30949,13494,44445,11771,2043,13813,10442,1776,12220,5158,830,5988,3274,463,3739,64313,50126,114434
5001,279,4207,4490,4512,651,5158,1729,169,1896,1540,61,1598,661,30,691,365,21,386,9075,5138,14220
5002,159,1363,1524,1036,1490,2525,694,268,966,687,208,891,369,93,460,259,57,321,3201,3480,6679
5003,748,7900,8644,9091,1233,10321,4135,298,4436,3899,158,4062,1603,65,1672,745,35,782,20220,9698,29920
5004,442,3952,4396,5218,910,6133,2073,181,2254,1989,139,2127,790,62,851,319,25,346,10831,5276,16103
5005,137,1495,1631,1401,370,1770,566,78,640,497,65,563,238,40,274,109,13,119,2950,2055,5009
5006,454,4260,4711,4373,907,5280,2031,262,2293,1696,148,1844,761,89,843,431,55,484,9737,5720,15458
5007,236,3321,3553,2707,790,3489,1507,221,1733,1411,136,1552,677,75,749,355,27,382,6890,4565,11453
5008,176,1494,1668,1181,619,1802,769,187,959,977,162,1142,459,84,533,222,42,265,3774,2595,6372
5009,17613,201195,218808,226834,32165,259002,121234,9747,130985,119272,5029,124300,45997,2127,48116,21637,1031,22673,552581,251297,803884
5010,170,1904,2073,1159,593,1752,728,175,901,693,116,813,355,57,412,256,28,280,3367,2872,6239
