SUA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
5000,5710,34522,35182,15198,11037,101663,12778,114434
5001,675,4812,5086,1858,1105,13536,681,14220
5002,418,2473,1899,691,378,5868,814,6679
5003,1254,9824,11379,3984,1950,28392,1527,29920
5004,496,5373,6173,2100,1096,15232,875,16103
5005,227,1519,1725,627,392,4489,521,5009
5006,701,5021,5471,1966,1036,14195,1268,15458
5007,514,3286,3922,1524,878,10123,1337,11453
5008,172,1547,2307,896,452,5375,997,6372
5009,39169,271880,305955,99158,53783,769950,33930,803884
5010,329,1761,2044,730,325,5192,1044,6239
