SUA_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
5000,107,480,431,443,345,323,92,13,2227,130,203,237,180,136,98,12,0,1003,1640,6201,6285,6065,5878,4058,1300,197,31625,447,1467,1409,1256,1371,1118,363,62,7500,380,699,993,1019,931,677,253,48,4994,94,422,482,601,645,416,149,30,2846,73,243,379,498,637,693,188,30,2738,374,858,1111,1257,1260,950,296,47,6154,241,569,553,534,584,478,173,20,3141,98,241,190,180,151,155,58,5,1080,206,501,622,592,468,258,103,17,2761,38,14,12,4,16,5,11,0,100,67,180,254,261,241,162,62,12,1249,3001,6598,6895,6898,5437,2989,1330,386,33533,6892,18692,19846,19809,18100,12382,4384,866,100959,120,419,449,343,256,159,25,3,1787,21,66,83,73,94,56,9,0,398,163,501,360,248,176,120,51,19,1635,35,122,115,107,80,39,7,0,500,274,517,645,486,354,144,29,3,2451,551,1820,1673,1690,2356,1723,593,144,10551,377,1392,1862,1932,2100,1594,465,91,9812,824,2187
5001,17,17,35,34,36,36,24,5,205,32,51,47,29,24,13,3,0,203,144,369,313,367,393,335,167,51,2140,86,195,156,137,128,118,77,32,921,60,63,79,95,109,86,49,17,565,22,80,72,90,90,47,27,7,426,3,45,55,86,93,98,37,9,425,81,68,132,132,136,110,47,16,721,54,65,69,90,107,104,21,9,520,27,32,32,28,19,22,9,3,168,25,80,81,73,52,25,22,7,347,4,5,0,0,0,0,0,0,13,6,9,13,21,25,17,12,3,111,134,163,146,154,148,137,96,67,1052,686,1249,1243,1323,1365,1162,581,218,7822,19,35,47,43,29,16,5,0,195,3,12,17,15,6,5,0,0,54,6,33,21,17,23,3,10,9,121,3,13,13,14,7,3,0,0,59,30,35,49,49,45,18,5,0,228,120,295,289,304,331,255,139,50,1773,48,149,203,251,240,219,112,20,1240,145,241
5002,6,25,22,19,12,19,4,0,108,12,20,21,9,4,9,0,0,78,72,240,224,238,240,263,81,7,1363,16,111,120,106,88,87,19,0,552,12,28,42,43,27,31,13,0,206,11,47,60,45,47,38,20,0,265,6,28,57,46,49,49,15,0,245,21,91,125,109,107,125,27,0,604,13,69,71,54,46,42,22,0,312,11,23,28,17,10,20,0,0,113,5,26,44,40,25,9,8,0,164,4,0,0,0,3,0,0,0,10,0,11,20,18,20,12,3,0,90,177,241,225,248,245,182,92,14,1430,367,981,1051,981,932,886,310,29,5535,17,44,34,24,14,8,3,0,146,0,3,13,7,8,3,0,0,30,13,30,27,9,7,3,5,0,95,0,16,6,11,7,8,3,0,56,10,22,25,16,10,0,0,0,95,55,267,182,141,185,122,31,0,980,24,135,174,122,151,156,25,3,773,53,262
5003,15,46,76,62,61,60,23,0,343,69,119,129,53,36,14,7,0,422,445,1163,1288,1254,1103,793,360,79,6485,151,424,365,296,308,220,111,30,1906,32,75,93,99,95,65,29,13,505,42,137,185,164,159,94,33,9,815,21,72,114,157,157,138,51,15,725,121,218,344,339,273,203,70,9,1592,126,132,148,143,137,100,32,13,838,56,46,58,37,33,16,8,0,258,46,134,143,117,99,55,22,0,616,8,8,0,0,9,5,0,0,32,19,35,68,78,59,26,10,3,297,251,357,332,345,270,257,163,110,2091,1414,2979,3341,3136,2796,2046,932,283,16925,29,88,85,91,53,26,3,0,381,8,28,38,29,25,9,3,0,136,36,117,91,63,52,28,11,10,407,11,39,40,41,20,5,0,0,149,34,60,77,61,37,9,7,0,283,265,612,634,534,539,373,170,61,3177,166,375,550,634,489,323,123,34,2691,345,838
5004,7,23,68,58,46,59,30,8,301,22,32,38,32,18,24,4,0,174,106,314,463,490,496,520,243,58,2685,81,252,233,238,226,204,98,24,1359,23,54,112,102,86,71,41,10,501,7,47,85,97,84,57,28,6,411,6,38,68,71,87,114,56,13,460,74,145,165,229,211,187,94,15,1120,27,66,86,82,64,87,41,5,468,27,43,42,37,21,22,10,0,204,53,105,130,111,72,48,10,3,527,6,10,0,0,0,0,0,0,18,10,17,29,22,22,16,9,3,118,125,174,182,183,182,181,132,62,1226,578,1317,1697,1759,1618,1598,799,204,9571,10,36,62,61,35,28,8,0,248,4,9,10,13,11,10,0,0,53,11,17,35,29,13,16,13,5,135,7,26,26,21,10,5,3,0,92,17,42,61,50,33,12,0,0,215,99,262,371,314,369,279,153,50,1897,41,178,348,355,293,268,98,23,1604,125,299
5005,0,4,3,0,9,11,0,0,35,4,8,9,3,3,0,0,0,33,69,178,174,168,151,98,50,9,909,28,55,57,43,44,31,15,0,278,14,28,41,38,37,13,21,3,201,0,15,13,24,19,7,4,3,90,0,13,20,25,23,14,10,0,106,13,30,36,43,32,19,13,7,193,3,8,17,19,16,9,0,4,79,4,9,4,4,0,0,0,0,25,10,26,21,23,22,4,0,0,96,0,0,0,0,0,0,0,0,0,0,5,8,5,0,7,6,0,34,104,102,90,134,103,88,79,15,711,271,480,493,534,466,302,202,40,2780,3,15,20,10,3,0,0,0,51,0,0,0,0,5,0,0,0,12,6,11,4,9,3,7,0,0,37,0,0,0,0,6,0,0,0,15,11,25,18,15,7,0,4,0,72,15,67,78,61,74,61,47,14,413,12,61,68,90,70,50,32,10,388,62,100
5006,9,30,26,28,17,13,6,0,129,28,57,33,25,13,4,5,0,160,203,538,544,577,544,401,161,50,3013,70,229,173,146,171,125,53,12,984,28,46,51,85,60,48,8,4,340,20,61,76,83,70,42,13,0,352,7,38,63,78,84,57,17,0,346,43,86,136,157,138,87,28,6,678,29,64,80,67,66,44,15,3,371,18,22,23,11,11,15,0,0,109,33,65,66,64,46,15,18,0,302,5,7,0,0,5,0,0,4,12,10,16,28,23,25,14,6,0,116,233,264,292,249,232,173,161,75,1669,751,1514,1588,1588,1481,1041,478,165,8606,24,42,51,29,15,17,0,0,174,4,12,17,7,7,9,0,0,66,19,30,28,27,19,10,8,4,150,0,5,13,12,9,5,0,0,43,37,43,40,35,27,9,0,0,189,165,375,301,294,213,190,79,27,1638,53,221,270,334,252,124,52,11,1325,150,324
5007,17,64,68,48,27,16,7,0,243,13,26,28,11,3,4,0,0,90,271,904,824,671,507,228,60,5,3467,47,121,90,79,82,53,18,0,484,6,25,27,29,14,16,0,0,107,14,53,50,57,47,26,0,0,248,0,39,36,39,46,20,3,0,185,42,84,140,101,82,29,3,0,484,27,69,63,48,35,15,10,0,267,16,18,15,11,8,0,0,0,69,20,52,49,46,34,11,4,0,212,5,5,3,0,5,0,0,0,15,6,19,32,27,16,11,0,0,113,233,375,373,310,338,220,83,16,1940,730,1845,1792,1463,1238,637,190,29,7921,12,76,69,23,9,0,0,0,190,0,10,14,11,3,0,0,0,43,24,77,52,27,14,0,0,0,199,0,6,9,11,4,0,0,0,31,11,25,12,12,11,5,0,0,72,91,228,167,165,144,52,22,0,881,62,174,189,171,109,45,18,5,763,113,316
5008,7,13,21,26,4,13,0,0,90,8,21,23,13,0,0,0,0,69,153,630,679,532,315,100,25,0,2430,26,151,141,81,71,27,4,0,499,5,14,25,26,12,8,0,0,85,0,36,38,33,33,14,0,0,159,3,29,40,40,18,8,4,0,150,16,86,161,124,74,23,4,0,481,22,39,45,42,26,12,0,0,193,8,18,19,7,0,3,0,0,44,13,44,48,31,21,7,0,0,162,3,0,0,0,0,0,0,0,5,6,19,32,19,25,0,0,0,109,220,444,550,448,328,101,30,6,2121,490,1526,1826,1413,931,326,71,4,6587,4,26,31,20,4,0,0,0,84,0,7,15,6,6,0,0,0,39,26,73,60,24,7,0,0,0,190,0,5,10,7,0,0,0,0,24,6,11,17,9,7,0,0,0,49,46,175,146,66,64,23,7,0,523,31,158,173,115,56,31,4,0,577,75,290
5009,1605,3786,4031,3766,3176,2451,1119,221,20154,2301,5497,7784,4266,2155,802,155,11,22966,8915,30842,32883,28935,26722,20605,9607,2519,161034,3308,10307,9262,7890,6915,5243,2712,840,46476,647,1741,2135,1975,1583,1060,568,154,9863,1707,6320,5937,5039,3781,2417,1212,350,26765,677,2733,2882,2965,3343,3025,1468,382,17480,6408,15553,19982,16621,12026,8148,3483,757,82974,4067,8034,7644,6735,5184,4072,1673,360,37761,2951,4161,3355,1959,1272,980,338,84,15103,1966,4697,4752,3268,2322,1288,618,124,19032,330,155,78,66,71,58,40,12,810,576,1564,1796,1675,1212,775,441,136,8178,6993,10051,9428,7751,6058,5059,4359,2695,52388,42457,105445,111946,92907,75819,55988,27786,8643,520989,2204,5048,5122,3609,2260,1177,383,102,19910,425,2115,2530,1366,864,318,66,7,7687,1086,4100,4000,2330,1464,881,450,283,14600,486,1999,1631,1037,632,287,67,22,6169,609,1577,1712,1097,653,279,64,29,6022,7089,22542,19286,15179,13037,8533,4086,1343,91097,3538,11675,13615,13906,11814,8578,3669,987,67794,8419,26333
