SUA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
5000,51022,29672,43334,45579,48566,50894,39509,16351,4355,329284
5001,6054,3806,3782,3816,4349,4661,4135,2593,1112,34302
5002,3803,1752,2989,2875,2589,2819,2670,882,111,20493
5003,15141,8540,9139,9792,9656,9050,7242,3957,1528,74044
5004,7711,3649,3807,5011,5319,5265,5321,2841,1039,39963
5005,2331,1322,1355,1428,1596,1628,1304,840,271,12063
5006,7733,4480,4521,4697,5036,4909,3954,2119,829,38278
5007,6395,3607,4932,4508,4016,3605,1919,690,197,29861
5008,4459,1889,3550,3787,2837,1873,785,181,22,19385
5009,398297,251358,292027,296152,263105,228967,182307,100675,40595,2053484
5010,3780,1705,3567,3401,2611,2103,811,189,34,18199
