SA3_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
50101,43,1733,757,365,1867,0.7,1482,2.5
50102,40,1612,742,300,1962,0.7,1550,2.5
50103,48,1387,663,250,1613,0.7,1237,2.3
50201,44,1733,617,300,1664,0.7,1283,2.4
50301,41,3285,1091,460,3945,0.8,2773,2.6
50302,36,2167,1136,390,2945,0.9,2082,2.1
50401,38,1853,853,340,2236,0.8,1733,2.3
50402,42,1950,789,330,2219,0.7,1830,2.6
50403,35,1842,825,340,2116,0.8,1849,2.8
50501,41,2080,893,400,2529,0.7,2158,2.7
50502,38,1950,890,350,2313,0.8,1779,2.4
50503,35,1896,800,350,2147,0.8,1889,2.8
50601,34,1750,801,305,2061,0.8,1768,2.8
50602,36,1842,938,350,2259,0.8,1757,2.3
50603,36,1820,751,350,2125,0.8,1795,2.7
50604,36,1733,717,330,1930,0.8,1652,2.8
50605,40,1907,820,370,2215,0.7,1863,2.6
50606,33,1975,884,380,2241,0.8,2094,3
50607,39,2200,992,360,2761,0.8,1997,2.2
50701,36,1946,902,370,2340,0.8,1982,2.6
50702,43,2167,971,380,2694,0.8,1936,2.3
50703,33,1725,792,315,1996,0.8,1712,2.7
50704,42,2197,896,400,2654,0.7,2099,2.6
50705,36,1733,767,330,2077,0.7,1718,2.6
50901,44,1480,708,280,1723,0.7,1318,2.4
50902,47,1424,719,231,1759,0.7,1358,2.3
50903,45,1105,817,200,1858,0.7,1378,2.3
51001,39,2123,904,216,1950,1,1680,2.8
51002,37,1479,1879,189,3164,0.9,2497,2.7
51003,37,2000,1750,220,3426,0.9,2795,2.8
51101,41,1517,854,260,2014,0.7,1539,2.4
51102,50,1733,801,255,1998,0.9,1444,2.4
51103,36,1517,1346,280,2663,0.8,2157,2.5
51104,43,1517,794,250,1908,0.7,1445,2.4
59797,45,1733,2700,0,1375,0.7,1833,1.7
