IARE_CODE_2021,Arthritis_Age_0_14,Arthritis_Age_15_24,Arthritis_Age_25_34,Arthritis_Age_35_44,Arthritis_Age_45_54,Arthritis_Age_55_64,Arthritis_Age_65_over,Arthritis_Age_Tot,Asthma_Age_0_14,Asthma_Age_15_24,Asthma_Age_25_34,Asthma_Age_35_44,Asthma_Age_45_54,Asthma_Age_55_64,Asthma_Age_65_over,Asthma_Age_Tot,Cancer_inc_rem_Age_0_14,Cancer_inc_rem_Age_15_24,Cancer_inc_rem_Age_25_34,Cancer_inc_rem_Age_35_44,Cancer_inc_rem_Age_45_54,Cancer_inc_rem_Age_55_64,Cancer_inc_rem_Age_65_over,Cancer_inc_rem_Age_Tot,Dem_inc_Alz_Age_0_14,Dem_inc_Alz_Age_15_24,Dem_inc_Alz_Age_25_34,Dem_inc_Alz_Age_35_44,Dem_inc_Alz_Age_45_54,Dem_inc_Alz_Age_55_64,Dem_inc_Alz_Age_65_over,Dem_inc_Alz_Age_Tot,Dia_exc_ges_dia_Age_0_14,Dia_exc_ges_dia_Age_15_24,Dia_exc_ges_dia_Age_25_34,Dia_exc_ges_dia_Age_35_44,Dia_exc_ges_dia_Age_45_54,Dia_exc_ges_dia_Age_55_64,Dia_exc_ges_dia_Age_65_over,Dia_exc_ges_dia_Age_Tot,HD_inc_Ha_ang_Age_0_14,HD_inc_Ha_ang_Age_15_24,HD_inc_Ha_ang_Age_25_34,HD_inc_Ha_ang_Age_35_44,HD_inc_Ha_ang_Age_45_54,HD_inc_Ha_ang_Age_55_64,HD_inc_Ha_ang_Age_65_over,HD_inc_Ha_ang_Age_Tot,Kid_dis_Age_0_14,Kid_dis_Age_15_24,Kid_dis_Age_25_34,Kid_dis_Age_35_44,Kid_dis_Age_45_54,Kid_dis_Age_55_64,Kid_dis_Age_65_over,Kid_dis_Age_Tot,LC_inc_COPD_emph_Age_0_14,LC_inc_COPD_emph_Age_15_24,LC_inc_COPD_emph_Age_25_34,LC_inc_COPD_emph_Age_35_44,LC_inc_COPD_emph_Age_45_54,LC_inc_COPD_emph_Age_55_64,LC_inc_COPD_emph_Age_65_over,LC_inc_COPD_emph_Age_Tot,MHC_inc_dep_anx_Age_0_14,MHC_inc_dep_anx_Age_15_24,MHC_inc_dep_anx_Age_25_34,MHC_inc_dep_anx_Age_35_44,MHC_inc_dep_anx_Age_45_54,MHC_inc_dep_anx_Age_55_64,MHC_inc_dep_anx_Age_65_over,MHC_inc_dep_anx_Age_Tot,Stroke_Age_0_14,Stroke_Age_15_24,Stroke_Age_25_34,Stroke_Age_35_44,Stroke_Age_45_54,Stroke_Age_55_64,Stroke_Age_65_over,Stroke_Age_Tot,A_oth_LTHC_Age_0_14,A_oth_LTHC_Age_15_24,A_oth_LTHC_Age_25_34,A_oth_LTHC_Age_35_44,A_oth_LTHC_Age_45_54,A_oth_LTHC_Age_55_64,A_oth_LTHC_Age_65_over,A_oth_LTHC_Age_Tot,No_LTHC_Age_0_14,No_LTHC_Age_15_24,No_LTHC_Age_25_34,No_LTHC_Age_35_44,No_LTHC_Age_45_54,No_LTHC_Age_55_64,No_LTHC_Age_65_over,No_LTHC_Age_Tot,Not_st_Age_0_14,Not_st_Age_15_24,Not_st_Age_25_34,Not_st_Age_35_44,Not_st_Age_45_54,Not_st_Age_55_64,Not_st_Age_65_over,Not_st_Age_Tot,Tot_per_Age_0_14,Tot_per_Age_15_24,Tot_per_Age_25_34,Tot_per_Age_35_44,Tot_per_Age_45_54,Tot_per_Age_55_64,Tot_per_Age_65_over,Tot_per_Age_Tot
IARE501001,0,4,3,8,9,33,40,101,48,28,32,38,27,23,27,220,0,0,0,3,6,18,22,49,0,0,0,0,0,3,9,18,4,9,9,26,50,73,63,229,11,10,13,12,20,42,38,139,3,0,0,7,12,19,16,65,0,0,0,0,8,18,24,54,12,37,46,30,35,23,14,195,0,0,0,0,8,7,7,25,36,23,16,25,45,35,24,206,943,386,347,274,144,90,40,2234,106,63,52,61,41,27,20,366,1158,529,514,461,327,290,192,3467
IARE501002,0,0,0,0,10,7,8,25,3,5,11,9,11,0,0,52,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,6,0,0,5,15,30,12,12,75,6,7,3,8,13,4,9,39,0,0,0,0,4,5,9,15,0,0,0,0,3,0,0,10,4,0,5,9,6,4,0,26,0,0,0,0,3,4,0,9,5,5,0,10,9,10,5,43,365,206,196,131,83,64,22,1065,43,10,14,12,7,4,0,92,431,233,224,178,147,97,58,1379
IARE502001,3,0,0,0,16,9,22,50,12,9,12,8,17,18,18,94,0,0,0,0,3,4,4,15,0,0,0,0,0,0,9,16,0,0,3,7,29,38,40,116,3,0,5,3,12,17,20,63,0,0,4,0,4,7,4,19,0,0,0,0,5,10,3,17,0,7,10,6,9,5,5,45,0,0,0,0,0,0,5,6,9,4,6,7,6,16,17,62,184,83,60,36,47,31,29,471,29,12,11,4,5,11,13,80,245,118,88,65,115,95,115,843
IARE502002,0,0,0,0,3,3,3,12,0,4,5,0,7,5,0,20,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,3,0,8,0,8,26,0,0,5,0,3,4,0,13,0,0,0,0,0,0,5,9,0,0,0,0,0,0,3,8,0,0,3,3,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,39,13,16,13,15,9,0,109,12,0,0,0,7,0,0,17,49,22,28,19,35,20,15,185
IARE502003,0,0,0,0,8,6,5,12,6,5,7,5,3,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,10,33,0,0,0,0,5,5,6,16,0,0,0,0,0,0,4,7,0,0,0,0,0,4,0,9,0,0,5,0,7,7,4,23,0,0,0,0,0,0,0,4,5,0,0,5,3,7,4,27,86,30,25,19,22,9,10,200,14,7,9,0,0,7,5,31,107,42,39,26,42,37,34,337
IARE502004,0,4,15,10,37,60,77,201,110,61,51,57,59,48,43,427,0,0,0,4,12,16,31,64,0,0,0,0,3,6,20,29,3,12,23,40,67,101,109,355,0,4,6,12,28,60,59,165,0,0,3,3,9,17,29,65,5,0,0,4,15,18,32,76,27,57,57,57,55,56,33,341,0,0,0,0,11,7,20,35,80,30,31,34,39,43,29,269,911,433,264,194,153,75,46,2075,134,92,77,73,44,22,14,460,1236,662,484,410,377,315,256,3736
IARE502005,0,0,0,0,4,9,17,32,6,5,0,5,3,8,12,39,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,4,0,0,0,5,3,15,15,39,4,0,0,3,0,7,14,31,0,0,0,0,0,0,7,10,0,0,0,0,0,0,3,6,0,6,5,8,3,10,0,28,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,22,81,53,25,26,16,16,4,223,7,6,0,0,4,0,3,19,99,69,37,45,25,52,38,361
IARE502006,0,0,0,0,3,6,4,12,0,5,0,4,5,5,0,25,0,0,0,0,0,3,5,4,0,0,0,0,0,0,3,3,0,0,0,5,7,13,9,42,5,3,0,6,3,11,7,33,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,10,0,4,4,6,4,4,0,20,0,0,0,0,0,0,8,8,6,0,0,0,5,3,0,18,107,58,35,29,21,15,0,277,9,15,14,6,8,3,0,63,129,95,59,46,44,52,27,449
IARE502007,0,0,0,0,6,0,3,11,4,3,0,0,4,5,3,21,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,23,0,0,0,0,5,4,8,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,3,3,0,4,0,3,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,12,48,17,17,10,12,16,0,121,6,3,0,6,3,0,3,16,59,25,21,17,32,29,20,207
IARE503001,0,0,0,8,4,15,15,45,13,8,11,3,7,13,4,56,0,0,0,0,3,8,5,14,0,0,0,0,0,0,3,3,0,0,3,4,3,10,19,40,0,0,0,0,0,9,9,22,0,0,0,0,4,4,0,10,3,0,0,0,0,9,4,11,3,12,13,8,9,15,3,67,0,0,0,0,0,0,3,3,10,0,0,4,10,10,6,40,186,94,43,36,35,22,4,416,27,22,4,3,3,3,8,70,229,135,76,66,64,62,57,684
