LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA50080,23,13,5,4,42,29,23,11,9,65,155,142,71,21,394,188,204,69,42,506,201,289,91,31,608,182,216,75,26,494,204,268,93,43,612,142,187,81,28,437,170,194,113,40,517,10,5,3,3,22,1331,1558,619,248,3757
LGA50210,59,53,23,20,152,104,76,35,15,236,498,447,167,88,1201,598,724,231,104,1656,711,887,282,128,2004,558,743,212,67,1584,709,1040,310,105,2163,555,808,312,110,1782,462,622,280,115,1473,30,21,4,9,70,4349,5489,1883,774,12495
LGA50250,0,0,0,0,0,0,0,0,0,3,4,0,3,0,8,9,11,0,0,23,10,36,15,9,71,19,29,9,3,62,42,75,48,6,170,57,81,43,7,187,33,34,7,12,85,0,0,0,0,4,185,273,131,42,627
LGA50280,13,5,3,0,18,12,15,3,0,36,92,65,28,7,191,89,116,48,7,256,88,133,38,7,273,74,103,38,7,218,105,135,46,6,292,58,82,26,8,172,99,164,55,6,324,5,4,3,0,15,653,836,287,52,1825
LGA50350,5,4,0,0,13,19,6,4,0,23,59,48,8,6,124,73,65,20,15,174,120,87,29,8,247,89,94,35,4,222,152,185,47,5,393,123,209,48,17,392,83,69,29,4,179,8,4,0,0,10,729,787,222,65,1797
LGA50420,43,44,11,7,102,75,51,22,6,153,355,222,67,23,667,354,294,82,26,757,437,414,93,29,968,362,375,95,25,858,608,715,167,36,1527,618,897,216,60,1794,309,283,90,37,721,13,24,0,5,44,3246,3355,866,254,7722
LGA50490,31,22,8,4,70,56,44,13,8,124,201,147,57,30,433,186,185,56,22,447,258,229,67,22,583,211,181,47,26,466,299,277,90,28,699,250,310,85,36,684,166,152,58,33,408,11,9,10,4,25,1727,1588,509,226,4047
LGA50560,0,0,0,0,0,4,0,0,0,9,7,0,3,3,17,10,6,4,0,20,6,7,4,0,20,6,0,3,0,7,7,7,0,0,17,3,5,0,0,8,14,18,4,0,43,0,0,0,0,0,72,43,26,9,150
LGA50630,0,0,0,0,0,0,0,0,0,0,0,3,6,5,7,9,7,6,3,18,11,8,3,0,21,0,5,5,0,14,12,12,9,3,36,6,17,3,0,36,15,15,8,3,39,0,0,0,0,0,64,72,32,13,186
LGA50770,3,5,0,0,3,5,0,0,0,6,5,7,0,0,12,10,13,6,0,26,9,11,7,3,28,4,10,5,0,16,8,5,6,0,23,5,4,8,0,17,12,9,8,0,37,0,0,0,0,0,49,70,41,10,172
LGA50840,0,0,0,0,4,0,0,3,0,12,22,15,8,0,46,14,24,6,6,56,32,38,13,3,78,19,24,15,5,65,26,34,21,3,80,18,17,18,4,53,25,36,14,17,90,3,0,0,0,3,159,191,91,33,486
LGA50910,0,0,0,0,0,0,0,0,0,0,5,5,0,0,9,3,13,3,0,17,5,8,0,0,10,4,0,3,0,9,3,3,0,0,9,3,0,0,0,13,6,5,0,0,22,0,0,0,0,0,29,38,12,5,84
LGA50980,10,17,7,3,37,11,3,4,3,25,29,27,20,12,92,34,45,20,5,104,74,66,34,11,187,72,74,24,13,181,109,161,60,16,348,101,144,69,11,335,64,117,45,33,255,14,10,0,0,25,530,688,299,112,1634
LGA51080,0,0,0,0,0,0,0,0,0,3,0,3,4,0,12,4,4,0,0,7,8,3,3,0,15,3,0,3,0,12,0,5,0,0,13,5,3,5,0,16,9,10,3,0,16,0,0,0,6,7,34,34,29,8,107
LGA51120,0,0,0,0,0,0,3,0,0,4,3,0,0,0,11,3,3,3,0,9,3,7,6,0,22,0,0,0,0,4,0,3,0,0,12,5,4,3,0,11,3,10,8,0,21,0,0,0,0,3,25,41,26,4,94
LGA51190,21,13,6,0,45,37,16,6,3,57,138,88,36,19,274,141,151,40,27,359,145,169,58,16,391,131,154,50,18,352,159,259,71,13,504,135,184,70,22,412,138,179,57,13,387,3,3,5,5,18,1068,1232,396,131,2834
LGA51260,24,18,3,0,46,32,18,5,0,60,152,139,36,19,340,197,189,75,19,479,179,283,105,28,592,198,239,94,22,548,214,348,131,18,716,194,305,132,36,666,255,346,148,38,788,14,15,6,4,37,1474,1911,737,196,4315
LGA51310,6,7,0,0,11,7,11,6,0,17,42,25,12,0,73,51,49,10,0,115,74,86,27,5,189,85,95,37,7,228,186,257,64,14,516,571,1305,551,94,2521,93,166,81,23,362,11,9,3,0,23,1145,2005,788,147,4088
LGA51330,78,50,25,6,163,114,100,30,25,270,527,443,125,72,1160,590,606,162,54,1412,655,770,239,70,1730,503,685,178,37,1401,764,1089,339,71,2264,770,1297,425,94,2587,436,540,208,82,1263,15,22,4,0,41,4580,5713,1769,539,12600
LGA51400,9,9,0,0,19,14,9,4,0,33,61,42,26,12,137,68,86,44,5,207,110,160,62,17,347,103,142,54,18,319,152,209,83,10,452,123,183,69,24,405,129,178,87,33,428,4,12,0,0,20,799,1036,436,124,2395
LGA51470,0,0,0,0,0,0,5,0,0,5,3,0,0,0,3,3,5,0,0,9,0,3,0,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,4,0,15,0,0,0,0,0,12,24,3,4,45
LGA51540,6,0,4,3,8,10,4,4,4,14,14,12,0,0,29,12,19,8,3,42,22,28,5,0,58,19,24,8,0,51,16,34,16,7,68,21,20,4,0,48,22,28,12,7,63,5,3,0,0,3,142,183,63,23,408
LGA51610,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,3,5,4,0,16,0,14,9,5,23,9,11,4,0,21,13,16,9,0,32,16,15,7,7,36,16,14,4,0,34,0,0,0,0,3,60,70,38,5,179
LGA51680,0,0,0,0,0,7,4,0,0,9,18,17,7,10,49,25,14,11,12,59,33,29,9,3,76,33,24,20,11,89,58,54,29,5,144,48,56,26,8,136,59,65,21,11,153,0,4,0,0,3,285,270,123,58,738
LGA51710,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,5,8,3,0,15,9,3,6,3,20,5,6,0,0,18,9,12,7,0,32,8,12,9,0,31,5,6,7,3,21,0,0,0,0,0,51,59,28,12,149
LGA51750,5,5,0,0,6,4,4,0,0,6,14,12,0,0,28,31,6,3,0,39,32,23,4,0,59,20,27,6,3,56,62,69,25,0,156,205,334,168,22,723,33,46,23,0,114,4,0,0,0,3,417,531,235,34,1210
LGA51820,62,47,13,8,134,82,70,22,9,188,464,363,97,39,966,604,568,168,52,1396,824,989,293,81,2182,775,952,254,56,2031,1165,1537,405,77,3191,1075,1636,562,118,3393,599,747,309,81,1732,39,32,9,0,82,5778,6994,2147,543,15467
LGA51860,3,0,0,0,3,5,0,0,0,4,3,5,3,0,14,5,0,5,0,12,3,4,5,0,14,6,0,0,0,7,3,0,5,0,9,0,0,5,0,3,4,6,3,5,14,0,0,0,0,0,31,21,19,3,77
LGA51890,13,3,0,0,23,7,14,3,3,24,32,26,12,3,76,38,39,16,0,97,33,44,19,6,102,32,48,21,3,108,49,57,25,6,143,35,46,18,5,105,43,49,30,11,132,0,0,0,0,7,297,330,152,46,831
LGA51960,4,0,0,0,3,0,3,0,0,3,8,9,5,0,20,9,3,0,0,19,14,15,8,0,39,12,15,8,0,31,18,24,12,6,54,20,24,6,4,58,12,10,6,7,37,6,4,0,0,3,111,108,41,18,286
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,0,15,5,3,0,0,12,0,5,0,0,14,3,4,0,0,3,0,0,0,0,0,4,9,3,5,13,0,0,0,0,0,21,34,7,9,69
LGA52100,0,0,0,0,0,4,0,0,0,3,7,0,0,0,7,0,0,5,0,10,7,3,4,0,15,4,6,0,3,13,3,0,10,0,16,3,3,0,0,10,0,4,13,0,22,0,0,0,0,0,34,24,32,10,99
LGA52170,0,0,0,0,3,3,0,0,0,3,6,3,0,0,4,4,11,0,0,14,19,8,5,0,32,19,19,9,4,44,36,33,5,3,79,187,273,157,25,638,23,42,24,9,106,3,0,0,0,4,302,393,201,49,942
LGA52240,3,0,0,0,0,0,0,0,0,0,7,10,3,0,13,11,6,0,0,20,5,8,5,0,14,6,3,0,0,13,4,3,0,0,11,6,7,4,0,15,4,11,3,0,20,0,0,0,0,0,38,48,16,8,113
LGA52310,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,6,8,0,0,14,4,3,0,0,4,3,5,0,0,9,6,0,0,0,7,0,6,0,0,6,4,6,5,3,24,0,0,0,0,0,33,27,19,4,82
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
LGA52450,0,0,0,0,0,0,0,0,0,6,3,8,0,0,12,8,9,8,0,21,5,9,5,0,21,3,4,7,0,15,3,7,9,4,19,4,6,0,0,16,7,10,7,0,24,3,0,0,0,3,42,55,37,14,145
LGA52520,0,0,0,0,5,0,0,0,0,3,4,9,0,4,16,4,7,3,0,19,13,3,4,0,21,9,3,0,0,14,7,10,4,0,21,3,10,9,5,24,3,12,11,0,25,0,0,0,0,0,48,61,31,7,150
LGA52590,0,0,0,0,3,3,0,0,0,3,8,4,3,4,20,10,11,6,3,31,9,20,4,0,39,5,11,8,0,25,16,26,6,0,45,12,10,9,0,33,23,24,13,3,60,3,0,0,0,3,96,110,50,11,266
LGA52660,3,0,4,0,12,14,7,5,0,27,58,30,14,8,115,83,81,29,10,202,96,116,35,19,264,76,122,39,20,255,114,142,61,21,342,87,104,46,14,247,92,111,55,24,279,4,5,3,0,10,627,722,299,105,1754
LGA52730,0,0,4,0,3,16,6,7,0,28,29,20,13,5,69,28,31,20,9,79,15,26,15,0,59,25,41,7,9,82,25,26,8,7,68,22,35,13,0,70,30,36,25,9,94,0,0,0,0,3,197,222,106,36,561
LGA52800,29,14,13,7,59,12,16,13,9,50,17,15,17,13,59,10,16,7,8,34,12,14,7,4,40,4,10,3,6,27,22,20,11,5,47,12,5,5,3,24,26,21,23,13,80,11,4,3,3,23,196,166,107,67,527
LGA52870,3,0,4,0,9,3,6,0,0,12,23,22,15,7,63,17,27,18,4,65,21,44,13,8,82,29,41,9,5,81,29,36,16,9,89,24,36,15,8,87,36,37,16,9,105,0,0,0,0,0,206,248,108,42,603
LGA52940,3,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,0,12,0,11,0,6,0,0,9,0,4,3,0,4,0,5,0,0,4,4,12,8,0,23,0,0,0,0,0,18,21,29,4,70
LGA53010,0,0,0,0,0,0,3,0,0,4,3,7,3,0,11,3,3,4,0,12,0,0,0,0,5,0,3,0,0,7,5,0,0,0,7,4,4,0,0,6,4,5,0,0,12,0,0,0,0,0,23,27,21,0,65
LGA53080,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,11,12,4,4,27
LGA53150,0,0,0,0,0,0,3,0,0,3,17,8,0,0,21,15,9,6,0,34,26,27,14,0,66,23,35,5,5,68,53,71,23,0,149,145,263,90,19,522,37,46,22,9,112,0,0,0,0,4,320,470,168,35,987
LGA53220,4,4,10,3,25,4,6,0,3,16,9,12,5,10,32,18,11,5,3,36,23,19,7,8,53,23,29,9,3,69,32,53,24,13,120,62,72,35,17,184,19,33,16,8,82,3,0,0,0,3,208,249,122,65,643
LGA53290,4,0,6,5,12,11,5,0,0,16,52,39,16,9,114,60,70,31,10,170,71,83,36,8,202,51,71,30,8,151,60,97,47,11,215,60,82,24,10,176,84,103,51,26,260,7,5,0,0,19,473,570,241,89,1364
LGA53360,0,0,0,0,3,0,3,0,0,8,12,6,4,0,22,16,17,4,0,39,14,16,11,0,41,14,23,7,0,46,11,23,7,3,46,13,19,9,0,41,16,37,9,0,69,0,0,0,0,0,110,142,51,6,311
LGA53430,21,10,0,5,34,20,8,7,0,33,89,38,11,4,147,96,75,16,0,185,130,122,38,11,300,148,130,30,3,309,232,278,65,11,597,390,521,161,20,1094,123,148,44,14,326,6,7,4,0,18,1278,1357,371,76,3076
LGA53570,5,0,3,0,8,5,6,0,0,7,13,9,10,5,33,26,18,7,5,58,22,36,9,0,66,17,27,10,3,57,22,33,7,3,61,15,20,9,0,43,48,38,30,6,122,0,4,5,0,6,181,180,84,35,482
LGA53640,0,0,0,0,0,4,5,0,0,12,8,9,4,0,20,5,3,3,0,10,6,17,6,0,23,3,3,7,0,11,4,8,5,0,18,8,7,4,0,17,6,13,7,5,29,0,0,0,0,0,47,61,28,8,145
LGA53710,0,0,0,0,0,0,0,5,0,6,5,5,6,0,11,5,5,10,0,10,3,3,0,0,12,5,0,0,0,8,0,4,6,0,13,3,4,5,0,13,4,8,5,4,19,0,0,0,0,0,28,29,28,4,93
LGA53780,117,98,66,28,308,188,161,84,51,489,771,712,263,168,1919,815,885,327,177,2201,941,1073,405,157,2572,732,918,265,100,2010,888,1169,420,137,2613,653,1099,402,136,2296,597,773,311,156,1837,45,41,13,13,117,5892,7049,2631,1175,16749
LGA53800,19,12,6,3,39,28,17,5,5,64,118,92,41,20,272,173,142,57,32,405,198,241,98,33,567,171,222,91,27,511,236,298,129,39,701,204,233,109,29,584,232,287,118,42,679,9,8,0,0,23,1424,1577,664,239,3905
LGA53920,18,9,8,4,36,12,7,9,0,26,16,19,4,9,50,7,7,3,7,22,5,6,3,3,13,7,5,0,3,15,3,0,0,0,9,0,3,0,0,3,12,4,4,11,29,8,9,0,0,17,128,82,44,45,294
LGA53990,6,10,4,5,27,14,11,3,0,33,115,68,45,15,240,147,134,73,23,375,164,244,102,28,540,120,212,72,16,424,181,302,112,35,623,170,233,95,34,538,195,239,104,54,588,11,7,8,0,30,1154,1471,616,213,3449
LGA54060,0,0,0,0,3,0,0,0,0,3,10,9,5,0,24,18,9,0,0,36,8,23,9,0,44,5,8,9,0,30,22,25,6,3,54,14,19,5,3,43,30,28,21,0,83,3,0,0,0,8,121,127,53,12,316
LGA54130,0,0,0,0,0,0,0,4,0,7,4,10,5,0,13,0,17,3,0,21,0,4,6,0,7,0,3,5,0,5,0,6,4,0,16,11,7,3,0,16,8,12,14,4,26,0,0,0,0,0,26,58,35,3,123
LGA54170,63,42,19,12,125,88,53,24,4,172,472,303,119,31,922,581,603,206,52,1441,883,1029,329,74,2315,950,1170,343,57,2525,1560,2446,678,130,4811,1934,3659,1158,235,6992,872,1227,493,115,2711,65,67,19,10,151,7552,10670,3404,720,22347
LGA54200,18,18,0,7,46,45,32,10,8,91,226,178,67,30,502,256,312,105,29,706,388,425,167,46,1021,318,431,160,45,957,474,685,265,56,1479,493,707,282,75,1558,341,361,169,62,927,22,25,0,0,52,2610,3191,1249,357,7406
LGA54280,0,3,3,0,13,22,5,0,3,33,45,35,12,6,101,82,88,29,10,212,157,162,54,27,398,134,154,58,26,376,258,315,128,38,737,322,399,179,56,963,149,150,86,45,434,3,17,5,3,33,1188,1343,562,225,3319
LGA54310,3,0,0,0,3,6,5,0,0,10,26,20,8,6,61,51,46,17,7,126,95,83,48,13,240,78,99,52,17,243,161,244,107,27,533,302,521,228,66,1113,102,146,58,20,324,4,9,0,0,17,835,1174,525,155,2696
LGA54340,4,5,3,0,13,12,3,0,5,22,21,12,9,9,47,25,14,13,4,56,18,22,3,5,53,22,18,6,5,47,4,17,4,0,31,8,16,4,9,32,13,21,14,12,57,0,0,0,0,5,130,135,61,48,373
LGA54410,4,0,0,0,3,0,0,0,0,3,5,3,0,0,12,0,4,6,3,11,3,0,0,0,16,6,4,3,0,9,4,3,0,0,8,0,7,0,0,5,4,3,3,0,13,4,0,0,0,4,40,27,14,11,92
LGA54480,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,3,3,4,0,8,5,9,0,3,11,0,4,5,0,5,3,3,4,0,9,4,0,6,0,11,4,7,5,0,12,0,0,0,0,0,19,33,13,5,69
LGA54550,3,0,0,0,0,3,0,0,0,6,7,8,8,0,22,9,13,7,3,26,10,13,8,0,34,9,10,4,0,18,12,9,6,0,32,8,8,8,0,23,10,14,8,0,36,0,0,0,0,3,68,83,52,9,206
LGA54620,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,0,0,0,0,6,0,3,0,0,5,6,0,6,0,8,5,5,0,0,11,0,4,3,0,8,6,10,4,0,23,0,0,0,0,0,25,26,16,4,71
LGA54690,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,3,0,4,3,3,0,0,9,0,0,0,0,4,0,0,0,0,0,8,14,10,0,35
LGA54760,0,0,0,0,0,0,0,0,0,0,0,4,6,0,14,0,3,5,0,6,0,4,5,0,10,3,3,0,0,5,0,4,6,3,16,0,0,3,0,7,7,7,9,0,23,0,0,0,0,0,24,31,26,0,84
LGA54830,38,30,8,8,79,52,30,15,11,105,240,205,75,33,549,336,337,113,46,828,352,378,169,44,938,281,324,118,39,757,355,429,137,43,962,184,287,109,45,626,261,343,150,67,816,15,8,8,0,28,2137,2399,900,339,5783
