LGA_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
LGA50080,0,15,25,67,73,19,10,6,10,9,227,0,0,0,3,0,19,18,11,5,3,0,9,67,0,0,0,0,0,0,14,3,5,3,8,3,35,4,0,6,19,18,55,57,16,8,8,0,31,223,0,0,0,0,0,4,0,3,0,0,0,277,284,8,6,11,59,74,422,934,559,414,382,261,534,3662,0,0,6,9,28,78,110,38,13,8,11,45,348,0,4,32,88,73,110,71,8,3,0,0,37,426,0,0,0,5,10,8,3,3,0,0,5,10,34,0,0,19,20,3,13,0,0,6,0,0,4,73,10,5,46,144,76,123,60,18,3,0,4,54,538,0,0,0,0,0,4,0,0,0,0,0,9,11,11,8,105,272,186,332,248,72,21,16,14,148,1426,62,51,172,629,888,1532,2107,1089,703,648,437,1109,9410,4,0,0,0,5,21,110,166,160,143,95,5,716,0,0,5,16,9,78,112
LGA50210,11,47,43,145,146,41,34,29,10,46,563,0,0,3,8,9,24,50,18,7,18,8,19,166,0,0,0,0,0,3,22,5,4,17,9,17,80,34,11,24,113,72,175,153,55,18,25,22,69,769,0,0,0,3,0,0,8,3,3,3,4,817,838,48,20,45,215,208,1000,2414,1715,1091,1219,857,1401,10254,0,0,0,18,50,246,324,124,53,36,17,132,1016,0,9,51,171,124,210,144,41,17,7,0,60,834,0,3,5,15,7,14,23,6,5,0,0,22,102,16,10,61,109,21,40,24,7,8,5,0,27,318,58,28,189,334,162,251,159,26,17,15,5,146,1387,0,0,0,0,0,4,3,5,0,0,0,23,35,80,48,309,645,363,765,679,214,96,65,27,411,3695,245,129,421,1244,1378,2912,4593,2922,1835,1891,1192,2560,21315,0,0,0,0,0,11,193,428,384,572,314,15,1922,0,0,0,9,12,74,127
LGA50250,0,0,0,0,5,9,5,0,4,0,19,0,0,0,0,0,0,9,6,0,10,0,4,29,0,0,0,0,0,0,4,0,0,3,6,3,23,0,0,0,5,3,3,0,4,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,48,50,0,0,0,4,8,23,61,153,84,148,205,100,788,0,0,0,0,0,4,13,19,8,10,0,9,69,0,0,0,3,0,0,4,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,3,0,0,0,0,0,0,10,0,0,8,7,3,4,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,16,10,11,22,27,6,10,3,15,139,11,5,13,34,16,47,123,236,157,256,326,172,1390,0,0,0,0,0,0,6,10,19,64,81,0,197,0,0,0,0,0,3,4
LGA50280,0,10,13,28,21,8,0,4,5,5,88,0,0,0,0,0,5,5,8,0,9,0,0,30,0,0,0,0,0,5,7,3,4,0,3,3,23,7,0,9,14,6,14,16,8,6,7,0,0,77,0,0,0,0,0,0,3,0,0,0,0,191,197,11,0,9,41,34,190,419,201,147,133,107,307,1603,0,0,3,10,10,46,38,20,4,5,3,21,155,0,0,6,51,24,48,25,10,0,3,0,13,188,0,0,0,7,0,4,3,0,0,0,0,0,21,0,0,5,3,4,3,0,0,0,0,0,0,23,0,0,17,45,18,27,13,0,0,0,0,14,140,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,37,123,62,126,74,30,8,6,6,52,520,41,16,62,251,264,581,867,430,261,225,161,540,3701,4,0,0,0,3,9,41,65,54,58,35,4,269,0,3,0,3,4,32,64
LGA50350,0,5,4,11,19,10,5,0,9,8,86,0,0,0,0,0,0,9,3,0,0,0,4,20,0,0,0,0,0,0,0,0,4,4,0,0,10,0,0,3,15,3,22,36,12,9,8,3,16,121,0,0,0,0,0,0,0,0,0,0,0,126,122,0,0,7,24,18,122,333,256,224,252,221,233,1703,0,0,0,4,5,37,71,31,22,11,5,31,222,0,0,15,29,25,38,26,10,0,3,0,13,155,0,0,0,3,0,5,4,8,0,5,0,0,27,0,0,10,19,5,8,0,0,0,0,0,5,41,11,3,23,52,39,45,38,4,4,0,0,24,257,0,0,0,3,0,0,0,0,0,0,0,6,8,11,3,49,107,69,125,144,50,30,25,13,79,710,44,22,72,226,248,462,766,509,415,439,320,454,3968,0,0,0,0,0,0,24,74,86,141,108,5,440,0,0,0,0,5,9,26
LGA50420,16,38,48,101,102,30,22,26,9,26,424,0,0,0,0,4,14,22,15,6,6,7,12,96,0,0,0,0,0,0,12,4,8,15,4,8,57,40,10,31,57,43,132,149,56,20,32,17,57,643,0,0,0,0,0,5,5,0,0,3,0,443,456,57,17,57,123,162,673,1390,1077,798,1088,966,843,7254,0,0,0,18,42,159,234,118,51,57,36,79,796,0,7,39,106,82,158,122,32,9,11,4,51,627,0,0,0,0,5,12,8,0,5,3,0,5,48,24,4,27,54,17,11,15,10,0,4,0,14,172,43,13,76,167,88,180,141,35,26,4,4,111,888,0,0,0,0,0,3,3,0,0,0,0,14,24,68,24,151,343,229,524,525,195,91,82,49,278,2551,224,86,292,889,1170,2245,3155,2097,1549,1962,1559,1849,17087,0,0,0,0,0,4,110,346,345,633,593,6,2040,0,0,4,8,7,77,147
LGA50490,7,28,18,58,34,12,9,15,11,15,223,0,0,0,0,9,10,13,9,0,5,4,11,63,0,0,0,0,0,0,8,3,3,3,9,0,31,21,4,20,57,30,85,100,32,15,17,3,29,419,0,0,0,0,0,4,0,5,0,0,0,283,295,31,8,35,116,93,402,793,545,365,479,327,474,3659,0,0,0,17,15,78,146,66,28,29,5,35,421,0,5,19,49,36,94,62,9,9,8,0,20,310,0,0,0,6,0,16,5,0,4,0,0,8,36,11,9,21,33,9,12,10,3,0,0,3,6,118,23,7,91,117,72,137,84,27,8,5,9,60,647,0,0,4,0,0,0,0,0,0,0,0,17,24,37,20,137,210,141,334,308,109,48,42,23,157,1555,127,47,214,547,636,1273,1810,1179,765,907,589,1069,9173,0,0,0,0,0,5,88,284,238,367,253,5,1248,0,0,0,7,12,48,99
LGA50560,0,0,0,5,4,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,6,4,26,37,9,19,8,9,37,148,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,5,5,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,3,0,4,4,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,11,5,7,4,0,0,0,0,8,47,9,3,3,40,59,76,93,34,27,18,16,74,449,0,0,0,0,0,0,0,5,6,9,4,0,25,0,0,0,0,7,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,5,3,11,26,38,26,37,26,44,213,0,0,0,0,0,5,11,0,0,0,0,4,19,0,0,3,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,3,6,9,0,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,6,15,16,3,0,4,0,5,69,9,0,6,28,21,45,78,60,39,68,47,67,476,0,0,0,0,0,0,0,3,0,6,9,0,23,0,0,0,0,0,3,0
LGA50770,0,3,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,8,0,27,39,19,16,11,9,32,165,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,9,0,10,3,5,4,0,0,4,42,4,0,16,41,38,83,90,55,36,22,24,61,461,3,0,0,3,3,6,4,11,0,10,5,0,50,0,0,0,0,0,4,3
