LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA50080,50,86,1164,34040,2210,262,14,2492,2235,38763
LGA50210,134,114,1006,66921,20153,2276,309,22739,4528,94184
LGA50250,0,0,10,5167,783,43,14,847,1384,7391
LGA50280,11,19,286,14155,1134,145,20,1305,1326,16791
LGA50350,60,23,360,12856,1966,284,37,2285,794,15932
LGA50420,476,162,1634,47267,15975,3052,199,19225,2794,69283
LGA50490,151,126,902,26130,11448,1749,174,13380,2751,42257
LGA50560,0,9,58,1442,55,10,0,55,193,1694
LGA50630,0,4,20,1475,67,6,6,83,148,1705
LGA50770,0,3,35,1598,43,3,0,45,190,1834
LGA50840,5,6,104,4675,170,10,7,187,379,5238
LGA50910,0,4,41,785,43,8,0,47,95,929
LGA50980,11,15,75,12426,2079,127,37,2246,2286,16959
LGA51080,0,0,13,892,39,0,0,39,118,1046
LGA51120,0,9,26,795,37,6,0,41,147,979
LGA51190,79,88,968,27619,2601,330,24,2964,2406,32987
LGA51260,47,66,1045,36188,1999,213,29,2241,2214,40640
LGA51310,161,37,969,23810,3996,302,36,4331,733,28876
LGA51330,328,90,1591,50748,35939,5363,397,41698,3412,95860
LGA51400,9,10,136,15709,1528,93,22,1648,820,18175
LGA51470,0,0,11,442,20,0,0,20,84,552
LGA51540,11,12,70,3674,526,150,11,688,881,5251
LGA51610,0,0,9,1306,41,3,0,44,202,1556
LGA51680,8,9,77,5208,256,17,3,278,449,5930
LGA51710,3,0,4,495,539,206,14,763,431,1692
LGA51750,25,49,529,9326,1305,125,15,1447,514,11284
LGA51820,519,165,1811,87418,22781,3044,290,26112,4565,118091
LGA51860,11,0,11,113,257,128,4,386,93,593
LGA51890,5,49,183,7873,233,29,0,266,670,8812
LGA51960,0,4,14,2503,200,10,0,212,772,3478
LGA52030,0,10,23,895,22,0,0,23,137,1055
LGA52100,0,9,42,916,30,0,0,28,56,1007
LGA52170,10,41,219,7113,485,27,4,518,337,7970
LGA52240,0,0,15,936,42,4,0,45,118,1100
LGA52310,0,0,12,803,20,0,0,24,71,902
LGA52380,0,0,0,174,14,0,0,18,31,215
LGA52450,0,3,27,1124,72,0,7,85,91,1302
LGA52520,0,6,36,1036,130,6,3,139,204,1379
LGA52590,0,8,65,2885,129,9,0,141,330,3355
LGA52660,12,74,347,12934,867,88,16,971,782,14686
LGA52730,3,18,155,5481,237,14,5,249,576,6310
LGA52800,12,4,29,3128,2250,338,63,2644,1301,7075
LGA52870,9,3,127,5482,266,43,0,309,367,6155
LGA52940,0,0,10,637,12,0,0,14,61,715
LGA53010,0,0,0,546,12,5,0,13,119,681
LGA53080,0,0,3,498,44,0,0,45,129,677
LGA53150,41,40,254,6902,553,51,3,609,308,7819
LGA53220,4,3,13,5386,1913,163,22,2091,2283,9760
LGA53290,4,22,284,11815,619,49,8,675,1395,13883
LGA53360,0,0,16,2584,188,14,7,211,287,3085
LGA53430,283,92,849,25861,3627,526,49,4197,1874,31930
LGA53570,5,9,88,4615,424,100,19,536,420,5576
LGA53640,0,0,8,1026,88,4,0,87,99,1215
LGA53710,0,3,24,833,10,0,0,10,110,955
LGA53780,313,236,1869,73536,38522,7009,470,46002,6840,126376
LGA53800,50,146,839,32606,2813,305,44,3157,3734,39489
LGA53920,4,3,11,1440,1566,133,73,1773,362,3574
LGA53990,36,29,400,24905,2037,257,34,2331,1332,28567
LGA54060,0,11,78,3207,78,8,0,84,387,3680
LGA54130,0,0,12,1009,40,3,0,51,102,1160
LGA54170,328,168,2782,137864,16092,1477,169,17741,4401,160003
LGA54200,138,89,1292,48865,6771,743,99,7617,2274,58762
LGA54280,16,31,202,22298,3628,289,56,3969,3037,29306
LGA54310,0,0,12,15589,2711,186,41,2932,3668,22199
