LGA_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
LGA50080,46,92,41,3,0,0,14,292,11,10,11,10,4,14,6,4,0,0,0,29,95,122,216,475,451,332,740,849,324,25,9,23,163,3735,0,0,3,0,9,4,12,7,6,0,0,3,40,0,0,10,4,0,5,4,0,0,0,0,5,21,12,9,21,15,4,11,10,3,0,0,0,7,97,3,21,69,41,14,22,24,11,0,0,0,13,212,14,15,89,66,29,40,52,20,0,0,0,12,341,4,3,32,44,28,64,85,33,6,0,6,6,307,6,3,23,57,35,66,101,34,3,0,0,10,331,6,5,14,28,26,63,101,44,0,0,0,13,293,4,8,13,26,30,49,145,97,9,0,0,7,381,0,0,5,19,17,39,111,81,3,0,0,0,285,0,3,7,26,29,58,158,134,16,4,0,9,450,0,4,8,11,17,21,68,96,16,0,3,8,262,0,0,0,6,6,12,33,67,16,0
LGA50210,42,146,81,25,3,4,19,387,11,14,11,12,3,4,26,7,0,0,3,35,134,138,209,329,319,261,716,1886,667,228,35,33,184,5003,0,3,12,3,4,10,13,11,6,0,3,10,73,3,0,8,6,0,8,13,4,0,0,0,7,46,7,8,40,28,6,22,54,21,9,0,4,16,206,3,14,57,34,10,27,78,25,6,0,0,12,260,10,18,90,52,24,54,118,58,0,0,0,13,438,6,6,29,48,28,69,193,104,8,0,0,11,494,5,3,23,47,28,69,214,114,18,0,4,12,535,5,3,7,22,27,77,229,139,24,0,3,6,534,0,0,10,21,15,77,220,230,35,6,0,15,628,0,4,6,18,12,35,193,229,31,11,5,8,553,0,0,9,6,9,30,207,312,76,16,7,14,675,4,0,5,6,7,16,124,224,89,17,3,7,508,0,0,0,0,0,8,40,123,46,11
LGA50250,3,5,0,0,0,0,14,154,13,0,0,0,0,0,0,0,0,0,3,9,32,1083,93,75,39,26,19,20,14,8,11,30,156,1562,8,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,3,11,8,0,3,0,0,0,0,0,0,0,0,0,11,10,6,0,0,0,0,3,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,0,0,15,6,3,3,0,0,0,0,0,0,0,0,0,17,3,0,8,4,0,0,0,0,0,0,6,11,32,8,0,8,4,0,0,4,0,0,0,3,0,43,17,3,7,3,0,0,6,0,0,0,0,7,53,75,7,15,7,4,3,9,0,8,3,4,14,146,266,6,17,13,6,3,3,11,8,5,7,35,378,79,7,10,9,6,3,5,4,3,0
LGA50280,13,49,30,3,0,0,5,129,5,0,4,3,0,0,3,0,3,0,0,5,32,22,34,99,134,117,211,414,179,26,3,23,75,1337,0,0,0,0,4,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,8,0,0,0,0,9,3,0,12,8,3,9,3,4,0,0,0,0,39,0,0,18,10,6,7,7,9,0,0,0,0,58,3,0,20,14,10,7,13,14,0,0,0,3,94,0,0,10,10,5,18,23,21,6,0,0,6,101,0,0,12,15,7,17,32,26,3,0,0,4,115,0,0,3,10,16,20,31,29,9,0,0,3,126,3,0,4,6,13,12,39,55,8,0,0,3,149,0,0,10,9,6,8,33,51,9,0,7,8,128,0,0,4,5,3,12,37,60,12,0,5,8,153,0,0,0,7,4,7,23,52,17,5,0,5,119,0,0,0,0,3,0,3,25,12,7
LGA50350,5,49,34,7,4,0,7,128,0,7,0,0,5,3,0,5,0,0,0,9,38,58,107,144,112,85,123,438,363,53,14,9,74,1568,0,0,5,3,3,3,6,9,3,4,0,4,44,0,4,4,5,3,0,3,0,0,0,0,4,21,10,3,16,5,3,0,9,3,3,0,0,0,59,0,3,34,16,4,4,11,15,3,0,0,9,96,3,11,39,12,6,14,20,15,5,0,0,8,133,0,0,17,10,7,5,19,20,9,0,0,0,85,4,0,7,22,3,4,32,21,0,0,0,4,113,0,0,8,8,4,4,39,54,8,0,0,3,133,0,0,4,3,0,6,39,56,13,0,5,4,129,0,0,0,3,0,10,25,73,3,0,0,0,120,0,0,5,9,0,12,50,94,29,0,5,3,204,4,0,0,6,0,4,28,64,29,0,0,3,133,0,0,0,0,0,4,8,36,22,4
LGA50420,75,173,250,73,7,11,20,684,13,19,12,13,4,16,32,34,3,3,0,49,195,232,312,367,572,432,988,2131,1985,443,101,93,239,7896,0,8,22,11,8,21,40,46,20,3,0,21,183,3,0,10,3,4,10,7,6,4,3,0,0,54,13,14,39,21,16,13,32,40,9,0,0,11,212,9,14,113,29,27,37,49,22,9,0,0,12,326,9,37,126,47,33,46,92,62,13,0,0,7,472,6,13,26,33,34,55,105,85,27,0,0,7,390,4,8,23,43,31,84,133,161,41,9,8,12,548,6,3,11,32,45,88,171,195,53,5,0,18,628,5,6,12,17,37,82,230,263,80,13,4,15,765,0,3,7,14,22,60,174,263,83,12,3,15,670,5,0,15,13,21,56,246,410,170,35,12,12,987,0,0,0,9,12,24,137,379,203,56,8,14,841,0,0,4,3,4,13,48,185,150,25
LGA50490,35,125,186,47,13,8,25,508,11,23,22,7,7,11,14,23,5,4,0,36,159,215,381,391,329,227,486,1237,1312,395,105,67,183,5337,6,6,12,6,3,7,20,38,14,8,3,4,127,11,9,15,3,0,0,5,9,3,0,0,4,53,20,17,47,25,8,8,16,26,6,0,0,16,194,13,33,138,15,10,10,25,23,9,0,0,16,284,7,17,153,37,26,15,50,45,12,4,0,13,375,0,5,29,29,13,24,59,46,16,0,0,0,229,0,6,27,64,22,36,78,93,27,3,4,6,380,6,5,14,26,19,45,115,157,40,4,0,9,435,4,3,20,28,15,41,161,226,57,3,5,16,576,0,0,4,7,11,17,103,211,67,8,3,4,447,0,0,13,15,9,30,145,351,138,12,7,17,738,0,0,7,7,5,17,95,313,149,25,14,13,651,0,0,0,7,0,5,35,140,109,13
LGA50560,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,24,22,6,7,0,0,0,0,0,9,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,3,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,4,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0
LGA50630,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,20,15,13,5,23,34,17,3,0,17,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,3,4,0,5,0,0,0,0,0,0,11,0,0,0,0,0,4,4,5,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,5,5,0,0,0,0,0,0,13,0,0,0,0,0,4,4,0,0,0,0,4,14,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,11,0,0,0,5,20,0,0,0,0,0,0,8,8,5,0,0,0,27,0,0,0,0,0,0,0,3,0,0
LGA50770,0,5,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,8,4,33,21,14,5,3,0,0,0,0,11,99,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,4,4,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
