LGA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
LGA50080,5,0,3,0,0,14,7,3,0,0,0,10,44,7,9,7,5,0,3,0,3,0,0,0,3,40,23,30,45,35,16,14,10,0,0,0,0,15,181,52,86,89,47,23,37,26,9,0,0,0,19,383,3,30,79,69,44,73,59,11,0,0,3,19,389,5,7,54,32,21,27,20,0,0,0,0,0,169,4,18,53,66,43,88,65,23,0,0,5,11,381,0,6,32,38,46,100,104,20,0,0,0,11,373,4,5,31,41,35,106,115,24,6,0,0,11,376,0,0,13,30,28,70,94,28,3,0,3,15,290,0,6,15,22,22,88,123,57,0,0,5,7,343,0,4,3,13,15,25,65,34,5,0,0,5,173,3,4,0,14,4,14,33,33,0,0,0,6,110,0,0,0,0,4,14,20,26,0,0,0,0,79,0,0,4,3,0,0,6,7,3,0,0,0,24,0,8,29,26,24
LGA50210,0,5,4,4,0,11,16,0,0,0,0,10,48,5,14,6,10,0,6,20,4,0,0,0,3,61,33,46,35,35,15,24,40,6,4,0,0,17,253,38,86,61,41,26,53,90,11,7,0,0,17,431,17,13,50,45,24,95,150,34,7,0,0,9,450,6,3,43,25,22,32,42,8,0,0,3,11,189,3,13,27,43,39,102,209,49,7,0,0,16,514,5,9,27,35,27,85,233,54,8,0,9,15,505,6,0,13,23,30,85,237,74,17,0,0,11,497,0,5,9,19,22,67,192,47,17,0,0,12,385,4,0,11,11,22,64,228,128,29,5,0,7,498,0,0,7,7,15,29,136,60,23,5,0,3,281,4,0,6,0,0,18,65,53,30,7,3,3,198,0,0,3,0,8,10,34,36,23,5,0,4,118,0,0,0,0,0,0,9,5,11,0,5,0,47,6,5,18,22,16
LGA50250,3,0,0,0,0,3,0,0,0,0,0,3,15,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,3,16,11,0,0,0,0,0,0,0,0,0,0,0,12,12,6,4,0,0,0,0,0,0,0,0,3,23,3,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,4,0,0,0,0,0,4,20,5,0,3,0,0,4,0,0,0,0,9,13,40,20,4,3,3,6,0,0,4,0,0,3,8,56,23,5,6,0,0,0,0,0,4,0,0,8,58,89,8,9,0,4,0,4,0,0,0,0,16,140,38,5,9,4,0,0,4,0,0,0,3,7,76,348,16,16,7,8,3,0,5,0,0,5,37,438,221,24,12,3,3,5,0,4,0,0,3,19,296,143,4,6,6,0,0,0,0,3,0,0,9,173,112,8,7,0,5
LGA50280,0,0,0,0,0,3,5,3,0,0,0,3,23,0,0,0,0,5,0,0,0,0,0,0,0,13,5,3,6,6,4,5,7,3,0,0,0,8,43,4,7,13,9,7,12,14,0,0,0,0,5,82,0,10,24,22,8,14,33,3,0,6,0,4,129,4,0,8,3,0,7,15,0,0,0,0,0,39,0,0,5,20,19,34,44,9,0,0,0,9,142,0,0,8,15,20,25,47,13,0,0,0,5,134,0,0,11,8,17,29,40,26,3,0,0,11,146,0,0,6,14,9,19,43,13,0,0,0,7,107,0,4,8,15,9,21,46,24,0,0,3,12,137,0,0,7,6,4,9,32,15,5,0,0,7,86,0,0,0,0,0,0,22,18,0,0,5,3,58,0,0,0,4,0,4,12,16,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,7,13,10
LGA50350,5,0,4,0,0,0,7,0,0,0,0,5,27,4,3,4,0,0,0,3,0,0,0,0,0,20,15,24,15,4,0,3,4,0,0,0,0,9,81,19,40,24,15,9,9,7,5,0,0,0,4,135,11,10,18,13,6,19,40,13,0,0,0,13,140,0,0,18,16,5,3,11,4,0,0,0,5,59,0,3,18,15,14,9,44,14,3,0,0,9,122,0,3,14,11,10,18,45,25,0,0,0,7,141,0,0,7,12,11,22,38,35,4,0,0,0,131,0,4,3,4,9,10,52,38,0,0,0,3,132,0,0,0,8,0,9,61,58,7,0,0,8,157,0,6,0,6,0,3,41,53,11,0,5,0,116,0,0,3,0,0,3,18,27,3,3,0,0,60,0,0,0,0,0,0,14,36,10,0,0,3,63,0,0,0,0,0,0,3,14,3,0,0,0,21,0,0,6,3,6
LGA50420,5,5,7,9,5,17,37,22,10,3,0,15,140,15,11,3,12,5,8,14,5,4,0,0,0,79,51,78,36,48,33,46,50,30,4,0,0,15,389,74,127,63,66,26,30,54,39,3,4,8,29,510,20,38,54,79,42,93,112,66,11,0,4,16,546,4,3,51,23,18,39,45,29,3,0,0,13,228,14,13,43,82,61,118,213,95,10,3,4,14,674,4,5,32,64,55,142,247,132,25,7,5,12,726,4,5,18,62,46,136,256,189,28,3,6,14,763,0,0,7,33,32,93,236,173,17,0,3,12,611,7,0,9,29,35,95,302,301,45,14,5,11,859,0,0,13,15,18,31,184,232,51,12,5,9,572,4,0,0,15,13,25,119,225,64,21,9,11,511,0,0,0,5,13,8,44,128,68,13,9,3,292,0,0,0,0,0,6,16,46,17,14,15,5,123,5,3,23,24,20
LGA50490,6,5,3,12,0,10,20,18,11,4,0,10,102,17,11,8,4,0,7,10,5,0,0,0,3,72,48,87,37,21,3,16,22,11,0,0,3,15,273,98,173,59,24,13,21,30,13,4,0,4,15,449,7,28,50,35,30,33,63,31,10,0,0,10,304,0,4,82,34,11,16,26,22,0,0,0,8,199,13,25,31,51,40,53,110,69,6,0,4,8,410,5,0,15,37,19,66,142,81,19,0,0,7,400,5,3,19,32,29,81,145,100,20,4,4,11,438,4,5,6,8,22,53,136,113,22,7,4,4,387,6,3,9,24,15,47,181,212,51,6,6,14,579,0,0,9,11,14,18,76,161,40,11,5,3,346,0,3,5,5,6,28,87,128,66,25,9,9,370,0,0,3,0,4,5,45,93,58,15,4,3,244,0,0,3,0,0,3,9,37,29,9,9,3,100,3,13,16,27,19
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,14,0,0,0,4,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,5,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,4,0,4,0,0,0,18,0,0,3,6,0,0,5,10,9,0,0,7,36,0,0,0,0,0,0,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,0,4,0,5,0,0,0,0,0,0,0,5,15,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,6,0,4,0,0,0,0,0,0,0,7,0,0,5,5,0,0,0,0,0,0,0,0,8,5,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
