LGA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
LGA50080,175,0,0,0,0,0,5,12,4,7,4,0,0,41,0,0,0,0,0,0,9,10,3,3,9,4,39,5,0,0,14,18,47,62,16,9,4,6,27,211,0,0,0,0,3,0,3,3,0,0,0,340,352,16,3,10,28,42,206,766,608,494,612,437,540,3757,0,0,0,7,10,100,157,60,20,29,11,49,438,0,4,10,80,69,114,101,22,6,4,9,35,455,0,0,0,11,8,15,7,3,0,0,0,7,49,0,0,4,17,5,11,6,0,0,0,0,0,49,13,4,34,135,68,140,83,23,8,4,3,46,563,0,0,0,0,0,6,0,0,0,0,0,11,21,18,7,56,239,164,380,356,104,39,36,20,144,1578,96,59,109,487,812,1423,2157,1285,919,1015,716,1050,10121
LGA50210,548,3,0,0,4,0,27,55,36,12,20,13,17,186,0,0,0,0,0,0,10,10,20,24,17,25,108,35,6,16,57,70,149,182,64,29,22,24,51,695,0,0,0,0,0,5,5,5,0,3,5,1087,1113,49,9,18,108,152,696,2389,2004,1584,2163,1782,1539,12495,0,0,3,10,36,278,460,220,90,91,54,99,1336,0,7,36,107,117,265,224,59,22,30,9,48,928,0,0,3,14,11,26,30,12,3,3,5,19,133,8,7,31,87,34,37,51,8,6,3,0,23,291,61,9,90,339,175,374,243,85,45,18,16,121,1573,0,0,0,0,0,3,4,3,0,0,0,39,52,75,20,157,559,367,982,1008,389,167,143,89,354,4319,315,89,268,1003,1326,2811,4980,3495,2553,3270,2430,2595,25130
LGA50250,12,0,0,0,0,0,0,4,4,0,8,4,0,15,0,0,0,0,0,0,0,0,3,7,7,3,24,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0,9,0,12,27,71,62,170,187,90,627,0,0,0,0,0,4,13,15,7,16,7,10,62,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,7,5,0,4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,4,9,24,20,8,14,6,15,111,3,0,6,25,11,25,77,140,103,286,326,155,1158
LGA50280,94,0,0,0,0,0,0,7,4,0,5,0,0,30,0,0,0,0,0,0,3,3,3,10,10,0,33,5,4,3,0,5,11,20,3,0,9,0,14,68,0,0,0,0,0,0,0,0,0,0,0,230,235,4,4,6,13,18,103,373,273,218,292,172,344,1825,0,0,0,3,7,37,62,23,5,3,6,22,175,0,0,7,35,34,82,36,8,9,0,0,24,237,0,0,0,3,0,4,4,0,5,0,0,3,27,0,0,0,3,0,3,0,0,0,0,0,3,17,5,0,10,28,21,23,16,8,3,0,3,13,130,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,22,69,60,154,124,39,21,8,8,68,590,37,16,50,174,224,542,948,562,396,446,292,596,4279
LGA50350,84,0,0,0,0,0,4,4,0,0,0,6,4,17,0,0,0,0,0,0,0,0,3,3,3,0,13,9,0,3,7,8,20,18,14,11,6,0,13,107,0,0,0,0,0,0,4,0,0,0,0,123,129,3,0,4,10,13,70,246,247,222,393,392,189,1797,0,0,0,5,8,41,72,52,23,21,7,13,249,0,0,0,20,20,51,33,14,6,3,0,11,173,0,0,0,0,0,7,3,0,0,0,0,3,16,0,0,11,13,5,3,0,0,0,0,0,5,33,3,0,18,43,27,65,35,16,12,0,4,13,237,0,0,0,0,0,0,0,0,0,0,0,3,8,7,0,30,80,64,170,143,83,40,35,15,55,718,30,20,45,149,241,444,662,534,432,649,601,377,4189
LGA50420,405,0,0,0,0,0,11,22,12,11,4,12,5,81,0,0,0,0,0,0,6,4,0,13,15,12,59,19,3,7,32,42,118,144,67,39,26,24,51,581,0,0,0,0,0,5,4,0,0,0,4,462,480,28,8,24,74,102,430,1148,968,858,1527,1794,763,7722,0,0,0,8,26,104,290,185,76,88,70,79,929,5,0,27,63,74,173,164,44,18,22,6,46,641,0,0,0,5,4,22,17,13,6,5,4,14,94,8,0,18,37,15,23,20,4,6,0,0,12,143,45,17,60,170,103,223,188,42,41,24,13,75,983,0,0,0,0,0,4,0,0,0,0,0,17,26,64,17,101,286,223,541,679,287,142,142,94,246,2814,254,83,181,683,1059,1901,3142,2156,1721,2706,2808,1596,18290
LGA50490,219,0,0,0,0,3,9,10,8,4,0,12,3,54,0,0,0,0,0,6,7,3,5,8,5,8,36,25,3,19,28,30,69,75,28,16,14,17,19,341,0,0,0,0,0,0,0,0,0,0,5,282,294,23,3,28,55,70,310,697,583,466,699,684,432,4047,0,0,8,7,9,75,156,103,36,54,31,36,518,0,3,12,42,45,83,84,25,10,12,6,12,324,0,0,0,0,7,4,10,0,0,3,3,11,39,4,0,23,34,19,19,16,3,0,0,0,4,122,37,3,51,116,63,158,130,45,26,6,11,50,698,0,0,0,0,0,0,0,0,0,0,0,15,17,42,13,88,199,138,336,393,170,75,76,47,136,1720,152,36,148,389,539,1126,1939,1418,1004,1329,1145,999,10224
LGA50560,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,6,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,0,0,11,29,20,7,17,8,47,150,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,9,8,4,6,0,0,0,0,47,10,4,9,29,52,63,81,46,27,35,29,74,455
LGA50630,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,23,3,0,0,0,0,4,31,21,14,36,36,39,186,0,0,0,0,0,0,7,8,0,6,0,0,20,0,0,0,5,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,4,13,3,6,0,5,57,10,6,3,21,23,40,69,53,33,66,52,68,436
LGA50770,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,12,4,0,0,0,3,11,30,28,16,23,17,40,172,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,3,5,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,5,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,15,14,3,0,0,0,5,60,6,6,5,28,35,67,95,65,30,43,25,66,486
