LGA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
LGA50080,6201,257,58,8,332,195,6729,3706,134,22,0,156,224,4086,2933,227,24,5,252,218,3405,3834,314,25,5,342,240,4419,4343,207,18,3,232,176,4757,4046,180,15,0,201,147,4395,2834,139,9,3,148,81,3062,1839,96,10,3,110,96,2043,643,44,7,0,50,66,753,30376,1607,179,35,1820,1451,33649,6068,354,79,11,436,273,6780,3670,203,14,4,216,282,4166,3141,309,32,0,346,373,3866,3437,386,38,5,423,320,4181,4305,298,22,6,321,297,4920,4555,191,21,0,210,353,5116,3702,168,9,0,178,272,4149,2054,96,9,0,112,182,2347,854,60,14,0,72,117,1046,31787,2051,230,26,2308,2481,36585,6053,381,67,9,460,281,6798,3668,242,15,0,257,211,4134,3389,334,40,0,375,375,4150,3450,422,39,0,462,311,4231,4293,368,26,0,389,290,4976,4908,209,26,4,232,294,5440,4595,130,25,4,154,243,4990,2653,91,10,0,100,138,2890,1028,41,12,0
LGA50210,11503,827,257,37,1116,753,13370,7877,665,50,9,730,469,9077,7559,1193,70,13,1283,478,9316,6828,952,80,10,1044,446,8319,7078,696,72,12,783,428,8290,6221,508,68,5,580,315,7111,3493,314,52,5,376,173,4039,1716,173,40,6,218,188,2115,512,56,23,0,84,68,660,52782,5384,715,103,6196,3315,62293,13402,2481,846,79,3403,923,17729,7923,1453,66,6,1524,484,9929,9278,3439,255,28,3722,727,13728,7558,2896,199,14,3110,653,11325,7611,1325,191,14,1532,555,9698,6690,779,196,8,979,464,8138,4672,406,94,8,505,396,5574,2002,224,74,11,308,256,2565,622,79,17,5,97,198,913,59758,13078,1937,170,15182,4663,79596,15389,4612,820,264,5702,1001,22087,8158,2002,39,11,2051,542,10747,9712,3484,203,0,3691,732,14140,8811,5663,300,17,5983,739,15526,7908,2327,235,10,2571,559,11039,7499,1124,286,5,1406,426,9336,5935,587,250,3,845,237,7019,2744,264,94,0,363,177,3289,753,80,48,0
LGA50250,1601,90,13,0,109,82,1784,801,63,3,0,70,168,1039,1832,185,11,0,193,403,2431,1692,172,3,0,184,331,2206,1212,120,10,4,131,272,1617,599,46,4,0,50,123,774,105,16,0,0,13,8,136,11,3,0,0,3,0,16,3,0,0,0,0,0,4,7851,704,43,6,756,1396,10001,1513,80,24,6,104,97,1717,605,73,5,0,76,121,800,2431,374,13,6,390,639,3454,2060,428,24,0,452,543,3053,1628,317,10,10,330,450,2414,988,127,5,0,138,228,1349,142,25,0,0,27,27,199,27,3,0,0,3,4,29,3,0,0,0,0,0,5,9394,1426,79,21,1523,2106,13026,1336,138,22,8,169,224,1727,421,72,0,0,69,141,637,1032,169,3,3,179,304,1511,992,191,8,6,204,295,1494,674,137,3,0,135,213,1021,527,66,0,0,65,154,744,143,10,0,0,14,37,200,40,3,0,0,3,10,54,3,0,0,0
LGA50280,2179,110,24,3,136,159,2469,932,47,10,0,58,76,1067,1212,126,42,8,176,124,1512,1683,114,8,0,119,145,1954,1566,65,3,0,70,125,1765,1383,41,5,0,43,107,1530,749,31,0,0,31,38,816,416,11,0,0,11,29,457,166,11,0,0,11,14,191,10288,558,85,11,650,822,11762,2642,186,33,4,226,236,3103,967,71,11,0,82,97,1143,1340,237,39,0,277,135,1750,1959,191,9,0,197,185,2338,1709,87,6,3,97,162,1967,1693,58,3,0,58,157,1912,1130,30,0,0,34,84,1248,501,21,0,0,21,53,573,197,3,0,0,3,19,226,12142,880,101,9,997,1116,14257,2845,241,47,13,307,271,3423,1101,61,15,0,79,98,1275,1282,247,35,4,287,165,1734,2138,282,27,0,304,224,2673,2107,137,15,5,159,256,2511,1985,86,0,0,90,143,2214,1761,33,4,0,39,126,1925,684,28,0,0,31,32,746,257,11,0,0
LGA50350,2191,181,52,7,248,125,2557,1519,208,13,0,222,81,1822,1569,327,17,5,346,83,2002,1793,255,36,4,294,89,2170,1703,206,42,4,253,85,2041,1472,180,32,0,218,65,1758,824,122,28,0,145,45,1015,573,107,40,0,148,36,762,207,39,21,0,61,11,281,11856,1614,284,23,1926,619,14401,2224,261,98,12,367,112,2699,1346,204,10,6,223,69,1637,1684,415,31,3,450,123,2254,1710,375,34,5,414,123,2243,1717,227,42,0,263,111,2090,1446,209,42,3,250,96,1792,1038,139,19,0,159,77,1277,556,115,37,3,149,55,766,243,44,23,0,67,23,329,11954,1974,335,30,2338,799,15093,2277,310,69,29,402,119,2799,1345,174,5,0,186,68,1601,1741,343,11,0,357,140,2231,1823,425,33,0,457,112,2389,1768,254,29,0,286,109,2165,1660,176,44,0,221,88,1971,1311,146,37,0,183,75,1574,655,105,27,0,130,60,839,278,37,21,0
LGA50420,7124,1726,568,68,2365,482,9968,5444,1936,136,24,2093,371,7903,6785,3153,291,30,3472,672,10932,6369,2151,390,28,2562,413,9348,5739,1639,376,14,2033,383,8147,5173,1476,348,14,1842,288,7304,3367,852,310,4,1172,176,4717,1967,529,311,11,849,149,2965,938,209,144,8,352,84,1376,42914,13663,2882,197,16739,3016,62666,7237,2005,633,61,2699,464,10405,4998,2017,142,9,2169,379,7548,7208,3775,404,25,4202,745,12154,6114,2725,372,29,3127,540,9782,5664,1808,440,15,2260,458,8378,5130,1446,472,13,1928,433,7488,3856,1042,330,10,1384,318,5555,2094,594,299,17,905,253,3256,919,211,152,13,370,213,1508,43215,15618,3243,189,19051,3812,66081,7788,2213,478,160,2850,384,11024,5210,1769,71,4,1847,277,7332,7547,3300,249,5,3556,537,11640,6714,3154,345,3,3501,462,10678,6145,1834,436,4,2267,328,8739,5510,1495,519,5,2013,274,7799,4720,1241,454,9,1700,184,6607,2635,718,289,5,1014,183,3832,995,263,210,6
LGA50490,3873,1048,425,57,1531,407,5813,3250,1057,88,19,1160,378,4790,3963,2003,190,18,2208,507,6677,3443,1197,170,15,1383,389,5211,3217,660,161,5,823,302,4342,2760,426,108,3,539,216,3519,1843,321,107,5,433,154,2427,1335,214,79,10,304,112,1748,481,95,29,5,132,59,671,24171,7022,1358,131,8513,2527,35205,3846,1432,508,59,1999,545,6388,3020,1397,135,7,1541,520,5083,4192,3070,350,17,3442,927,8559,3159,1849,222,17,2090,547,5797,2979,920,208,11,1135,417,4530,2872,571,160,8,738,374,3984,1985,352,101,8,452,266,2712,1286,257,64,0,327,211,1816,566,103,36,0,144,106,813,23912,9944,1799,126,11868,3911,39685,3998,1723,466,144,2337,393,6725,3153,1366,42,0,1416,312,4879,4607,3134,201,7,3340,580,8528,3396,2507,234,12,2751,460,6610,3202,1240,249,4,1493,323,5019,3304,680,237,3,925,266,4498,2493,432,188,7,621,161,3282,1367,256,82,0,342,123,1827,623,106,47,0
LGA50560,253,6,3,3,14,3,273,93,0,0,0,0,10,101,85,4,0,0,10,4,100,154,8,0,0,8,10,175,207,3,0,0,3,8,226,293,5,0,0,5,8,305,234,12,0,0,12,8,258,85,5,0,0,5,14,99,34,0,0,0,0,4,39,1445,49,9,8,58,63,1565,223,11,0,0,11,36,272,87,6,0,0,6,14,98,106,10,0,0,16,19,140,141,9,0,0,14,22,174,213,12,0,0,12,26,247,285,9,0,0,10,33,331,266,10,0,0,11,22,292,123,5,0,0,5,22,146,33,0,0,0,0,8,40,1468,75,5,4,77,199,1749,175,6,5,0,11,24,204,86,7,0,0,7,24,117,103,3,0,0,3,13,124,132,13,0,0,13,21,161,190,0,0,0,5,30,220,256,7,0,0,11,28,292,316,4,0,0,4,35,349,148,5,0,0,5,18,165,50,0,0,0
LGA50630,344,18,5,0,25,9,377,158,4,0,0,4,36,202,255,29,0,0,27,107,388,313,24,4,0,32,91,436,291,16,0,0,16,70,376,223,8,0,0,8,38,267,103,0,0,0,0,10,118,43,0,0,0,0,6,47,13,9,0,0,9,0,21,1749,105,13,0,115,363,2228,358,25,0,0,25,17,404,127,5,0,0,5,8,148,184,22,0,0,29,26,233,237,23,0,0,28,16,279,266,11,0,0,12,29,307,219,4,0,0,5,13,242,132,4,0,0,4,18,155,62,0,0,0,0,12,72,5,0,0,0,0,0,13,1596,97,5,0,107,142,1846,332,9,5,0,15,26,375,109,11,0,0,11,13,126,157,10,0,0,10,17,183,179,15,0,0,14,16,208,196,19,0,0,19,27,242,239,5,0,0,5,22,266,179,0,0,0,5,14,197,80,0,0,0,0,10,86,15,0,0,0
LGA50770,314,11,7,0,17,3,340,92,5,0,0,5,0,101,142,4,0,0,4,0,146,195,13,0,0,11,5,216,225,4,0,0,6,13,242,228,11,0,0,11,0,240,175,0,0,0,8,4,178,77,0,0,0,0,0,82,34,3,0,0,3,0,36,1492,50,8,4,60,31,1592,303,3,5,0,13,14,322,88,11,0,0,11,3,99,107,7,0,0,9,0,120,199,4,0,0,10,3,218,230,3,0,0,3,25,257,252,5,0,0,5,32,278,226,3,0,0,3,25,250,98,0,0,0,0,16,114,27,0,0,0,0,8,38,1530,39,5,0,44,124,1702,314,7,0,0,7,44,361,130,4,0,0,4,12,145,100,12,0,0,12,10,129,191,4,0,0,4,21,220,208,12,0,0,12,24,243,265,4,0,0,4,31,295,215,6,0,0,3,23,245,141,3,0,0,3,21,158,33,0,0,0
