LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA50080,3,21,18,31,178,158,30,4,3,21,476,0,0,6,11,15,22,116,148,31,5,8,11,368,0,0,6,11,0,10,49,73,17,3,4,9,177,0,0,5,5,7,9,34,82,32,9,5,7,189,5,3,0,7,4,7,22,45,23,9,7,13,143,0,0,4,8,13,22,54,91,28,0,0,13,232,4,3,16,11,3,0,4,4,5,0,0,24,78,41,43,317,340,251,433,1088,955,206,31,33,190,3938
LGA50210,7,14,40,113,282,340,75,9,11,16,923,5,0,6,15,21,76,177,258,115,14,5,12,703,0,0,11,6,6,18,76,142,53,14,3,11,350,0,0,0,6,5,17,58,151,86,13,3,7,344,0,3,6,4,4,13,36,82,68,26,6,12,259,5,0,7,15,12,49,134,170,66,18,10,24,499,4,0,11,14,14,19,14,17,3,0,0,40,133,43,42,296,383,420,1082,2066,1859,620,113,51,256,7242
LGA50250,18,7,4,0,5,5,0,3,11,32,130,143,4,19,7,3,0,3,11,7,5,12,50,269,53,6,5,4,5,0,0,4,3,0,0,12,96,192,9,16,11,11,3,6,7,8,8,10,41,300,222,8,26,13,3,4,3,4,3,9,18,58,364,92,6,8,3,4,0,0,0,0,0,0,15,126,4,0,0,0,0,0,0,0,0,0,0,13,19,798,34,109,52,41,29,33,41,29,17,59,248,1495
LGA50280,7,4,11,7,37,89,29,3,0,14,204,4,0,8,6,3,4,22,76,33,5,8,9,175,0,0,0,0,4,7,14,44,19,3,3,4,95,0,0,0,6,0,3,3,29,26,0,9,8,93,0,0,0,0,3,0,10,12,19,4,25,6,84,0,0,0,0,0,7,12,38,28,12,5,12,133,0,0,0,0,0,3,0,0,0,0,12,3,22,17,10,79,79,71,111,236,475,199,51,78,100,1512
LGA50350,4,4,3,9,64,91,18,4,0,5,204,0,0,3,4,0,6,49,87,28,5,3,3,196,0,0,0,0,4,4,18,48,16,3,3,0,104,0,0,0,4,4,7,20,47,22,10,7,4,108,0,0,0,5,0,0,6,22,19,8,5,6,67,0,0,3,4,3,4,20,39,20,0,0,3,104,0,0,8,4,0,5,6,3,0,0,0,9,28,16,13,156,92,69,139,429,554,138,34,21,72,1735
LGA50420,17,18,49,151,305,446,113,16,10,26,1146,0,0,6,20,26,86,207,495,166,27,13,26,1084,0,0,4,11,14,25,75,234,136,17,11,4,530,0,0,3,7,12,29,112,254,162,53,30,9,669,0,5,10,7,3,21,45,110,170,71,44,13,491,0,0,14,12,14,30,117,195,135,35,23,37,606,0,3,10,13,5,6,13,12,10,0,0,31,108,55,75,455,362,481,1076,2048,2662,1134,264,142,283,9026
LGA50490,14,16,24,72,283,443,90,17,8,17,986,3,0,8,12,19,49,234,434,141,23,11,18,944,0,0,5,11,5,20,98,216,88,14,8,10,462,0,0,3,7,8,19,89,258,137,30,20,10,587,7,0,5,10,5,9,45,139,98,34,16,17,378,0,5,11,16,6,22,91,234,106,22,9,33,565,3,0,25,4,0,3,9,11,0,0,0,32,97,65,98,555,306,252,572,1770,2599,825,169,98,270,7586
LGA50560,0,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,4,12,15,11,15,13,4,0,0,0,9,83
LGA50630,0,0,3,0,10,7,0,0,0,5,26,0,0,0,0,0,3,11,9,0,0,0,7,22,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,5,0,0,0,7,11,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,5,14,0,4,0,0,0,0,0,0,0,0,0,0,5,6,7,9,12,12,22,51,37,4,0,0,16,178
LGA50770,0,0,0,0,4,0,0,0,0,4,12,0,0,0,4,9,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,9,5,0,13,15,28,23,17,7,0,0,0,13,121
