LGA_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
LGA50080,3,0,142,0,0,6,3,4,10,35,35,16,0,0,6,124,0,0,0,3,3,0,13,18,7,0,0,0,53,3,0,12,19,14,25,71,64,12,0,0,4,223,3,0,15,8,7,6,17,9,3,4,0,20,95,52,79,330,365,262,506,1049,756,109,10,20,127,3672,3,0,8,4,4,0,14,10,0,0,0,15,56,0,0,3,6,0,7,5,0,0,0,0,3,24,0,7,12,8,0,12,15,9,0,0,0,9,81,9,5,56,39,21,13,23,9,0,0,0,10,185,3,4,105,57,33,37,53,25,5,0,0,4,321,0,0,41,63,37,58,85,45,7,0,0,11,352,3,4,22,44,28,43,90,47,3,5,3,5,299,4,0,9,28,17,61,104,56,10,0,0,14,306,0,0,11,15,22,54,128,72,10,0,4,16,334,3,3,8,8,21,48,120,91,8,0,0,9,319,5,0
LGA50210,0,4,237,0,0,3,0,5,0,27,73,59,12,8,9,199,0,0,0,0,7,3,10,30,36,7,11,0,106,0,4,11,8,14,21,125,135,69,11,10,27,438,4,7,17,6,4,13,24,19,3,0,0,26,137,53,59,328,299,204,539,1880,1853,504,99,54,184,6066,0,0,4,8,13,25,34,20,8,0,0,33,145,4,0,3,4,6,4,6,5,0,0,0,7,32,3,4,28,13,10,23,26,15,4,0,0,14,141,7,9,48,37,40,39,59,13,4,4,0,12,262,5,3,88,70,38,65,79,38,0,0,0,11,405,3,3,30,65,49,141,150,70,15,0,0,21,548,0,3,17,41,49,123,195,101,15,0,3,14,564,3,3,17,23,51,127,220,110,30,0,4,19,602,0,0,18,26,43,121,265,148,38,6,0,14,670,4,0,5,18,23,115,246,185,48,5,0,11,659,3,0
LGA50250,6,8,133,193,7,11,6,0,4,9,4,8,3,8,24,274,225,9,7,7,0,0,0,0,4,7,13,26,309,98,10,8,0,0,3,0,5,0,0,3,9,140,10,0,8,0,0,0,0,0,0,0,0,5,28,1030,48,97,57,24,23,47,39,27,20,62,154,1620,6,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,11,8,0,4,0,0,0,0,0,0,0,0,0,17,4,3,3,3,0,0,0,0,0,0,0,6,18,9,0,0,0,0,0,0,0,4,0,0,0,20,7,3,0,0,0,0,0,4,0,0,0,5,30,0,0,0,0,0,6,0,0,3,0,5,10,32,9,0,7,0,0,5,0,0,0,0,0,9,47,40,0
LGA50280,3,3,52,0,0,0,0,0,0,9,19,10,0,0,4,48,0,0,0,0,0,3,3,8,4,3,13,3,41,0,0,3,4,0,9,27,52,30,0,3,4,134,0,0,3,5,9,0,4,9,0,0,3,9,46,15,13,100,105,93,145,294,427,123,16,35,67,1426,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,11,4,0,10,0,4,0,3,0,3,0,0,0,25,0,0,11,8,5,3,0,0,0,0,0,6,36,0,0,15,5,7,6,13,11,0,0,0,5,66,0,0,7,19,7,11,21,21,4,5,0,0,94,0,0,4,15,4,7,25,28,3,4,0,7,107,0,0,12,0,8,18,24,24,3,3,0,7,87,0,0,5,3,7,14,18,57,11,3,5,0,131,0,0,4,3,8,10,31,50,13,0,0,10,136,0,3
LGA50350,0,0,74,0,0,0,0,0,0,5,38,17,4,3,0,72,0,0,0,4,0,0,8,9,13,3,0,0,37,0,0,13,4,3,5,15,53,29,5,3,7,131,0,0,10,5,0,0,5,4,0,0,0,9,37,26,29,151,111,57,77,316,570,183,30,16,52,1621,0,0,4,0,0,4,4,4,0,0,0,8,30,4,0,0,0,0,0,4,0,0,0,0,0,12,0,3,8,7,0,5,3,5,0,0,0,6,30,4,0,29,10,3,7,20,5,0,0,0,7,84,0,3,50,12,13,9,18,8,5,0,0,3,117,0,3,26,12,14,24,30,17,0,0,0,6,122,0,0,11,14,7,11,25,27,0,0,0,3,108,0,0,9,8,12,12,47,35,5,0,0,0,127,0,0,6,3,5,12,52,52,8,0,0,4,144,4,0,3,3,3,15,38,67,10,0,0,0,139,0,0
LGA50420,11,4,453,0,0,0,5,6,8,41,154,145,50,15,13,437,0,0,0,3,3,3,10,45,94,44,23,6,233,0,4,9,20,14,28,77,223,161,35,18,30,622,0,6,31,11,4,14,21,26,6,0,3,26,139,63,124,460,315,331,635,1604,2553,1266,291,101,237,7972,5,4,18,9,9,21,35,36,8,5,0,17,160,0,4,11,0,4,3,6,6,3,0,0,5,51,7,14,17,21,11,17,14,15,0,0,0,12,136,12,16,79,37,33,61,48,30,7,0,0,17,341,13,9,161,45,42,65,73,57,12,0,0,16,503,3,5,34,51,56,112,151,58,22,3,0,9,506,3,4,22,45,50,101,167,112,21,0,3,14,544,0,0,31,25,55,121,206,155,36,7,3,14,652,0,5,22,30,52,115,245,180,59,8,0,23,734,4,0,10,18,42,110,232,258,69,11,6,15,772,6,0
LGA50490,4,8,326,0,0,8,3,0,7,22,129,127,24,14,4,332,0,0,3,3,3,0,16,41,73,33,9,4,187,0,4,12,19,14,18,80,178,123,33,10,24,523,10,5,33,3,3,3,12,23,0,0,4,31,124,73,97,545,299,170,296,1048,2052,973,169,78,174,5979,0,10,9,7,9,15,37,38,9,0,3,16,155,5,3,7,0,0,3,3,9,6,0,0,8,42,19,29,23,11,8,10,12,5,0,0,0,6,136,14,21,99,34,17,16,37,33,3,0,0,21,292,0,4,226,39,24,25,51,27,8,0,0,25,439,3,3,50,44,28,57,78,53,9,0,0,6,336,3,3,24,39,25,54,112,81,19,5,0,8,381,0,5,20,16,31,73,150,141,28,4,0,16,488,0,0,15,17,24,81,213,215,35,6,7,13,630,5,3,7,21,21,54,232,259,51,9,3,19,680,0,0
LGA50560,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,17,11,12,17,12,0,0,0,0,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,6,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
LGA50630,0,0,12,0,6,3,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,8,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,12,10,9,22,33,45,9,0,0,9,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,9,3,0,0,0,0,0,13,0,0,0,0,3,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,4,7,0,0,0,0,15,0,0,0,0,0,0,3,3,0,0,0,4,13,0,0
LGA50770,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,7,9,6,27,19,14,15,12,4,0,0,0,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,0,0,6,3,3,0,0,0,0,0,0,0,10,0,0,4,4,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,6,0,0,0,0,0,7,14,0,0,0,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,5,3,0,0,0,0,0,9,0,0
