SA4_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
501,39,41,43,1733,1733,1640,570,637,739,250,300,310,1454,1606,1891,0.8,0.7,0.7,1194,1319,1478,2.5,2.5,2.4
502,42,43,45,1950,1826,1733,492,553,630,270,320,300,1263,1437,1664,0.7,0.7,0.7,992,1169,1286,2.4,2.4,2.4
503,36,36,38,2420,2448,2500,867,957,1144,375,415,400,2574,2769,3239,0.9,0.9,0.9,1816,2039,2243,2.3,2.3,2.3
504,36,36,37,1950,2000,1863,653,717,846,310,350,340,1661,1851,2164,0.8,0.8,0.8,1396,1590,1817,2.6,2.6,2.6
505,36,36,38,2000,2037,1950,685,746,871,340,380,360,1823,2018,2302,0.8,0.8,0.7,1517,1712,1921,2.7,2.7,2.6
506,35,35,36,1950,1950,1800,647,691,821,320,360,350,1686,1818,2139,0.8,0.8,0.8,1406,1563,1796,2.6,2.7,2.6
507,36,36,38,2000,2000,1900,666,732,871,320,370,350,1812,1997,2298,0.8,0.8,0.7,1477,1669,1897,2.6,2.6,2.6
509,41,44,46,1300,1400,1403,526,623,718,180,230,250,1221,1481,1757,0.8,0.8,0.7,973,1192,1339,2.4,2.4,2.3
510,32,33,33,2383,2443,1950,1197,1239,1281,120,190,200,2512,2416,2795,1,1,0.9,2362,2202,2396,2.9,2.8,2.8
511,35,37,39,1710,1722,1517,677,732,877,210,250,255,1604,1836,2152,0.8,0.8,0.8,1344,1487,1708,2.6,2.5,2.4
597,36,40,40,0,0,1733,10766,2654,2123,0,0,0,0,0,1375,0,0,0.7,0,0,2250,0,0,1.7
599,40,41,40,0,0,0,490,434,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
