SA4_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
501,186,141,257,296,248,220,43,14,0,1408,5129,2898,2511,5074,6263,6217,4547,2625,1047,36310,0,0,0,0,0,0,0,0,0,0,630,282,271,400,388,383,203,93,38,2693,0,0,0,0,0,5,4,5,0,22,7378,4001,3753,4914,4872,3968,2500,1417,450,33256,107,48,37,85,91,126,114,48,20,676,81,48,71,65,95,98,51,47,13,562,216,119,142,157,196,158,103,58,16,1169,211,64,79,71,63,50,42,12,8,590,193,76,86,150,144,140,121,55,25,991,0,0,6,0,0,0,0,0,0,3,45,35,36,51,62,51,25,14,6,325,197,73,101,96,119,107,62,31,6,803,318,125,166,323,496,584,435,242,77,2766,45,37,33,49,81,84,57,31,22,434,107,70,58,74,93,82,87,63,20,652,630,411,369,680,1093,1278,1073,689,231,6464,1185,625,532,687,699,524,273,101,26,4644,73,35,33,50,43,32,10,12,4,292
502,103,84,131,169,159,90,30,5,0,780,2623,1664,1345,2469,3150,3936,3981,2380,743,22298,0,0,0,0,0,0,0,0,0,0,441,201,155,244,217,237,200,123,27,1840,0,0,3,4,4,0,7,4,0,19,3459,2039,1646,2078,2313,2060,1759,949,238,16543,36,34,5,18,38,42,34,33,8,245,36,17,26,42,33,34,22,14,6,224,127,79,101,85,105,123,67,38,11,733,62,56,37,26,34,33,19,6,4,284,98,37,45,68,77,86,62,36,22,536,5,0,0,4,0,0,3,0,0,12,32,24,29,23,28,28,30,8,6,200,160,121,63,105,88,69,66,35,7,712,140,83,84,183,293,478,444,318,91,2106,23,12,12,19,35,52,53,38,14,269,16,17,13,12,17,24,16,12,4,135,278,212,176,273,469,587,611,402,137,3141,521,366,300,272,343,229,179,67,12,2299,24,21,11,8,23,20,11,4,0,118
503,361,647,1031,714,573,471,210,88,25,4120,4013,2747,2541,3618,4165,4086,3086,1837,1123,27216,0,0,0,0,0,0,0,0,0,0,179,256,275,189,205,187,93,62,24,1467,0,4,0,0,0,7,0,4,3,17,6803,5249,5982,5129,5300,3798,2602,1939,900,37708,85,57,49,78,68,44,56,36,8,477,500,345,352,436,498,373,291,331,125,3250,25,26,44,36,45,31,34,17,8,271,28,15,14,22,17,25,9,0,3,134,108,83,134,143,145,101,71,52,34,874,23,5,37,19,8,3,8,0,0,104,65,76,107,82,56,34,24,12,7,473,118,159,178,124,130,121,45,23,6,905,206,280,318,331,497,507,344,235,143,2865,11,4,12,24,15,36,17,33,21,164,12,25,11,15,13,13,6,9,0,113,667,653,485,593,845,850,578,419,226,5317,495,501,593,394,371,316,155,71,27,2925,24,20,27,31,39,24,25,19,0,220
504,927,761,1047,1104,1046,788,298,122,32,6126,5580,3626,3225,5672,6569,5944,4114,2336,951,38012,0,0,0,0,0,0,0,0,0,0,809,474,464,553,489,406,222,118,36,3573,40,46,18,16,26,21,18,0,0,183,11618,7626,7031,8484,8003,6515,4038,2404,835,56558,168,120,78,127,124,156,111,46,21,957,650,402,463,593,498,421,258,171,61,3512,198,141,153,159,158,170,113,82,16,1195,180,128,127,91,96,86,49,21,3,777,141,97,93,175,168,172,128,78,37,1080,45,12,28,40,14,0,11,0,0,156,92,59,72,104,121,72,43,22,12,607,626,408,352,385,360,277,116,69,19,2612,321,230,278,425,768,787,553,327,115,3804,88,83,74,92,115,130,74,65,25,750,147,80,81,73,63,72,48,36,7,610,590,476,467,646,927,989,701,396,177,5371,1540,1024,904,937,849,694,350,112,40,6449,86,64,56,72,71,63,40,18,7,486
505,1886,1614,2016,2011,1878,1346,460,211,55,11483,14260,9258,8008,13960,14931,13257,9047,5609,2348,90673,0,0,0,0,3,0,0,0,0,7,2193,1302,1142,1470,1230,885,584,321,114,9252,36,21,12,15,33,17,16,13,7,174,26413,17135,16506,18327,17371,13631,8486,5122,1731,124733,349,199,200,250,277,340,273,153,75,2104,2238,1574,1670,1989,1876,1553,953,686,200,12740,363,261,320,308,381,293,205,126,53,2311,467,303,278,223,186,183,96,48,15,1794,365,237,247,405,362,325,297,154,66,2446,198,138,120,98,116,55,28,7,8,772,236,184,197,255,239,152,88,43,30,1421,1541,1226,945,909,1059,755,336,121,26,6909,1058,800,807,1292,1811,1799,1206,821,325,9919,141,92,74,126,146,182,139,89,24,1018,170,116,130,123,94,97,44,40,5,816,2065,1462,1260,1839,2229,2361,1656,1123,503,14508,2767,1953,2066,1795,1531,1249,558,211,83,12210,185,106,101,152,125,92,56,25,7,855
506,1843,2628,3065,2223,1881,1534,551,203,56,13978,9215,7040,6566,9904,11989,12570,8657,5393,2183,73522,0,0,0,0,0,0,0,0,0,0,1916,1451,1238,1290,1281,1060,656,367,150,9405,200,165,150,84,72,73,47,33,14,842,18281,13965,13505,13553,13017,11443,6781,4094,1456,96108,325,192,209,222,230,274,187,103,43,1783,455,305,424,443,393,370,194,113,79,2765,281,131,251,249,271,295,170,104,35,1789,324,188,191,173,152,147,87,37,20,1323,303,239,283,297,365,336,237,137,85,2274,142,81,85,99,63,35,18,14,0,540,253,257,249,243,220,211,148,64,38,1683,1235,937,822,792,845,588,286,106,37,5642,1667,1285,1098,1342,1813,1880,1321,742,320,11456,126,95,77,136,131,182,135,101,43,1024,411,294,288,259,223,227,180,117,93,2085,1618,1530,1292,1493,1942,2200,1488,900,503,12961,3174,2553,2460,1942,1876,1406,664,284,90,14447,264,183,185,188,179,120,94,47,27,1290
507,755,931,1152,1169,1002,952,319,105,20,6419,9523,6254,5752,10007,11107,10240,7466,5130,2025,67511,0,0,0,0,0,0,0,0,0,0,1387,993,723,892,931,724,429,271,97,6453,70,40,30,29,29,16,9,15,6,241,19105,12669,11485,13347,12696,9773,6456,4218,1320,91065,191,105,98,148,139,172,175,90,40,1164,531,421,511,551,526,421,249,127,47,3383,352,209,237,231,247,264,146,81,36,1791,249,136,124,106,99,76,37,31,12,873,466,287,266,317,285,232,219,127,52,2254,29,18,26,25,20,8,3,0,0,130,151,150,157,154,217,109,61,28,12,1034,789,508,502,462,487,333,177,84,15,3356,924,723,710,1056,1560,1476,1141,756,350,8707,76,78,69,103,116,115,98,74,30,753,109,57,73,67,63,53,37,26,11,494,1538,1162,995,1369,1721,1765,1287,933,406,11173,2286,1662,1556,1436,1281,912,427,214,67,9834,120,72,83,103,88,68,39,27,10,607
509,91,85,95,167,177,169,45,12,4,851,4377,1802,2097,3964,5230,5817,4312,2477,873,30952,0,0,0,0,0,0,0,0,0,0,813,417,407,420,529,517,319,173,74,3671,137,122,90,55,47,41,25,21,6,536,4761,2186,2367,3158,3437,3039,1918,1028,358,22253,148,60,61,85,99,94,93,46,21,714,33,15,32,49,51,55,28,15,7,288,163,91,117,118,117,147,104,46,13,921,70,35,22,38,38,43,19,17,4,287,118,55,94,127,146,178,108,70,25,913,5,0,6,3,3,0,0,0,0,23,68,22,34,45,39,51,39,21,5,318,241,133,106,119,158,91,55,19,6,937,461,233,189,325,537,634,457,280,85,3195,71,43,42,62,97,120,96,36,9,576,118,47,62,90,69,87,72,54,15,609,872,439,471,767,1305,1481,1184,792,295,7614,932,481,438,498,558,512,323,135,34,3909,39,22,18,36,26,21,17,14,3,199
510,125,101,265,234,215,111,14,3,0,1064,1713,868,1833,2445,2376,1518,482,104,19,11359,0,0,0,0,0,0,0,0,0,0,387,157,278,283,186,136,38,11,4,1478,0,0,0,7,0,0,0,0,0,11,5114,3047,4319,3806,3004,1621,481,162,42,21587,70,39,35,59,35,34,15,3,0,294,38,48,72,55,50,37,9,4,0,314,60,34,59,51,39,28,3,0,0,280,47,30,28,43,36,29,0,0,0,211,92,79,120,118,101,69,25,6,0,615,5,0,0,0,5,0,0,0,0,10,634,310,293,247,229,135,57,26,11,1947,451,228,237,211,161,100,35,14,4,1427,111,74,159,254,409,331,78,25,5,1443,16,17,22,25,33,28,8,0,0,144,126,58,60,68,33,35,9,0,0,389,513,305,440,513,542,398,129,37,6,2892,599,300,427,366,267,158,29,11,4,2171,30,25,27,33,45,23,9,3,0,182
511,155,126,202,233,166,119,19,9,0,1035,3087,1740,1947,3355,4074,3786,2428,1273,395,22078,0,0,0,0,0,0,0,0,0,0,376,259,199,303,279,167,95,39,10,1727,4,0,0,0,3,3,0,0,0,16,6665,3591,3694,4257,4026,2944,1758,865,263,28062,448,254,226,239,235,170,89,24,16,1690,34,30,45,48,50,45,23,6,9,288,137,76,79,134,99,96,74,35,8,737,118,60,64,68,67,36,21,6,0,435,209,113,120,176,182,143,94,54,10,1100,3,0,6,0,3,0,0,0,0,16,94,65,69,59,87,44,18,12,7,451,331,142,145,162,193,135,67,22,4,1211,246,87,173,322,477,537,330,177,36,2377,43,17,32,42,63,73,44,25,9,358,298,150,124,131,122,94,49,42,0,1013,579,373,417,547,881,921,543,292,94,4652,1083,542,556,597,438,312,146,59,16,3745,59,37,31,48,44,22,14,0,0,266
