SA4_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
501,11,16,32,0,0,6,5,3,9,0,5,7,5446,4843,10289,5461,4871,10331,185,403,594,16,46,61,0,9,11,0,4,3,3888,3403,7292,4095,3863,7957,1026,1614,2640,53,107,162,38,82,113,0,4,3,3295,2586,5885,4415,4395,8810,2167,2644,4806,142,199,346,129,199,327,4,20,19,2267,1809,4075,4709,4863,9582,3020,3429,6448,195,286,483,288,410,701,0,19,28,1705,1455,3163,5212,5605,10818,3552,3813,7372,281,392,674,504,756,1262,15,53,65,1430,1108,2540,5787,6127,11916,3643,3732,7376,313,329,642,703,921,1626,32,112,144,1107,688,1799,5800,5783,11581,3831,3791,7616,253,323,576,872,1020,1891,51,142,193,728,454,1180,5733,5724,11462,3524,3661,7186,234,216,447,875,938,1816,77,184,258,505,272,777,5214,5269,10485,3600,3382,6984,175,144,319,721,760,1478,105,325,437,263,158,420,4875,4764,9640,2811,2396,5209,105,87,197,459,451,907,119,470,586,157,103,258,3647,3506,7159,2066,1674
502,5,15,19,3,5,8,0,4,3,4,3,3,2826,2638,5465,2838,2655,5498,104,213,321,9,34,39,4,4,8,5,3,5,2086,2001,4086,2208,2249,4457,471,733,1206,39,74,111,12,44,57,5,7,7,1609,1350,2960,2137,2209,4344,874,1157,2024,64,108,169,55,123,183,0,0,4,989,798,1793,1982,2197,4174,1307,1478,2783,104,150,254,146,235,383,6,20,20,809,650,1455,2373,2529,4900,1494,1669,3161,145,207,353,254,380,635,19,26,46,625,484,1110,2536,2766,5299,1611,1699,3310,164,196,360,380,548,926,12,35,52,499,368,873,2674,2850,5523,1661,1815,3480,132,154,290,438,568,1005,21,77,94,328,228,563,2581,2849,5427,1690,1791,3484,114,149,263,442,520,956,36,123,156,232,130,367,2510,2708,5216,1985,2152,4133,124,111,237,474,487,962,63,198,265,125,71,200,2771,3016,5786,1907,1797,3699,107,67,170,307,347,658,108,325,431,95,42,137,2519,2584,5101,1747,1424
503,4,17,22,4,0,5,0,4,4,5,0,3,4533,4712,9251,4549,4737,9285,142,344,487,14,21,31,3,10,15,8,8,13,6844,6577,13417,7011,6961,13969,1198,1742,2939,50,67,113,49,65,115,4,7,12,6899,5769,12670,8193,7654,15849,2468,2873,5345,87,97,178,155,198,353,4,7,13,3723,2821,6548,6433,5998,12437,3014,3336,6355,128,143,280,273,349,619,0,12,17,1983,1385,3373,5412,5234,10645,3480,3752,7229,162,204,367,375,552,932,14,35,52,1486,1028,2509,5521,5567,11082,3318,3530,6847,185,242,426,557,663,1220,15,72,83,1201,851,2053,5275,5362,10638,3294,3294,6594,233,238,468,699,842,1538,42,110,153,938,678,1616,5206,5157,10364,2951,2872,5827,213,210,421,735,879,1617,63,160,226,716,493,1213,4680,4613,9298,2704,2485,5189,188,152,335,678,824,1502,77,255,335,487,325,809,4141,4038,8179,2054,1719,3774,121,94,216,460,516,974,83,340,425,347,213,558,3068,2883,5943,1498,1262
504,17,36,55,3,3,8,6,0,4,0,0,0,7713,7170,14884,7737,7212,14948,350,747,1099,21,52,67,10,20,31,11,3,13,7452,6319,13771,7841,7139,14981,1994,2901,4900,100,155,257,71,110,176,11,12,23,5877,4368,10246,8053,7552,15602,3554,4306,7866,178,245,421,197,305,504,8,19,24,3689,2841,6532,7630,7721,15354,4845,5139,9988,263,383,643,402,672,1078,17,36,44,2634,2082,4716,8163,8310,16478,5187,5344,10530,362,491,854,726,1053,1782,25,82,112,2140,1629,3765,8440,8601,17048,5187,5199,10386,408,463,871,916,1338,2251,33,123,161,1616,1129,2742,8163,8254,16414,4719,4669,9391,349,405,746,1096,1385,2477,55,226,289,1162,785,1955,7383,7475,14856,4273,4216,8491,303,311,619,1049,1281,2332,97,312,407,728,475,1206,6448,6599,13048,4028,3717,7744,249,258,509,927,1139,2064,149,487,636,479,292,777,5837,5893,11727,3050,2521,5571,146,158,306,556,744,1304,141,604,745,284,140,423,4175,4177,8354,2265,1867
505,31,67,99,10,4,22,10,16,22,8,12,16,17185,16196,33380,17248,16292,33541,616,1438,2059,26,101,121,24,37,60,16,20,37,16651,15165,31818,17325,16768,34094,4139,6331,10473,146,343,493,129,272,403,21,32,48,13794,10843,24640,18235,17825,36062,8097,9896,17996,307,472,781,407,660,1064,13,43,61,7717,5903,13621,16550,16973,33523,11145,12164,23309,441,655,1095,846,1302,2148,22,97,117,5211,4033,9243,17666,18240,35914,12263,12812,25074,622,891,1509,1412,2004,3414,51,191,238,3800,2937,6738,18146,18821,36968,11870,11973,23848,695,918,1606,1821,2641,4463,87,266,357,2526,1987,4515,17005,17787,34788,10882,10880,21758,660,818,1476,1890,2846,4736,124,397,519,1758,1234,2988,15303,16175,31481,9702,9578,19280,533,614,1149,1903,2672,4573,195,644,837,1063,818,1881,13390,14328,27719,9347,8412,17758,378,496,877,1535,2351,3882,267,1025,1296,597,536,1131,12127,12813,24942,6649,5729,12386,235,260,491,967,1558,2525,288,1161,1450,316,265,587,8454,8981,17439,5051,4170
506,49,74,118,7,11,20,16,4,17,13,8,17,15463,14440,29899,15543,14537,30073,748,1658,2409,39,104,145,24,42,62,9,13,23,18143,16016,34155,18965,17836,36798,4544,6525,11070,191,319,509,156,232,388,15,30,46,13845,10218,24061,18753,17317,36071,8122,9030,17143,321,471,789,388,589,968,21,48,64,7538,5651,13188,16383,15779,32160,9058,9571,18627,449,690,1132,815,1169,1987,18,75,97,5005,3604,8614,15345,15111,30455,9587,9695,19277,601,745,1343,1231,1835,3068,46,155,202,3787,2724,6512,15242,15154,30401,9337,9396,18737,743,746,1487,1691,2357,4048,71,253,323,2680,1757,4437,14514,14517,29031,8731,9109,17833,601,695,1301,1946,2649,4592,128,426,554,1966,1290,3254,13375,14166,27543,8494,8421,16916,542,601,1143,1963,2542,4512,180,625,806,1143,822,1965,12321,13020,25334,8376,7478,15857,490,461,950,1709,2212,3917,261,946,1209,786,492,1275,11613,11589,23200,5926,4915,10844,315,268,587,1026,1311,2339,293,1156,1445,435,317,756,8000,7966,15968,4380,3535
507,21,28,53,3,11,10,10,8,17,3,3,12,12340,11974,24314,12379,12023,24404,440,850,1293,31,79,111,17,24,41,17,6,23,12163,11249,23409,12673,12212,24890,2785,4212,6995,158,235,392,97,160,261,13,17,33,9249,7481,16733,12301,12109,24411,5645,6758,12405,278,375,656,327,443,766,8,32,43,5569,4310,9882,11834,11920,23752,7664,8300,15959,382,537,917,612,1009,1617,23,36,62,3798,3155,6950,12479,13028,25511,8378,8937,17311,523,735,1251,1116,1541,2659,47,103,154,2974,2374,5346,13034,13694,26722,8302,8510,16811,526,685,1218,1407,2060,3471,70,172,242,2111,1628,3742,12412,13066,25476,7777,7710,15485,563,598,1162,1671,2164,3833,103,322,422,1466,1099,2560,11581,11888,23461,6890,7032,13921,417,448,864,1481,2038,3522,157,472,625,938,652,1592,9881,10644,20529,6573,6069,12638,334,362,697,1327,1662,2993,189,715,904,573,392,963,8992,9194,18188,5018,4297,9318,227,195,426,851,1138,1988,251,902,1153,312,205,519,6664,6742,13406,3789,3156
509,10,5,17,6,0,7,5,3,8,3,3,6,3946,3409,7353,3971,3421,7390,142,326,468,6,26,30,9,9,11,0,3,7,3046,2315,5352,3196,2672,5867,827,1242,2067,36,79,120,22,39,57,0,7,7,2275,1901,4180,3159,3271,6429,1685,1965,3647,82,97,175,72,121,194,3,14,20,1498,1247,2747,3339,3448,6783,2238,2544,4784,118,175,296,197,267,469,14,22,36,1353,1073,2425,3927,4088,8009,2734,2950,5681,194,204,397,325,524,855,15,52,68,1313,899,2210,4574,4634,9209,3056,3048,6102,229,260,488,562,636,1200,29,69,96,1060,628,1689,4935,4641,9572,3219,3312,6529,259,250,512,744,762,1510,60,125,187,806,462,1273,5083,4918,10003,3239,3212,6458,238,173,412,745,714,1456,83,203,282,522,284,796,4821,4586,9411,3333,3092,6422,192,145,337,715,637,1356,131,296,430,352,160,508,4724,4327,9047,2589,2229,4816,147,85,231,494,431,921,143,388,530,196,82,275,3564,3210,6775,2002,1634
510,40,71,111,3,7,3,4,0,4,0,6,4,2573,2112,4680,2619,2191,4808,281,359,635,22,20,40,23,13,29,6,8,17,4096,2827,6918,4417,3220,7633,1316,1293,2611,82,42,126,44,30,77,6,4,10,4897,3003,7900,6349,4375,10725,2186,1853,4037,142,91,235,156,106,257,6,15,29,3030,1784,4807,5517,3851,9368,2879,1993,4871,223,135,357,283,140,426,9,24,32,2181,1266,3450,5572,3556,9126,2854,1704,4560,248,129,380,456,253,714,14,38,49,1637,1024,2663,5210,3150,8357,2564,1459,4019,243,148,392,577,377,951,21,42,60,1160,669,1829,4558,2698,7256,2331,1381,3711,302,149,451,684,463,1146,60,80,135,774,451,1225,4146,2524,6670,1792,1040,2829,206,112,319,544,340,885,54,102,152,449,239,687,3041,1831,4875,1146,595,1740,112,63,174,372,159,532,66,125,190,205,122,325,1903,1067,2972,505,274,778,66,21,86,136,79,215,51,90,143,105,51,156,865,515,1384,194,97
511,25,40,60,5,7,14,0,0,6,6,3,3,3967,3645,7614,3999,3690,7694,246,399,643,14,23,41,9,8,19,4,14,15,3814,3184,7000,4095,3626,7716,1031,1420,2456,70,78,148,28,53,86,8,15,20,3501,2542,6041,4642,4105,8748,1868,2039,3908,108,139,245,88,118,210,3,16,19,2229,1619,3852,4302,3933,8229,2527,2495,5027,176,180,362,252,259,508,20,26,43,1772,1322,3091,4741,4284,9028,2691,2569,5255,234,214,445,382,455,839,22,41,67,1487,1033,2518,4815,4302,9124,2680,2534,5212,250,229,478,587,641,1228,37,94,134,1214,740,1953,4762,4241,9000,2716,2508,5223,262,228,489,726,635,1364,56,143,204,803,430,1235,4562,3950,8510,2431,2204,4631,193,163,359,687,571,1257,46,216,259,506,242,749,3860,3401,7258,2140,1835,3978,223,118,339,596,408,1004,93,300,401,348,129,473,3402,2793,6193,1565,1310,2883,126,80,211,354,238,588,92,315,414,212,70,285,2347,2025,4372,1132,847
