SA4_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
501,206,105,67,82,77,60,46,24,0,675,77,42,20,64,97,89,89,51,13,543,4,0,3,3,0,0,0,0,0,16,59,27,43,57,141,152,127,60,24,685,267,120,132,137,133,127,91,44,14,1058,320,149,145,243,449,619,589,293,95,2903,31,16,18,33,58,107,53,32,12,362,83,48,68,69,94,91,81,70,34,637,506,315,255,470,729,1105,1146,650,245,5422,1282,620,623,732,778,702,458,163,50,5402,40,24,23,38,35,37,25,8,0,235,14990,8051,7260,10579,13653,14231,12371,6384,2370,89890,128,27,154,122,47,21,17,4,0,520,211,79,190,144,77,28,21,3,0,748,20,7,11,15,14,19,15,0,0,94,5,3,4,4,0,0,0,0,0,18,50,16,80,30,3,8,0,0,0,189,86,63,98,119,131,73,50,18,0,645,140,90,183,157,130,88,51,18,0,854,16666,8640,9563,9314,7980,6527,3651,1241,419,63999
502,110,59,57,55,40,42,28,9,7,404,83,30,26,47,53,79,59,35,14,422,4,0,4,3,4,0,0,0,0,23,49,36,21,58,84,90,109,56,40,537,188,104,101,92,108,103,72,43,13,820,139,129,79,162,284,412,577,354,107,2239,17,13,10,12,28,48,62,52,14,248,24,14,11,14,13,16,30,22,4,151,227,172,124,203,305,515,594,420,149,2704,687,423,369,418,432,361,293,128,23,3138,12,5,7,11,23,23,16,6,0,108,7774,4902,4028,5302,7173,7853,8752,5355,1763,52907,99,37,114,98,29,7,5,0,0,396,81,22,69,77,29,20,3,0,0,298,8,8,0,3,13,9,16,6,0,60,4,0,0,4,0,0,0,0,0,17,23,17,68,15,3,3,3,0,0,137,29,39,50,60,71,42,31,6,0,333,66,59,121,77,81,50,34,6,0,484,7887,4845,4820,4229,3876,3160,2179,1077,314,32399
503,10,24,14,7,10,10,12,3,6,98,86,38,58,70,81,78,60,38,25,522,30,9,24,27,15,8,0,0,0,110,79,108,133,122,112,114,73,44,37,806,118,100,149,115,89,72,65,20,4,729,203,219,284,263,391,423,374,238,154,2548,12,3,9,10,9,18,27,20,13,123,15,16,27,21,20,8,8,8,4,117,445,423,315,367,640,617,585,374,216,3978,588,576,782,532,461,409,255,103,38,3739,17,8,17,21,19,11,18,15,3,114,11951,8634,9624,9318,11246,9802,8090,5233,2843,76740,593,432,1212,576,202,110,72,31,9,3232,492,327,680,386,176,96,48,16,3,2226,107,90,101,74,110,116,100,58,26,782,0,3,0,0,4,0,0,0,0,11,43,61,120,40,24,15,7,4,0,316,69,106,133,106,101,94,50,21,11,699,107,168,258,149,124,113,61,26,16,1025,9930,10121,14594,8940,7211,5875,3255,1130,486,61550
504,175,116,98,118,100,78,52,21,4,768,93,54,50,93,115,118,104,58,29,712,80,29,42,70,31,7,9,6,0,279,209,146,178,250,258,262,164,93,32,1593,656,348,379,437,322,284,179,59,26,2698,311,207,216,342,569,710,572,325,106,3366,65,61,47,58,95,96,85,68,28,614,155,78,84,87,79,65,46,39,18,647,399,332,322,421,585,743,730,374,137,4049,1960,1319,1373,1353,1269,958,543,208,55,9027,57,49,40,60,49,53,40,21,5,366,21730,13984,13946,16455,18631,16525,12759,6928,2579,123538,1176,435,1635,960,284,139,90,29,9,4756,1824,1014,1311,914,595,330,146,51,12,6199,116,61,70,87,114,134,112,38,9,728,11,13,9,5,3,0,0,0,0,46,413,234,774,221,53,57,31,3,3,1795,130,108,192,220,205,118,76,23,8,1082,564,354,978,444,266,176,105,33,7,2922,18024,12252,15772,11924,10317,7080,3573,1286,424,80655
505,472,259,242,202,169,191,139,52,27,1756,168,96,112,178,215,213,215,136,59,1386,323,165,211,192,122,94,42,20,0,1175,411,352,419,436,632,546,335,201,97,3411,1597,1145,1090,989,967,711,424,173,38,7126,905,628,698,1004,1483,1664,1342,815,339,8882,59,57,48,64,101,123,159,102,30,737,149,127,116,112,118,94,79,44,13,854,1386,971,796,1196,1434,1768,1736,1045,429,10767,4001,2428,2714,2860,2445,1730,1070,456,95,17798,65,64,67,77,95,94,57,22,8,550,50009,32174,31858,37132,41739,35891,28463,16207,6284,279760,2014,1108,2771,1719,715,414,207,59,12,9017,3789,2181,2662,1877,1239,658,263,110,18,12807,500,350,227,318,417,455,342,205,167,2979,12,7,4,5,4,4,0,0,0,37,464,378,1045,270,110,88,47,22,0,2425,288,266,419,405,417,294,193,66,36,2371,762,651,1468,678,536,387,234,86,37,4832,38362,24902,33395,26153,20423,13613,6911,2680,986,167431
506,287,204,184,168,160,154,88,52,13,1306,151,136,102,176,187,195,178,124,61,1314,225,117,137,153,91,57,26,11,3,819,513,465,538,493,511,506,353,196,100,3684,1387,896,922,862,777,634,357,156,34,6034,1683,1093,1132,1163,1484,1686,1440,809,306,10786,57,58,43,84,119,125,156,101,35,780,468,290,317,272,264,220,185,120,45,2182,1137,957,903,1021,1316,1561,1524,820,362,9602,4440,2976,3294,2893,2386,1886,1086,402,158,19511,227,129,136,147,155,128,72,46,11,1055,38705,27032,27711,29487,32209,30645,24426,13574,5494,229294,3541,1800,4299,3026,1218,573,215,70,13,14765,6923,3715,4669,3647,1936,874,402,106,28,22298,39,25,40,40,39,47,44,11,12,300,23,11,11,14,8,3,3,0,0,72,1113,907,2309,624,209,172,87,32,7,5454,220,216,381,340,367,250,146,48,14,1985,1357,1134,2701,977,581,426,238,83,21,7512,32291,25455,31645,21839,17277,12667,6661,2495,976,151299
507,244,151,123,140,118,84,50,29,11,952,252,155,97,182,223,156,164,97,44,1375,75,17,44,43,21,8,11,3,3,229,346,263,267,347,430,314,255,136,56,2410,1031,633,647,619,532,453,220,90,28,4254,891,590,657,804,1270,1404,1252,788,358,8008,76,60,61,64,112,122,110,83,18,692,136,73,94,92,71,62,53,25,16,614,1135,809,696,920,1225,1398,1257,829,384,8652,2978,1797,2044,1971,1685,1282,678,295,96,12825,96,64,74,79,67,68,33,26,13,530,36012,23115,21855,26863,30632,26554,20953,12747,5231,203966,1071,460,1271,867,432,246,114,39,15,4521,881,513,806,651,366,213,109,31,7,3572,53,26,58,46,46,43,42,22,3,341,7,4,8,4,7,3,0,0,0,40,288,197,547,148,51,72,34,15,0,1353,227,189,309,315,320,244,97,61,16,1787,516,397,861,468,383,323,136,77,22,3179,33824,21587,26546,21083,16966,11797,6025,2328,907,141067
509,34,27,17,23,31,38,21,9,9,201,67,36,45,69,102,115,103,56,24,625,6,3,9,6,4,0,0,0,0,34,61,33,42,53,102,152,130,69,32,671,244,109,113,129,148,97,89,26,10,951,356,188,172,230,387,561,529,318,108,2844,29,24,24,42,76,98,110,44,9,461,91,33,31,63,65,69,110,49,16,525,615,309,306,496,893,1228,1135,692,291,5963,965,471,444,534,614,626,453,200,49,4349,23,16,10,20,22,35,8,10,3,138,10707,5216,5623,7489,10474,12091,10519,5690,2045,69852,69,20,80,41,33,18,11,3,0,271,157,91,117,119,92,76,49,18,4,725,0,3,0,5,6,12,15,0,0,50,10,3,9,0,0,7,0,0,0,25,14,3,39,8,3,0,0,0,0,68,82,45,58,89,123,97,56,15,5,562,104,49,102,100,126,97,57,19,5,656,11302,6242,6056,5728,6182,5688,3372,1303,360,46236
510,72,33,49,45,41,23,9,0,0,270,73,30,68,74,49,42,18,8,0,358,6,0,0,3,0,3,0,0,0,14,531,300,322,271,291,194,76,31,5,2019,396,242,191,221,184,133,41,10,5,1424,79,61,126,158,282,313,75,19,6,1120,11,3,18,13,26,8,3,0,0,94,162,73,75,75,56,29,13,7,0,491,339,151,281,341,362,321,120,32,8,1963,866,427,593,537,396,256,83,13,9,3180,23,22,20,24,25,19,0,5,0,136,9157,4350,7644,7420,6953,4856,1660,438,105,42579,114,33,234,175,75,22,5,0,0,657,209,85,229,151,116,65,34,10,0,901,0,5,11,5,6,12,0,0,0,38,158,117,123,84,70,50,24,9,5,630,9,8,30,14,3,0,0,0,0,59,23,7,54,55,43,28,6,0,0,215,191,125,200,147,116,82,25,8,5,910,7702,3715,7720,5429,3660,2217,549,110,35,31139
511,89,56,39,44,48,40,23,10,5,344,120,49,65,68,104,109,86,41,16,653,3,7,12,0,0,5,0,0,0,25,89,48,63,80,126,114,92,35,16,673,274,106,149,140,154,129,66,25,5,1049,161,77,132,161,353,496,376,182,60,1984,22,15,21,24,51,62,44,26,5,262,233,91,118,112,109,101,77,35,15,892,382,220,269,369,543,719,542,285,101,3429,1142,669,663,658,599,485,239,90,17,4560,17,21,22,21,37,25,14,5,0,162,10923,6212,6478,7605,9798,9086,6518,3214,1057,60887,142,31,184,140,40,22,14,4,0,570,259,82,154,148,80,60,28,16,3,820,0,5,6,4,7,5,5,0,3,26,63,36,53,22,23,3,4,6,0,215,27,6,37,24,0,0,0,0,0,97,48,30,49,67,54,40,14,10,0,315,138,72,141,113,80,44,22,14,0,628,9799,5506,6923,5306,4729,3507,1768,586,157,38279
