SA4_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
501,4,19,281,40,17,16,54,93,270,301,207,67,33,23,60,1195,11,10,14,17,37,88,75,44,17,10,6,18,339,46,33,39,59,80,180,130,119,40,22,11,35,786,103,59,81,140,227,604,573,427,131,75,55,136,2609,813,413,349,704,1044,3651,4749,5141,1942,1423,898,1102,22238
502,3,11,153,21,4,7,32,45,151,191,146,40,26,26,44,726,5,3,0,11,13,49,40,50,11,11,4,11,210,28,24,9,32,50,120,98,81,19,19,17,35,539,57,34,24,79,119,359,358,309,82,55,52,101,1638,434,193,176,350,514,1899,2666,3232,1212,886,584,722,12865
503,28,10,137,17,6,8,10,18,37,62,86,57,64,106,21,495,18,13,4,11,6,31,30,69,34,50,64,35,368,34,11,9,9,23,38,35,45,22,35,46,30,331,82,31,19,32,51,121,145,218,135,163,246,98,1330,782,180,143,228,359,1030,1170,2132,1642,2653,4675,866,15863
504,17,17,420,76,23,13,37,88,327,433,497,185,100,49,114,1938,34,17,14,34,47,142,152,156,50,49,17,37,751,94,40,42,66,104,298,288,346,91,92,47,107,1611,217,88,72,142,264,840,961,1093,367,271,132,276,4723,1365,465,411,738,1187,4553,7488,11219,4963,3498,2014,2089,39980
505,44,34,808,122,56,35,95,155,468,791,931,351,212,138,175,3527,66,25,27,75,86,291,334,353,132,107,80,98,1667,184,61,69,120,171,538,505,510,205,129,82,210,2786,399,157,145,314,434,1411,1811,1997,760,499,344,524,8789,3014,939,857,1495,2217,8065,12668,20673,10600,8736,5975,4398,79644
506,19,45,638,85,29,50,70,122,511,696,703,253,170,96,155,2919,51,31,21,49,62,231,251,279,100,65,58,70,1270,168,66,65,130,155,482,453,419,150,110,82,172,2458,334,126,140,268,366,1343,1515,1560,552,384,253,444,7287,2436,817,757,1401,2163,8345,12651,17426,7871,5798,4090,3547,67302
507,27,29,621,99,32,42,65,129,478,641,701,260,163,117,173,2893,50,23,22,44,59,202,238,224,88,82,50,67,1144,147,71,61,102,149,368,385,338,126,102,64,173,2077,313,149,137,224,370,1139,1388,1403,532,391,264,438,6744,2052,727,713,1172,1724,6750,10645,15390,7134,5873,4302,3155,59631
509,0,10,138,28,20,23,47,53,161,109,58,39,26,6,35,600,6,10,9,20,17,42,30,16,6,8,5,9,184,42,37,29,45,45,97,58,32,14,7,9,40,460,97,69,65,119,131,333,222,130,62,42,21,90,1377,790,345,359,697,852,2339,2313,2263,942,667,408,679,12663
510,0,5,27,5,0,0,0,9,26,19,49,19,16,13,15,181,0,0,0,0,0,4,0,10,3,5,4,4,31,9,5,0,5,9,8,10,7,8,5,3,4,62,14,4,6,9,18,41,31,73,37,30,20,24,297,100,44,42,108,145,449,527,786,415,449,338,203,3613
511,3,0,96,16,11,10,42,50,157,106,80,32,18,9,32,559,5,4,3,8,8,38,35,19,3,6,3,6,147,27,14,13,29,29,96,62,59,25,16,10,32,396,50,32,28,81,94,308,226,193,62,33,25,69,1201,413,218,214,481,641,1972,2096,2249,835,659,395,620,10779
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
