SA4_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501,2916,1293,4204,3306,1499,4811,3450,1644,5092,3277,452,3736,4497,496,4995,5966,1023,6986,6867,1846,8709,5051,1650,6695,5296,1979,7278,1072,210,1283,1131,202,1337,1204,278,1485,8220,1252,9477,7246,1111,8358,7643,1284,8926,1132,583,1712,824,382,1205,941,478,1421,2829,5454,8282,2898,5478,8379,2873,5416,8294,1722,3480,5207,2094,3598,5688,2664,4325,6985,2057,639,2698,2043,639,2685,2179,770,2956,250,257,511,272,232,508,219,195,415,344,721,1067,329,673,1001,352,643,993,565,662,1225,544,692,1234,435,673,1104,1438,1354,2788,1255,1389,2645,1452,1535,2991,966,1164,2130,1114,1471,2588,1185,1574,2756,1821,1658,3482,1685,1804,3487,1979,1982,3965,1324,4227,5551,1308,5124,6434,1432,5753,7181,1038,5776,6819,1350,7056,8406,1831,9131,10967,273,336,611,524,529,1054,405,582,988,1466,1322,2790,1492,1466,2954,1595,1686,3275,988,595,1584,2029,1157,3187,2053,1345,3404,40569,33287,73856,40998,36662,77660,45161,42292,87452
502,280,138,417,307,178,488,329,173,503,2048,362,2410,3076,470,3552,4054,797,4848,3100,721,3818,2152,554,2704,2631,807,3439,304,64,366,375,71,450,498,108,607,3956,600,4553,3881,579,4462,3758,589,4345,493,224,719,427,194,622,451,198,648,1369,2603,3971,1487,2785,4270,1560,2957,4515,820,1466,2285,983,1535,2514,1213,1850,3069,890,267,1157,974,387,1357,1086,392,1475,140,130,271,185,109,296,104,80,181,155,334,487,199,334,536,162,332,495,272,410,685,256,438,692,233,427,660,641,629,1274,644,671,1307,762,790,1552,547,551,1093,575,675,1248,630,800,1435,854,782,1634,958,899,1856,1055,992,2050,583,1857,2442,651,2436,3083,696,2911,3606,385,2762,3149,537,3642,4177,765,4838,5603,183,213,403,229,279,511,242,356,602,673,600,1275,705,679,1385,805,900,1706,484,304,788,1033,571,1604,1145,713,1859,18180,15017,33200,19634,17484,37121,22193,21005,43190
503,244,133,380,339,180,522,353,186,544,3739,1568,5303,3629,1375,5000,5207,2159,7368,2407,998,3404,1786,802,2586,1784,956,2744,514,256,769,517,288,810,600,396,999,4008,953,4964,3948,897,4846,4033,1078,5112,1395,725,2127,955,532,1482,1144,583,1725,3089,3574,6663,2965,3376,6335,3121,3656,6779,2878,2846,5725,3386,3281,6661,3608,3948,7550,1246,492,1739,1408,512,1926,1760,549,2307,753,610,1366,697,502,1203,682,488,1174,1889,1314,3199,1891,1340,3239,2173,1500,3670,1111,830,1934,1199,906,2107,1187,906,2095,8056,4866,12921,7103,4773,11875,8685,6016,14697,1300,1323,2621,1276,1488,2762,1358,1452,2815,2382,2237,4629,2535,2394,4928,2693,2711,5399,2615,5163,7779,2917,5771,8690,3058,6152,9215,3572,7433,11008,3996,8397,12390,5146,11223,16369,834,741,1569,933,904,1839,1156,1142,2299,957,1081,2043,1032,1274,2303,1110,1524,2627,924,661,1582,2112,1419,3530,2374,1582,3956,43910,37815,81724,44628,40406,85031,51236,48215,99451
504,486,299,777,611,373,982,661,445,1109,3646,1212,4856,4689,1226,5915,7278,2049,9329,8129,2580,10708,5538,2095,7629,5805,2193,7995,767,318,1084,857,358,1213,1011,455,1469,8834,1645,10479,9715,1835,11551,10174,2002,12173,3311,1580,4895,2518,1147,3668,2899,1373,4272,4794,7028,11822,5017,7016,12033,5565,7564,13132,2691,3610,6301,3392,4277,7676,3830,4790,8618,4544,1518,6067,5179,1782,6960,5979,1919,7900,760,514,1270,859,461,1323,750,440,1196,1147,1724,2867,1164,1647,2809,1200,1730,2931,892,951,1848,848,1115,1962,867,1028,1895,4086,3257,7347,3858,3178,7036,4811,3936,8746,1615,1807,3422,1941,2103,4043,1985,2314,4299,4119,3803,7925,4477,4278,8761,4662,4521,9177,2194,5758,7956,2505,6927,9434,2735,8372,11107,2100,8866,10969,2532,11138,13670,3468,14877,18343,780,802,1585,973,1052,2026,1169,1259,2433,2823,2106,4927,2993,2460,5454,3146,2992,6143,1483,1035,2522,3784,2053,5838,4460,2508,6970,59213,50404,109612,63456,56536,119990,72472,66763,139231
505,813,495,1309,1177,729,1914,1211,821,2031,7873,2586,10458,9202,2354,11554,13960,3913,17870,13745,4498,18241,9187,3569,12756,9086,3640,12725,2008,780,2788,2049,847,2900,2289,1024,3308,24407,4222,28627,26621,4455,31074,26485,4871,31355,6084,2960,9042,4428,2187,6616,4661,2193,6855,10818,15472,26290,11226,15244,26470,11604,15670,27273,5974,7532,13509,7257,8461,15711,8179,9925,18103,6467,1839,8303,7106,2013,9123,8321,2319,10639,2033,1340,3372,2053,1186,3237,1767,1025,2789,3783,4793,8581,3703,4544,8253,3896,4750,8646,2002,2330,4335,2061,2652,4708,1892,2360,4254,11921,8437,20358,10706,8200,18905,13206,9945,23149,4025,4508,8532,4321,4769,9091,4611,5109,9722,8346,6909,15255,8592,7544,16134,9125,8239,17363,5675,14588,20266,6225,17413,23636,6743,20311,27053,5147,22337,27483,6121,26681,32805,8087,33975,42059,1823,1808,3628,2232,2098,4329,2612,2531,5147,5318,4680,10000,5504,5441,10948,5838,6479,12321,3046,2060,5109,7551,4235,11789,8340,4977,13314,131308,114164,245475,137331,124615,261943,151897,144065,295961
506,830,571,1399,1078,715,1789,1140,759,1891,7362,2433,9795,8296,2302,10595,12516,3650,16161,15192,4732,19918,10328,3605,13929,10936,3947,14884,1799,700,2498,1814,746,2559,2038,760,2797,16531,3019,19549,17917,3146,21065,17892,3529,21420,6561,3312,9873,5101,2373,7475,5524,2438,7955,9425,12874,22299,9552,12653,22203,10173,13106,23280,5550,7083,12633,7472,8162,15633,8207,9450,17654,9740,3211,12951,10815,3411,14225,12568,3628,16199,1376,935,2311,1494,816,2304,1343,771,2115,2297,3385,5684,2355,3086,5442,2372,3179,5557,1780,1938,3710,1845,2088,3932,1739,1874,3613,9714,6843,16555,8565,6203,14766,10890,7998,18887,3498,3491,6989,4032,3833,7860,4241,4414,8658,6819,6524,13345,7088,6676,13768,7559,7040,14602,4871,11496,16363,5289,13300,18592,5731,15582,21304,4262,17453,21721,5446,21346,26794,7464,28197,35660,1719,1668,3387,2059,1960,4016,2200,2355,4560,5159,3826,8988,5484,4228,9711,5654,4807,10463,3086,1880,4963,7527,3896,11424,8774,4710,13485,117559,97387,214945,123548,104536,228087,138946,122205,261148
507,562,406,966,785,513,1299,843,591,1438,6339,1763,8099,7609,1726,9334,11500,3053,14556,13281,3711,16998,9458,2977,12428,10474,3643,14117,1491,479,1967,1716,607,2322,1824,738,2561,14710,2558,17275,15804,2713,18521,16492,3029,19522,4314,2072,6383,3375,1543,4923,3847,1649,5494,6705,11098,17802,7095,11375,18472,7577,11672,19255,3992,5445,9437,4965,6246,11214,5873,7472,13338,5989,1846,7834,6353,1955,8303,7032,2249,9289,934,760,1692,1068,728,1797,949,604,1557,1790,2450,4239,1925,2397,4327,1961,2652,4611,1401,1635,3042,1565,1824,3385,1467,1713,3183,7513,5314,12835,7085,5380,12469,8835,6804,15637,2422,2787,5204,2599,3018,5614,2880,3308,6190,6850,5185,12033,7540,5852,13391,8281,6514,14797,4091,10916,15008,4605,13312,17926,5151,15876,21023,3602,15804,19407,4487,18925,23414,5953,25328,31281,1261,1203,2467,1519,1591,3113,1700,1895,3600,3248,2938,6192,3521,3408,6930,3866,4260,8124,2339,1453,3796,5728,3120,8848,6582,3749,10331,92841,79833,172671,98802,89226,188022,113099,106804,219901
509,8712,3312,12022,8500,3250,11754,8482,3450,11930,2032,337,2370,1974,340,2308,2445,484,2930,2760,917,3672,2088,757,2846,2142,871,3017,617,99,718,559,107,666,566,134,699,4029,619,4648,3776,588,4363,3893,680,4569,1295,625,1919,1248,492,1739,1256,572,1832,2083,3498,5582,1874,3117,4991,1887,3055,4940,917,2082,2991,952,2012,2972,1151,2256,3408,2054,694,2749,1938,716,2657,1784,745,2528,140,154,295,135,140,275,127,122,249,250,623,869,274,580,851,207,491,695,263,343,607,262,361,614,210,305,520,779,918,1696,718,1050,1764,716,1030,1740,597,619,1220,609,787,1396,621,732,1352,2151,1770,3915,2104,1749,3854,2096,1785,3879,1130,3808,4938,1115,3959,5073,1086,4133,5222,849,4468,5318,935,4732,5664,1161,5738,6899,167,253,416,266,333,596,212,320,535,1266,841,2103,1276,894,2167,1303,951,2249,713,509,1218,1542,960,2502,1438,977,2419,32798,26477,59276,32132,26923,59053,32776,28844,61621
510,594,239,835,615,277,889,574,312,887,10015,2242,12262,9472,1786,11264,7446,2039,9488,1189,274,1468,836,168,1006,655,211,867,420,93,515,475,123,596,477,158,634,5718,893,6609,4423,591,5012,2829,512,3344,480,209,689,474,157,632,487,177,665,913,1640,2554,879,1558,2437,927,1541,2467,1119,1602,2719,1249,1502,2754,1057,1433,2492,1823,703,2529,1823,697,2518,1745,705,2449,137,115,254,92,113,207,93,90,180,69,181,254,44,171,213,43,141,183,390,408,801,337,396,735,282,350,627,796,463,1255,1147,508,1657,442,430,871,750,827,1576,822,895,1717,679,877,1558,1310,1316,2620,1293,1333,2623,1399,1373,2775,855,2434,3293,832,2666,3495,888,3014,3900,694,2489,3188,797,2798,3591,880,3510,4392,142,149,292,189,218,411,191,283,478,1244,658,1898,1086,658,1746,776,604,1386,792,375,1165,1387,658,2042,1155,672,1833,29455,17321,46775,28271,17270,45544,23035,18436,41467
511,2856,1091,3949,2911,1106,4020,2887,1185,4073,6913,1310,8225,6465,1200,7660,6683,1550,8235,2622,627,3248,1475,402,1886,1177,478,1649,466,94,562,429,69,496,457,98,556,4466,764,5236,3416,573,3983,3457,663,4122,1106,489,1593,806,296,1101,958,375,1338,1821,3478,5300,1622,3093,4720,1647,2951,4601,1251,2423,3674,1206,2360,3568,1365,2422,3790,2701,805,3506,2444,772,3213,2428,828,3257,170,167,342,149,149,299,112,92,205,212,460,677,165,402,567,137,306,441,372,514,891,298,448,748,283,400,678,969,827,1792,816,815,1629,889,858,1753,638,818,1458,570,957,1530,604,838,1442,1980,1711,3690,1826,1576,3404,1780,1558,3342,983,3390,4368,993,3528,4523,949,3784,4729,742,3769,4519,808,4076,4889,973,4867,5841,154,243,397,215,321,535,166,309,477,1630,942,2569,1341,872,2216,1267,928,2197,904,519,1422,1395,801,2203,1354,861,2220,32968,24444,57413,29355,23820,53176,29577,25355,54931
