SA4_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
501,36,117,32,45,227,10,27,7,9,44,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,10,47,10,26,90,348,1964,336,759,3402
502,11,63,15,29,127,0,12,3,5,15,0,3,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,34,3,15,54,237,1403,238,572,2447
503,35,191,83,70,374,31,114,58,44,244,25,70,35,19,149,21,45,17,10,98,6,29,13,9,54,24,50,21,14,101,3,23,12,18,48,183,1025,385,422,2013
504,74,256,66,107,503,16,51,15,21,102,5,3,4,13,22,3,9,0,6,11,0,0,0,0,4,0,0,4,3,11,16,78,16,40,156,482,2606,528,1163,4780
505,194,664,231,277,1361,62,177,68,86,391,23,52,25,37,141,16,21,12,18,67,4,14,0,12,27,6,7,3,6,32,25,130,35,100,294,1024,5129,1313,2392,9853
506,140,458,156,206,955,29,102,44,55,228,7,41,18,21,79,5,17,7,12,35,0,4,5,7,15,0,6,0,8,16,25,148,32,63,272,886,4648,1044,2218,8798
507,134,477,124,183,919,49,139,62,43,294,12,33,22,20,83,9,25,13,4,42,0,12,10,7,27,4,14,0,9,22,23,130,14,61,235,845,4466,975,1833,8127
509,8,29,6,13,54,4,0,0,0,6,0,0,0,0,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,8,45,3,21,78,223,1133,176,440,1974
510,14,78,9,20,122,12,32,10,18,69,7,24,3,11,43,3,12,7,0,21,0,8,0,3,14,0,10,3,5,19,6,101,11,47,161,197,1476,164,602,2451
511,7,35,6,7,64,0,9,0,4,15,0,5,0,6,10,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,6,48,0,26,90,224,1395,202,501,2332
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
