region,date,type,publish status,bytes,link
Western Australia,27/10/2023,listings,public,9024718,http://data.insideairbnb.com/australia/wa/western-australia/2023-10-27/data/listings.csv.gz
Western Australia,27/10/2023,calendar,public,10257386,http://data.insideairbnb.com/australia/wa/western-australia/2023-10-27/data/calendar.csv.gz
Western Australia,27/10/2023,reviews,public,56987202,http://data.insideairbnb.com/australia/wa/western-australia/2023-10-27/data/reviews.csv.gz
Western Australia,27/10/2023,listingssummary,public,590414,http://data.insideairbnb.com/australia/wa/western-australia/2023-10-27/visualisations/listings.csv.gz
Western Australia,21/09/2023,listings,public,7554357,http://data.insideairbnb.com/australia/wa/western-australia/2023-09-21/data/listings.csv.gz
Western Australia,21/09/2023,calendar,public,13179318,http://data.insideairbnb.com/australia/wa/western-australia/2023-09-21/data/calendar.csv.gz
Western Australia,21/09/2023,reviews,public,55578454,http://data.insideairbnb.com/australia/wa/western-australia/2023-09-21/data/reviews.csv.gz
Western Australia,21/09/2023,listingssummary,public,582356,http://data.insideairbnb.com/australia/wa/western-australia/2023-09-21/visualisations/listings.csv.gz
Western Australia,22/08/2023,listings,public,9365717,http://data.insideairbnb.com/australia/wa/western-australia/2023-08-22/data/listings.csv.gz
Western Australia,22/08/2023,calendar,public,12928675,http://data.insideairbnb.com/australia/wa/western-australia/2023-08-22/data/calendar.csv.gz
Western Australia,22/08/2023,reviews,public,55074313,http://data.insideairbnb.com/australia/wa/western-australia/2023-08-22/data/reviews.csv.gz
Western Australia,22/08/2023,listingssummary,public,574937,http://data.insideairbnb.com/australia/wa/western-australia/2023-08-22/visualisations/listings.csv.gz
Western Australia,23/07/2023,listings,public,8803126,http://data.insideairbnb.com/australia/wa/western-australia/2023-07-23/data/listings.csv.gz
Western Australia,23/07/2023,calendar,public,12722114,http://data.insideairbnb.com/australia/wa/western-australia/2023-07-23/data/calendar.csv.gz
Western Australia,23/07/2023,reviews,public,54576599,http://data.insideairbnb.com/australia/wa/western-australia/2023-07-23/data/reviews.csv.gz
Western Australia,23/07/2023,listingssummary,public,565683,http://data.insideairbnb.com/australia/wa/western-australia/2023-07-23/visualisations/listings.csv.gz
Western Australia,25/06/2023,listings,public,8731272,http://data.insideairbnb.com/australia/wa/western-australia/2023-06-25/data/listings.csv.gz
Western Australia,25/06/2023,calendar,public,12504562,http://data.insideairbnb.com/australia/wa/western-australia/2023-06-25/data/calendar.csv.gz
Western Australia,25/06/2023,reviews,public,53787233,http://data.insideairbnb.com/australia/wa/western-australia/2023-06-25/data/reviews.csv.gz
Western Australia,25/06/2023,listingssummary,public,554426,http://data.insideairbnb.com/australia/wa/western-australia/2023-06-25/visualisations/listings.csv.gz
Western Australia,26/05/2023,listings,public,8533147,http://data.insideairbnb.com/australia/wa/western-australia/2023-05-26/data/listings.csv.gz
Western Australia,26/05/2023,calendar,public,12188978,http://data.insideairbnb.com/australia/wa/western-australia/2023-05-26/data/calendar.csv.gz
Western Australia,26/05/2023,reviews,public,53029052,http://data.insideairbnb.com/australia/wa/western-australia/2023-05-26/data/reviews.csv.gz
Western Australia,26/05/2023,listingssummary,public,540707,http://data.insideairbnb.com/australia/wa/western-australia/2023-05-26/visualisations/listings.csv.gz
Western Australia,23/04/2023,listings,public,8449600,http://data.insideairbnb.com/australia/wa/western-australia/2023-04-23/data/listings.csv.gz
Western Australia,23/04/2023,calendar,public,12058630,http://data.insideairbnb.com/australia/wa/western-australia/2023-04-23/data/calendar.csv.gz
Western Australia,23/04/2023,reviews,public,52267676,http://data.insideairbnb.com/australia/wa/western-australia/2023-04-23/data/reviews.csv.gz
Western Australia,23/04/2023,listingssummary,public,598961,http://data.insideairbnb.com/australia/wa/western-australia/2023-04-23/visualisations/listings.csv.gz
Western Australia,27/03/2023,listings,public,8379652,http://data.insideairbnb.com/australia/wa/western-australia/2023-03-27/data/listings.csv.gz
Western Australia,27/03/2023,calendar,public,11950703,http://data.insideairbnb.com/australia/wa/western-australia/2023-03-27/data/calendar.csv.gz
Western Australia,27/03/2023,reviews,public,51416946,http://data.insideairbnb.com/australia/wa/western-australia/2023-03-27/data/reviews.csv.gz
Western Australia,27/03/2023,listingssummary,public,589893,http://data.insideairbnb.com/australia/wa/western-australia/2023-03-27/visualisations/listings.csv.gz
Western Australia,22/02/2023,listings,public,8206906,http://data.insideairbnb.com/australia/wa/western-australia/2023-02-22/data/listings.csv.gz
Western Australia,22/02/2023,calendar,public,11608292,http://data.insideairbnb.com/australia/wa/western-australia/2023-02-22/data/calendar.csv.gz
Western Australia,22/02/2023,reviews,public,50068684,http://data.insideairbnb.com/australia/wa/western-australia/2023-02-22/data/reviews.csv.gz
Western Australia,22/02/2023,listingssummary,public,574310,http://data.insideairbnb.com/australia/wa/western-australia/2023-02-22/visualisations/listings.csv.gz
Western Australia,24/01/2023,listings,public,8070545,http://data.insideairbnb.com/australia/wa/western-australia/2023-01-24/data/listings.csv.gz
Western Australia,24/01/2023,calendar,public,11501654,http://data.insideairbnb.com/australia/wa/western-australia/2023-01-24/data/calendar.csv.gz
Western Australia,24/01/2023,reviews,public,49297805,http://data.insideairbnb.com/australia/wa/western-australia/2023-01-24/data/reviews.csv.gz
Western Australia,24/01/2023,listingssummary,public,583983,http://data.insideairbnb.com/australia/wa/western-australia/2023-01-24/visualisations/listings.csv.gz
Western Australia,27/12/2022,listings,public,7970626,http://data.insideairbnb.com/australia/wa/western-australia/2022-12-27/data/listings.csv.gz
Western Australia,27/12/2022,calendar,public,11421686,http://data.insideairbnb.com/australia/wa/western-australia/2022-12-27/data/calendar.csv.gz
Western Australia,27/12/2022,reviews,public,48197074,http://data.insideairbnb.com/australia/wa/western-australia/2022-12-27/data/reviews.csv.gz
Western Australia,27/12/2022,listingssummary,public,559423,http://data.insideairbnb.com/australia/wa/western-australia/2022-12-27/visualisations/listings.csv.gz
Western Australia,22/11/2022,listings,archived,7683482,https://s3.amazonaws.com/research.insideairbnb.com/data/australia/wa/western-australia/2022-11-22/data/listings.csv.gz?AWSAccessKeyId=AKIAJQ2BTK7Y7AUEG7AA&Signature=4RkzWvRquUwUhXvI4EUcltPx%2Ffo%3D&Expires=1702607504
Western Australia,22/11/2022,calendar,archived,11020235,https://s3.amazonaws.com/research.insideairbnb.com/data/australia/wa/western-australia/2022-11-22/data/calendar.csv.gz?AWSAccessKeyId=AKIAJQ2BTK7Y7AUEG7AA&Signature=lZkFfSsCbKnSQUzvLx53jHfVBiU%3D&Expires=1702607505
Western Australia,22/11/2022,reviews,archived,47117030,https://s3.amazonaws.com/research.insideairbnb.com/data/australia/wa/western-australia/2022-11-22/data/reviews.csv.gz?AWSAccessKeyId=AKIAJQ2BTK7Y7AUEG7AA&Signature=JTvY0wnXGxGFK6eKqM2N%2BejRxyo%3D&Expires=1702607505
