LGA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA50080,111,242,320,334,348,401,430,256,71,2515,67,292,457,423,449,493,348,138,72,2732,44,232,597,520,561,583,311,101,22,2966,7,92,382,395,480,409,165,34,16,1977,3,52,307,345,468,395,101,39,20,1736,0,14,206,229,313,258,105,28,10,1162,0,19,223,409,557,420,103,35,14,1776,0,3,44,62,93,77,23,0,5,311,0,4,45,99,145,139,60,21,8,523,152,139,414,339,350,335,347,293,225,2588,2404,1726,4150,4231,4976,5440,4990,2890,1164,31970
LGA50210,163,591,1031,895,664,587,433,242,67,4667,114,747,1459,1338,944,775,390,117,26,5919,68,572,1886,1827,1223,975,344,71,22,6974,27,313,1534,1512,1026,708,237,39,9,5396,8,154,1235,1457,972,672,165,43,3,4721,3,92,709,1069,724,505,91,22,3,3229,9,92,1097,1989,1321,881,140,15,3,5543,0,12,168,432,322,171,38,3,0,1143,0,10,158,428,368,207,50,30,9,1254,344,356,886,892,728,545,374,306,187,4612,5404,5350,14140,15526,11039,9336,7019,3289,1006,72096
LGA50250,3,17,32,42,24,15,4,5,0,133,11,24,43,48,24,30,10,0,0,195,14,34,74,68,38,36,11,0,0,278,11,32,85,50,54,39,9,0,0,283,0,24,93,76,53,42,8,0,0,296,7,21,84,99,63,51,7,0,0,329,8,52,337,338,255,181,23,0,0,1192,0,12,123,132,106,54,13,0,0,440,0,5,112,151,87,44,12,0,0,416,58,91,321,309,225,161,39,9,0,1214,258,381,1511,1494,1021,744,200,54,10,5670
LGA50280,23,60,175,206,173,208,167,58,20,1108,17,77,222,241,249,207,148,51,22,1223,3,44,233,334,307,228,130,38,10,1327,0,19,174,223,181,152,64,20,0,841,0,16,98,222,169,120,53,13,5,700,0,7,64,133,150,80,39,12,0,486,4,10,132,250,234,176,54,16,3,881,0,0,29,68,74,24,16,4,0,220,0,0,17,84,105,57,36,0,4,303,60,41,168,248,277,159,139,53,28,1186,806,467,1734,2673,2511,2214,1925,746,286,13368
LGA50350,17,88,136,124,110,120,119,71,20,806,24,112,184,165,157,146,87,28,13,915,11,96,278,246,204,212,93,30,8,1166,0,54,248,217,211,143,51,7,3,930,0,31,222,224,182,153,45,9,0,865,0,8,129,189,173,106,21,3,0,633,0,15,260,393,377,226,48,4,0,1325,0,0,56,99,67,44,7,0,0,271,0,0,46,112,114,66,10,4,0,361,30,65,165,139,136,107,92,78,39,854,736,867,2231,2389,2165,1971,1574,839,360,13129
LGA50420,74,454,757,651,479,476,493,268,106,3746,49,486,1174,776,672,614,421,168,53,4414,36,441,1512,1044,854,799,376,92,20,5185,12,287,1287,968,741,618,224,50,10,4188,4,125,1178,917,777,602,173,40,12,3828,0,63,810,799,653,414,146,20,3,2911,3,76,1354,1804,1302,814,207,25,4,5594,0,7,244,449,334,182,39,6,0,1260,0,13,215,579,492,250,59,15,4,1627,158,228,653,575,443,378,288,309,258,3285,3159,4175,11640,10678,8739,7799,6607,3832,1634,58257
LGA50490,58,318,574,426,235,239,219,105,55,2222,42,402,920,476,376,334,188,55,21,2831,31,371,1221,715,521,484,173,34,10,3566,5,194,943,633,442,374,106,30,9,2723,6,119,767,572,408,322,88,12,9,2299,3,42,486,440,326,207,54,12,3,1582,0,88,779,882,709,407,107,9,0,2986,0,6,151,213,193,99,21,0,0,692,5,11,139,280,214,123,36,16,5,819,130,265,692,540,378,323,232,218,218,2990,1827,3044,8528,6610,5019,4498,3282,1827,902,35533
LGA50560,3,8,5,15,5,11,26,13,0,84,3,0,15,18,15,15,15,6,5,94,3,0,13,13,23,20,24,3,3,103,0,5,13,15,13,26,13,4,0,79,0,0,9,13,8,12,11,3,0,60,0,0,0,0,11,11,5,0,0,31,0,0,12,16,22,21,12,0,0,88,0,0,0,3,10,4,8,0,0,20,0,0,0,4,8,6,6,4,3,24,12,12,17,19,31,32,38,17,14,195,75,47,124,161,220,292,349,165,58,1491
LGA50630,0,9,7,14,9,19,21,4,4,78,0,5,10,13,16,15,7,3,0,79,3,11,11,12,14,13,16,3,0,76,0,4,11,10,7,11,6,0,0,51,0,4,21,5,16,17,3,0,0,71,0,3,12,14,19,19,0,0,0,73,0,5,28,46,48,38,5,3,0,176,0,0,7,11,19,15,0,0,0,44,0,0,5,9,10,12,6,0,0,38,8,3,19,18,29,27,11,13,3,139,70,54,183,208,242,266,197,86,20,1333
LGA50770,3,5,7,8,13,19,25,9,4,99,0,7,11,28,25,28,11,12,0,130,0,10,7,15,31,23,17,5,3,111,0,3,11,18,16,17,8,7,0,83,0,5,12,20,10,13,3,3,0,74,0,0,17,5,20,11,9,3,0,64,0,0,0,22,21,11,4,0,0,68,0,0,9,8,0,8,0,0,0,21,0,0,0,5,10,6,0,0,0,25,9,7,13,26,31,37,25,22,7,188,72,75,129,220,243,295,245,158,35,1469
