LGA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA50080,2948,558,168,36,7,5,34,3757
LGA50210,10008,1698,547,124,31,13,74,12495
LGA50250,494,85,36,3,0,0,7,627
LGA50280,1453,289,57,9,5,0,9,1825
LGA50350,1473,237,64,14,4,0,3,1797
LGA50420,6610,841,174,54,12,0,26,7722
LGA50490,3396,462,106,39,11,0,26,4047
LGA50560,114,27,3,0,5,0,8,150
LGA50630,139,39,9,3,0,0,0,186
LGA50770,142,21,4,0,0,0,0,172
LGA50840,373,75,29,4,0,0,6,486
LGA50910,67,8,4,0,0,0,0,84
LGA50980,1264,221,72,26,12,6,34,1634
LGA51080,89,9,3,0,0,0,0,107
LGA51120,74,11,0,0,0,0,0,94
LGA51190,2179,460,145,24,8,0,18,2834
LGA51260,3306,768,185,27,13,0,25,4315
LGA51310,3657,338,67,10,0,0,11,4088
LGA51330,10977,1150,260,128,13,3,63,12600
LGA51400,1825,392,121,23,8,0,28,2395
LGA51470,37,4,4,0,0,0,0,45
LGA51540,301,55,25,11,4,0,6,408
LGA51610,146,26,4,0,0,0,0,179
LGA51680,548,129,49,10,3,0,5,738
LGA51710,133,11,4,0,0,0,0,149
LGA51750,1086,100,20,4,4,0,6,1210
LGA51820,12773,1995,493,116,16,7,73,15467
LGA51860,70,3,0,0,0,0,0,77
LGA51890,593,144,56,18,9,0,8,831
LGA51960,216,40,13,10,0,0,6,286
LGA52030,54,8,9,0,0,0,0,69
LGA52100,80,15,5,0,0,0,0,99
LGA52170,816,103,20,0,0,0,3,942
LGA52240,95,6,3,0,0,0,0,113
LGA52310,62,14,5,0,0,0,0,82
LGA52380,3,0,0,0,0,0,0,3
LGA52450,116,15,12,0,0,0,0,145
LGA52520,134,18,0,0,0,0,3,150
LGA52590,197,53,13,0,0,0,0,266
LGA52660,1333,289,97,17,7,0,16,1754
LGA52730,451,89,24,0,0,0,0,561
LGA52800,382,48,26,42,5,5,25,527
LGA52870,460,102,27,7,0,0,5,603
LGA52940,62,3,6,0,0,0,0,70
LGA53010,53,5,3,0,0,0,0,65
LGA53080,19,7,4,0,0,0,0,27
LGA53150,840,126,21,0,0,0,5,987
LGA53220,472,88,47,21,3,0,13,643
LGA53290,1086,175,69,14,4,0,7,1364
LGA53360,247,53,10,0,0,0,3,311
LGA53430,2615,367,68,18,0,0,9,3076
LGA53570,355,82,25,5,3,0,7,482
LGA53640,121,14,8,0,0,0,0,145
LGA53710,72,9,4,0,0,0,0,93
LGA53780,14012,1841,565,202,33,12,83,16749
LGA53800,2898,707,196,53,9,7,39,3905
LGA53920,215,26,19,23,8,3,15,294
LGA53990,2635,562,185,32,10,3,26,3449
LGA54060,238,52,18,3,0,0,5,316
LGA54130,99,9,7,0,0,0,4,123
LGA54170,18692,2802,634,110,20,6,75,22347
LGA54200,5946,1047,295,60,23,5,31,7406
LGA54280,2582,484,180,34,11,0,28,3319
LGA54310,2185,335,128,22,4,7,18,2696
LGA54340,310,36,15,3,0,0,6,373
LGA54410,74,12,9,0,0,0,0,92
LGA54480,65,0,0,0,0,0,0,69
LGA54550,176,21,6,0,0,0,3,206
LGA54620,57,9,3,0,0,0,0,71
LGA54690,27,0,5,0,0,0,0,35
LGA54760,73,11,4,0,0,0,0,84
LGA54830,4479,879,300,63,15,4,38,5783
LGA54900,132,6,4,0,0,0,0,146
LGA54970,21,4,0,3,0,0,6,35
LGA55040,62,16,3,5,0,0,0,85
LGA55110,6273,1936,492,72,25,7,81,8872
LGA55180,660,113,43,9,3,0,4,829
LGA55250,40,5,0,0,0,0,4,52
LGA55320,11785,1355,270,82,8,0,25,13519
LGA55390,6,0,0,0,0,0,0,11
LGA55460,238,39,15,8,0,0,3,293
LGA55530,40,3,0,0,0,0,0,47
LGA55600,165,28,4,3,0,0,0,205
LGA55670,44,10,0,0,0,0,0,56
LGA55740,974,106,19,0,0,0,3,1104
LGA55810,13,0,0,0,0,0,0,18
LGA55880,44,4,0,0,0,0,0,48
LGA55950,53,4,0,0,0,0,0,60
LGA56090,3602,781,187,47,8,0,40,4669
LGA56160,6,0,0,0,0,0,0,5
LGA56230,1285,390,118,20,4,5,44,1860
LGA56300,88,18,11,0,0,0,0,112
LGA56370,65,9,0,0,0,0,0,73
LGA56460,344,38,8,4,3,0,8,404
LGA56580,2828,259,56,15,0,0,0,3157
LGA56620,91,6,0,9,0,3,5,121
LGA56730,740,169,63,15,4,0,17,1004
LGA56790,174,48,7,4,0,0,3,237
LGA56860,19,0,0,0,0,0,0,21
LGA56930,184,15,6,0,0,0,0,197
LGA57000,29,6,0,0,0,0,0,38
LGA57080,1122,169,14,0,0,0,0,1313
LGA57140,69,14,3,0,0,0,0,83
LGA57210,382,79,18,8,0,0,13,500
LGA57280,1337,243,119,24,11,3,10,1747
LGA57350,42,11,0,0,0,0,0,59
LGA57420,150,18,9,0,0,0,0,181
