LGA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA50080,1028,127,1164,5643,2176,333,8152,21527,2294,31970
LGA50210,851,134,1006,18199,5083,803,24092,43761,4239,72096
LGA50250,3,0,10,1360,216,111,1685,2796,1187,5670
LGA50280,255,29,286,3049,814,203,4064,8143,1158,13368
LGA50350,320,30,360,2580,945,124,3648,8706,776,13129
LGA50420,1433,182,1634,10915,3707,361,14972,40297,2991,58257
LGA50490,761,135,902,6115,1942,184,8244,24529,2757,35533
LGA50560,47,7,58,177,85,17,281,1026,189,1491
LGA50630,14,3,20,283,76,12,365,834,131,1333
LGA50770,35,4,35,268,94,19,388,922,161,1469
LGA50840,89,13,104,744,253,27,1029,2979,358,4367
LGA50910,41,3,41,126,51,4,182,513,71,770
LGA50980,56,20,75,2550,797,199,3540,7321,2105,12969
LGA51080,13,0,13,145,41,9,192,522,105,816
LGA51120,19,9,26,138,41,6,182,484,137,798
LGA51190,809,148,968,4659,2122,271,7057,18037,2445,27536
LGA51260,936,103,1045,6556,2248,347,9154,21656,2210,33019
LGA51310,866,89,969,5433,1791,244,7464,14899,850,23216
LGA51330,1413,148,1591,16204,5209,477,21886,52661,3911,78459
LGA51400,113,20,136,3353,1011,193,4552,8778,815,14148
LGA51470,6,0,11,68,26,0,93,304,77,473
LGA51540,47,14,70,622,223,66,907,2627,742,4280
LGA51610,7,0,9,235,76,13,326,746,157,1226
LGA51680,62,14,77,893,361,53,1306,3081,433,4820
LGA51710,4,0,4,218,38,7,271,711,425,1406
LGA51750,463,55,529,1683,776,66,2525,6478,516,9513
LGA51820,1464,322,1811,21609,6875,937,29422,60837,4863,95118
LGA51860,6,0,11,69,31,4,105,270,89,467
LGA51890,123,52,183,1175,607,78,1865,4753,624,7239
LGA51960,17,6,14,453,154,27,634,1502,655,2789
LGA52030,13,10,23,120,56,3,179,606,141,922
LGA52100,37,6,42,140,50,8,199,574,60,833
LGA52170,170,47,219,1269,671,49,1986,4377,357,6722
LGA52240,9,0,15,163,41,11,215,570,97,882
LGA52310,13,0,12,112,42,3,153,531,70,756
LGA52380,0,0,0,9,0,0,10,165,34,209
LGA52450,27,4,27,216,76,6,301,642,93,1039
LGA52520,30,6,36,212,75,10,298,604,176,1081
LGA52590,51,12,65,388,151,16,552,2010,324,2885
LGA52660,263,89,347,2566,861,140,3570,7316,808,11691
LGA52730,130,22,155,906,325,68,1301,3428,490,5225
LGA52800,25,7,29,916,517,110,1542,2805,1113,5466
LGA52870,115,7,127,854,350,49,1248,3522,363,5132
LGA52940,12,0,10,101,58,8,165,348,47,557
LGA53010,6,0,0,108,38,5,152,292,101,540
LGA53080,4,0,3,47,13,0,60,410,131,600
LGA53150,212,40,254,1329,575,72,1975,4167,299,6439
LGA53220,9,0,13,1371,510,186,2071,3887,2228,8186
LGA53290,256,27,284,2031,738,127,2894,7022,1247,11164
LGA53360,14,3,16,479,107,33,616,1646,263,2523
LGA53430,728,112,849,4670,2033,254,6962,18500,1889,27353
LGA53570,79,6,88,668,343,25,1040,3323,416,4781
LGA53640,13,0,8,211,72,13,289,579,78,952
LGA53710,18,6,24,145,45,3,194,497,106,792
LGA53780,1561,284,1869,21949,6815,799,29565,63618,6928,100107
LGA53800,686,146,839,5807,2197,353,8355,19973,3299,31634
LGA53920,5,3,11,313,459,211,982,1303,403,2685
LGA53990,361,30,400,4914,1649,282,6850,14458,1299,22603
LGA54060,68,14,78,445,161,30,637,2119,367,3126
LGA54130,3,4,12,212,46,5,267,560,90,911
LGA54170,2512,244,2782,28457,12015,1287,41757,83522,4878,130156
LGA54200,1150,133,1292,10124,4012,451,14588,30430,2385,47399
LGA54280,168,31,202,4890,1209,236,6337,13753,2723,22815
LGA54310,10,4,12,4231,797,229,5258,8223,3077,16560
LGA54340,75,18,100,512,175,28,715,2212,345,3271
LGA54410,40,10,46,113,42,9,173,690,131,992
LGA54480,0,0,0,95,10,9,112,215,50,370
LGA54550,49,7,54,288,100,15,406,984,136,1532
LGA54620,19,8,18,119,51,10,173,444,81,702
LGA54690,6,0,6,60,18,0,85,202,12,302
LGA54760,9,0,11,126,45,4,185,352,70,605
LGA54830,382,35,416,8735,2247,391,11371,20821,3261,35457
LGA54900,11,5,13,228,62,4,291,643,76,1017
LGA54970,5,0,5,136,42,4,170,574,450,1197
LGA55040,3,0,3,193,56,15,262,598,460,1324
LGA55110,2271,416,2707,12850,5565,674,19085,50560,4978,74628
LGA55180,199,23,221,1171,398,65,1634,5341,640,7617
LGA55250,0,0,0,127,56,7,193,540,290,1028
LGA55320,2914,373,3336,17526,7459,679,25666,56298,3647,85614
LGA55390,0,0,0,45,18,0,65,271,162,492
LGA55460,61,5,65,438,158,24,623,1592,317,2528
LGA55530,6,4,9,55,19,0,77,199,58,331
LGA55600,45,14,57,284,131,11,427,1191,228,1851
LGA55670,12,8,18,76,26,8,108,305,98,506
LGA55740,168,41,211,1469,581,63,2108,5061,451,7622
LGA55810,0,0,9,53,17,0,69,219,247,531
LGA55880,13,0,16,64,29,3,98,247,39,385
LGA55950,4,4,11,90,25,3,127,275,51,459
LGA56090,614,146,775,5987,2668,336,8990,20137,3500,32630
LGA56160,0,0,0,17,4,5,22,47,6,72
LGA56230,330,72,409,2521,1094,152,3763,9800,1221,14791
LGA56300,27,3,30,157,72,3,236,931,170,1330
LGA56370,29,13,41,122,43,8,177,360,103,641
LGA56460,107,48,159,628,251,19,908,2596,454,3953
LGA56580,566,75,650,4071,1569,190,5830,11436,670,17937
LGA56620,0,0,3,194,252,69,515,395,152,1065
LGA56730,192,35,237,1443,604,79,2129,5914,1255,9299
LGA56790,76,9,86,350,160,16,527,1833,390,2744
LGA56860,3,0,4,24,19,0,41,127,51,217
LGA56930,44,3,41,243,121,0,360,908,59,1326
LGA57000,11,4,11,75,18,5,95,275,168,541
LGA57080,243,22,268,2305,980,46,3332,20386,2754,26472
LGA57140,19,5,23,132,61,3,199,615,59,866
LGA57210,84,37,117,669,272,49,986,2939,562,4488
LGA57280,25,7,33,2741,563,176,3479,6345,1980,11803
