LGA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA50080,4,0,0,0,0,0,0,0,0,55,3,67,0,0,0,3,0,0,0,3,0,40,0,46,0,5,0,0,0,0,0,6,0,12,0,24,0,0,0,0,0,3,0,11,0,13,0,27,0,8,0,0,0,0,0,7,3,98,0,121,0,4,0,0,0,3,0,9,5,67,0,97,5,9,3,6,3,10,0,48,5,492,10,598,11,26,4,9,0,28,0,71,5,248,6,411,16,53,6,19,0,51,3,72,4,211,0,430,35,60,7,67,8,37,4,64,8,195,3,477,22,26,3,64,5,36,7,27,7,55,0,252,56,27,9,82,4,40,3,20,4,68,0,309,166,44,10,156,15,65,17,32,8,57,0,559,160,17,9,112,16,20,12,10,3,27,0,386,81,15,7,64,11,24,3,10,9,17,0,239,57,6,0,27,6,14,6,4,0,12,0,130,95,19,3,57,9,26,3,7
LGA50210,0,0,0,0,0,4,0,3,0,179,7,192,0,0,0,0,0,0,0,6,0,55,0,63,0,0,0,0,0,0,0,10,3,32,0,50,0,0,0,0,0,0,0,9,0,32,0,40,0,6,0,0,0,3,0,28,4,149,0,194,0,7,0,0,0,0,0,33,3,93,0,140,0,12,0,5,0,25,0,71,5,671,8,804,8,25,0,15,0,41,0,94,10,333,4,527,4,47,0,29,4,141,5,70,7,289,0,598,34,55,9,101,3,117,10,69,11,239,8,648,52,38,5,118,8,100,3,43,10,51,0,421,106,35,3,149,11,99,3,29,10,61,0,509,428,41,11,287,35,184,13,34,11,57,0,1097,384,24,13,231,35,46,7,21,3,33,0,803,330,10,11,134,25,57,11,6,6,12,0,611,239,13,7,55,18,14,3,3,0,4,0,351,314,10,8,91,25,63,8,18
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,9,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,3,0,0,0,0,0,8,3,0,0,3,0,4,0,0,0,0,0,10,10,0,0,9,5,12,0,0,3,0,0,42,19,0,0,7,0,0,0,0,0,0,0,38,35,0,6,4,0,9,0,0,0,0,0,53,32,0,0,9,0,3,3,0,0,0,0,52,81,0,4,14,17,9,0,0
LGA50280,4,0,0,0,0,0,0,0,0,17,0,24,0,3,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,3,0,0,0,9,0,35,0,52,0,0,0,0,0,0,3,5,0,22,0,39,3,4,0,0,0,0,0,10,5,115,0,149,5,13,0,3,0,5,0,23,3,80,0,135,6,16,0,10,0,14,4,25,8,71,0,155,14,35,4,37,3,12,3,17,0,70,0,199,14,11,7,30,0,13,0,7,0,21,0,102,13,12,0,39,3,13,5,15,0,33,0,138,65,25,0,70,11,19,4,7,3,26,0,242,54,11,0,51,5,11,3,0,0,13,0,157,34,11,0,27,5,8,0,0,3,13,0,98,24,3,0,10,0,4,0,0,0,3,0,52,35,12,5,21,0,10,3,6
LGA50350,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,8,0,23,4,31,0,0,0,4,0,3,0,4,0,23,0,29,0,5,0,0,0,0,0,16,0,144,0,159,0,3,0,0,0,5,0,22,0,57,0,89,0,4,0,4,3,23,0,15,3,60,0,113,10,15,0,15,4,28,0,11,0,45,0,121,5,6,0,20,0,14,0,9,7,13,0,70,13,3,0,16,0,16,0,3,6,12,0,74,74,3,0,56,3,39,0,12,0,21,0,210,86,4,0,50,7,12,4,3,4,3,0,171,68,5,0,29,7,6,5,0,0,0,0,130,66,0,0,16,5,4,0,0,0,3,0,95,108,5,0,40,4,22,5,0
LGA50420,0,0,0,0,0,0,0,3,0,156,3,159,0,0,0,0,0,0,0,4,0,49,0,57,0,4,0,0,0,0,0,6,3,12,0,25,0,0,0,0,0,0,0,3,0,22,0,33,0,0,0,0,0,6,0,16,3,162,4,194,0,5,0,0,0,10,0,28,4,84,4,143,0,7,0,4,0,23,0,66,3,617,8,735,0,25,0,8,0,40,3,71,3,297,7,457,3,55,4,26,0,67,0,60,0,248,4,475,30,70,0,97,0,82,0,67,9,219,7,588,18,43,0,103,6,72,0,37,5,44,0,331,61,38,0,133,3,69,9,23,3,65,0,400,346,50,5,236,28,120,8,35,10,64,3,899,345,32,11,195,15,56,5,16,3,38,0,722,344,9,6,164,10,43,3,6,7,18,4,609,288,13,3,79,19,7,3,3,0,10,0,424,593,16,10,149,48,64,6,13
LGA50490,0,0,0,0,0,0,0,4,0,77,3,89,0,0,0,0,0,0,0,5,0,18,0,23,0,0,0,0,0,0,0,5,0,9,0,12,0,0,0,0,0,0,0,6,0,13,0,22,0,4,0,0,0,0,0,12,0,60,0,74,0,0,0,3,0,0,0,20,0,33,0,57,0,12,0,0,0,12,0,27,3,267,10,328,0,13,0,0,0,30,5,44,7,138,0,234,0,41,0,13,0,50,0,37,9,87,4,243,26,36,3,69,3,54,8,26,3,96,3,332,19,29,0,80,0,62,0,11,5,20,0,230,48,28,3,103,5,50,8,12,3,31,0,286,284,35,4,173,17,83,12,20,5,28,0,661,238,11,8,122,9,34,4,16,0,13,0,464,213,13,5,56,10,26,0,7,0,6,0,331,152,9,0,31,5,7,5,4,0,5,0,225,253,10,3,55,18,48,3,14
LGA50560,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,3,0,9,0,7,0,0,0,0,0,3,0,34,0,46,0,0,0,0,0,4,0,9,3,11,0,22,0,0,0,0,0,3,0,6,0,5,0,21,0,0,0,4,5,0,0,0,4,14,0,26,0,0,0,3,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,5,0,12,5,3,0,9,0,4,0,0,0,0,0,25,6,0,4,5,0,0,0,0,0,5,0,18,4,0,0,0,0,3,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,3,0,0
LGA50630,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,4,0,0,0,4,0,11,0,0,0,3,0,5,0,0,0,7,0,15,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,4,0,0,0,13,3,0,0,0,0,11,0,0,3,0,0,23,0,0,0,8,3,0,4,0,0,0,0,13,4,0,0,4,3,0,0,0,0,0,0,9,3,0,0,3,0,0,0,0,0,0,0,12,9,4,0,0,0,0,0,0
LGA50770,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,0,0,0,0,3,0,15,0,24,3,3,0,0,0,6,0,0,0,8,0,20,3,0,0,5,0,8,0,0,0,7,0,22,6,0,0,12,0,4,0,7,0,7,0,31,0,0,0,3,0,0,0,0,0,3,0,13,4,4,0,3,0,0,0,5,0,0,0,11,11,3,0,6,5,0,0,0,0,0,0,36,0,0,0,3,0,0,0,0,5,6,0,10,3,0,0,5,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,11,5,0,0,3,0,0,0,0
