LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA50080,0,19,0,19,..,56,4,61,0,61,..,8,0,6,0,6,..,34,0,39,0,39,..,465,136,594,0,597,..,2119,248,2373,14,2387,..,92,8,103,2235,2339,34040,2210,262,2468,2252,38763
LGA50210,114,1286,13,1299,..,246,33,280,0,281,..,47,4,53,0,53,..,120,32,153,3,158,..,3781,590,4373,91,4465,..,19708,2193,21902,309,22213,..,442,83,524,4528,5049,66921,20153,2276,22423,4842,94184
LGA50250,0,11,0,11,..,38,5,44,0,50,..,0,0,0,0,0,..,8,0,6,0,6,..,293,18,309,10,318,..,748,44,794,14,811,..,33,0,35,1384,1419,5167,783,43,833,1395,7391
LGA50280,0,0,0,0,..,32,11,33,0,33,..,0,0,0,0,0,..,17,9,28,0,28,..,145,70,216,3,215,..,1088,147,1228,20,1250,..,52,3,57,1326,1380,14155,1134,145,1283,1349,16791
LGA50350,0,29,0,29,..,38,11,47,0,47,..,4,0,5,0,5,..,124,47,170,0,173,..,363,43,405,11,415,..,1908,276,2186,37,2220,..,56,3,61,794,857,12856,1966,284,2247,830,15932
LGA50420,3,210,3,213,..,215,33,246,5,252,..,66,21,94,0,94,..,1718,745,2463,16,2476,..,2156,302,2460,44,2504,..,15639,3003,18640,199,18844,..,331,53,384,2794,3178,47267,15975,3052,19027,2990,69283
LGA50490,7,106,0,105,..,175,53,227,4,231,..,84,28,107,0,107,..,379,95,473,9,480,..,1906,304,2212,51,2263,..,11211,1715,12926,174,13101,..,239,40,278,2751,3034,26130,11448,1749,13199,2928,42257
LGA50560,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,0,0,0,..,5,0,7,0,7,..,47,3,55,0,55,..,4,0,3,193,200,1442,55,10,55,193,1694
LGA50630,0,4,0,4,..,3,0,3,4,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,11,..,64,6,73,6,76,..,5,0,5,148,148,1475,67,6,74,148,1705
LGA50770,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,13,0,12,0,12,..,39,3,40,0,40,..,5,0,5,190,190,1598,43,3,45,190,1834
