"Table_Number","Year","Measure","Indigenous_Status","Remoteness","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","Public housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","951.9","654.1","479.2","469.2","324.7","49.2","164.6","97.5","","3190.4"
"18A.1","2021-22","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","49.5","..","41.2","..","20.4","1.6","..","88.0","","200.6"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1465.1","862.8","686.2","581.1","434.9","146.4","175.1","254.2","","4606.0"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Capital expenditure","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","605.4","1133.8","314.6","259.1","89.8","97.0","-32.0","220.1","","2687.7"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Total","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2070.5","1996.6","1000.8","840.2","524.7","243.5","143.1","474.3","","7293.7"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","180.98","131.53","130.33","210.37","240.76","257.00","386.36","1019.65","","178.76"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","Public housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","994.0","622.9","466.5","477.2","340.9","59.8","138.7","93.7","","3193.7"
"18A.1","2020-21","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","48.5","..","40.5","..","14.5","1.4","..","86.8","","191.8"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1424.5","912.3","660.0","602.6","447.8","172.3","144.7","218.9","","4583.0"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Capital expenditure","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","579.3","661.2","327.2","56.5","141.1","78.0","21.6","239.5","","2104.3"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Total","","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2003.8","1573.4","987.2","659.1","588.9","250.3","166.3","458.4","","6687.4"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","174.30","136.94","127.05","225.68","252.88","318.10","335.41","887.74","","178.37"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","Public housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","985.7","515.9","505.7","508.0","396.8","63.6","144.3","92.9","","3212.9"
"18A.1","2019-20","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","50.6","..","45.5","..","22.0","1.6","..","86.3","","206.0"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2021-22 dollars","State and Territory Government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1355.6","696.8","719.7","667.6","516.1","151.7","148.9","182.1","","4438.5"
