Month,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
JUN23,Female,Accommodation,Accommodation,7602.0,9040.0,5821.0,1894.0,2938.0,1009.0,720.0,674.0,29641.0
JUN23,Female,Accommodation,Housing crisis (e.g. eviction),5145.0,5838.0,3832.0,1054.0,2088.0,601.0,429.0,231.0,19188.0
JUN23,Female,Accommodation,Inadequate or inappropriate dwelling conditions,2759.0,4519.0,2798.0,1040.0,726.0,533.0,393.0,460.0,13221.0
JUN23,Female,Accommodation,Previous accommodation ended,1992.0,2575.0,1716.0,581.0,287.0,404.0,196.0,89.0,7834.0
JUN23,Female,Financial,Financial,6964.0,9402.0,5459.0,2049.0,952.0,668.0,694.0,392.0,26539.0
JUN23,Female,Interpersonal,Interpersonal Relationships,7521.0,11557.0,4361.0,3236.0,1655.0,715.0,640.0,1027.0,30670.0
JUN23,Female,Interpersonal,Time out from family/other situation,1297.0,1282.0,823.0,501.0,61.0,189.0,163.0,184.0,4499.0
JUN23,Female,Interpersonal,Relationship/family breakdown,3365.0,3393.0,1872.0,1088.0,510.0,407.0,426.0,175.0,11227.0
JUN23,Female,Interpersonal,Family and domestic violence,5519.0,9770.0,3132.0,2662.0,1171.0,383.0,456.0,871.0,23936.0
JUN23,Female,Interpersonal,Non-family violence,302.0,360.0,181.0,95.0,26.0,71.0,31.0,20.0,1086.0
JUN23,Female,Health,Health,3396.0,4075.0,1912.0,1160.0,937.0,454.0,396.0,191.0,12513.0
JUN23,Female,Health,Mental health issues,2865.0,3193.0,1372.0,810.0,723.0,374.0,303.0,51.0,9686.0
JUN23,Female,Health,Medical issues,908.0,1397.0,840.0,386.0,298.0,184.0,116.0,64.0,4192.0
JUN23,Female,Health,Problematic drug or substance use,620.0,934.0,257.0,234.0,131.0,39.0,102.0,42.0,2357.0
JUN23,Female,Health,Problematic alcohol use,209.0,245.0,134.0,136.0,66.0,22.0,37.0,86.0,934.0
JUN23,Female,Other,Other,3795.0,4755.0,2892.0,1691.0,857.0,520.0,397.0,478.0,15371.0
JUN23,Female,COVID,COVID-19,50.0,304.0,14.0,3.0,4.0,0.0,12.0,1.0,388.0
JUN23,Female,Not stated,Not stated,142.0,114.0,64.0,14.0,0.0,14.0,2.0,156.0,506.0
JUN23,Female,Total,Total Clients,14211.0,19467.0,9726.0,4932.0,4270.0,1406.0,1115.0,2000.0,57000.0
JUN23,Male,Accommodation,Accommodation,5316.0,7372.0,4148.0,1376.0,2207.0,860.0,477.0,456.0,22167.0
JUN23,Male,Accommodation,Housing crisis (e.g. eviction),3547.0,4645.0,2631.0,726.0,1615.0,418.0,296.0,109.0,13966.0
JUN23,Male,Accommodation,Inadequate or inappropriate dwelling conditions,1939.0,3953.0,2030.0,857.0,559.0,462.0,267.0,330.0,10391.0
JUN23,Male,Accommodation,Previous accommodation ended,1351.0,2155.0,1180.0,412.0,190.0,366.0,132.0,86.0,5869.0
JUN23,Male,Financial,Financial,4725.0,6940.0,3620.0,1305.0,742.0,548.0,454.0,369.0,18684.0
JUN23,Male,Interpersonal,Interpersonal Relationships,3315.0,4755.0,1841.0,1082.0,513.0,382.0,300.0,322.0,12503.0
JUN23,Male,Interpersonal,Time out from family/other situation,702.0,860.0,428.0,229.0,36.0,148.0,70.0,81.0,2554.0
JUN23,Male,Interpersonal,Relationship/family breakdown,1795.0,1929.0,879.0,447.0,219.0,249.0,223.0,58.0,5795.0
JUN23,Male,Interpersonal,Family and domestic violence,1907.0,3235.0,1057.0,693.0,280.0,91.0,143.0,222.0,7628.0
JUN23,Male,Interpersonal,Non-family violence,163.0,241.0,85.0,32.0,9.0,34.0,20.0,8.0,592.0
JUN23,Male,Health,Health,2300.0,3405.0,1318.0,713.0,697.0,417.0,263.0,168.0,9273.0
JUN23,Male,Health,Mental health issues,1774.0,2419.0,826.0,445.0,471.0,293.0,187.0,51.0,6462.0
JUN23,Male,Health,Medical issues,709.0,1163.0,600.0,296.0,263.0,157.0,83.0,76.0,3345.0
JUN23,Male,Health,Problematic drug or substance use,617.0,1205.0,223.0,169.0,186.0,82.0,79.0,30.0,2588.0
JUN23,Male,Health,Problematic alcohol use,287.0,412.0,153.0,128.0,81.0,52.0,30.0,64.0,1206.0
JUN23,Male,Other,Other,2885.0,4300.0,1988.0,1139.0,665.0,454.0,354.0,306.0,12079.0
JUN23,Male,COVID,COVID-19,22.0,370.0,12.0,1.0,1.0,0.0,2.0,2.0,410.0
JUN23,Male,Not stated,Not stated,124.0,119.0,57.0,11.0,0.0,17.0,2.0,209.0,537.0
JUN23,Male,Total,Total Clients,9415.0,13157.0,6495.0,2633.0,2905.0,1161.0,811.0,1162.0,37664.0
JUN23,Total,Accommodation,Accommodation,12918.0,16412.0,9969.0,3270.0,5145.0,1869.0,1197.0,1130.0,51808.0
JUN23,Total,Accommodation,Housing crisis (e.g. eviction),8692.0,10483.0,6463.0,1780.0,3703.0,1019.0,725.0,340.0,33154.0
JUN23,Total,Accommodation,Inadequate or inappropriate dwelling conditions,4698.0,8472.0,4828.0,1897.0,1285.0,995.0,660.0,790.0,23612.0
JUN23,Total,Accommodation,Previous accommodation ended,3343.0,4730.0,2896.0,993.0,477.0,770.0,328.0,175.0,13703.0
JUN23,Total,Financial,Financial,11689.0,16342.0,9079.0,3354.0,1694.0,1216.0,1148.0,761.0,45223.0
JUN23,Total,Interpersonal,Interpersonal Relationships,10836.0,16312.0,6202.0,4318.0,2168.0,1097.0,940.0,1349.0,43173.0
JUN23,Total,Interpersonal,Time out from family/other situation,1999.0,2142.0,1251.0,730.0,97.0,337.0,233.0,265.0,7053.0
JUN23,Total,Interpersonal,Relationship/family breakdown,5160.0,5322.0,2751.0,1535.0,729.0,656.0,649.0,233.0,17022.0
JUN23,Total,Interpersonal,Sexual abuse,329.0,567.0,196.0,224.0,72.0,33.0,30.0,28.0,1479.0
JUN23,Total,Interpersonal,Family and domestic violence,7426.0,13005.0,4189.0,3355.0,1451.0,474.0,599.0,1093.0,31564.0
JUN23,Total,Interpersonal,Non-family violence,465.0,601.0,266.0,127.0,35.0,105.0,51.0,28.0,1678.0
JUN23,Total,Health,Health,5696.0,7480.0,3230.0,1873.0,1634.0,871.0,659.0,359.0,21786.0
JUN23,Total,Health,Mental health issues,4639.0,5612.0,2198.0,1255.0,1194.0,667.0,490.0,102.0,16148.0
JUN23,Total,Health,Medical issues,1617.0,2560.0,1440.0,682.0,561.0,341.0,199.0,140.0,7537.0
JUN23,Total,Health,Problematic drug or substance use,1237.0,2139.0,480.0,403.0,317.0,121.0,181.0,72.0,4945.0
JUN23,Total,Health,Problematic alcohol use,496.0,657.0,287.0,264.0,147.0,74.0,67.0,150.0,2140.0
JUN23,Total,Other,Other,6680.0,9055.0,4880.0,2830.0,1522.0,974.0,751.0,784.0,27450.0
JUN23,Total,COVID,COVID-19,72.0,674.0,26.0,4.0,5.0,0.0,14.0,3.0,798.0
JUN23,Total,Not stated,Not stated,266.0,233.0,121.0,25.0,0.0,31.0,4.0,365.0,1043.0
JUN23,Total,Total,Total Clients,23626.0,32624.0,16221.0,7565.0,7175.0,2567.0,1926.0,3162.0,94664.0
MAY23,Female,Accommodation,Accommodation,7714.0,9191.0,5878.0,1901.0,2973.0,1009.0,718.0,679.0,30007.0
MAY23,Female,Accommodation,Housing crisis (e.g. eviction),5237.0,5938.0,3897.0,1033.0,2091.0,602.0,437.0,228.0,19439.0
MAY23,Female,Accommodation,Inadequate or inappropriate dwelling conditions,2806.0,4588.0,2791.0,1037.0,753.0,513.0,384.0,472.0,13327.0
MAY23,Female,Accommodation,Previous accommodation ended,2006.0,2615.0,1802.0,575.0,295.0,397.0,198.0,83.0,7969.0
MAY23,Female,Financial,Financial,7145.0,9494.0,5579.0,2011.0,980.0,670.0,683.0,377.0,26897.0
MAY23,Female,Interpersonal,Interpersonal Relationships,7828.0,11770.0,4401.0,3196.0,1697.0,739.0,650.0,1010.0,31239.0
MAY23,Female,Interpersonal,Time out from family/other situation,1368.0,1311.0,846.0,534.0,58.0,211.0,160.0,179.0,4664.0
MAY23,Female,Interpersonal,Relationship/family breakdown,3539.0,3497.0,1904.0,1056.0,511.0,422.0,423.0,152.0,11498.0
MAY23,Female,Interpersonal,Family and domestic violence,5731.0,9891.0,3115.0,2603.0,1219.0,388.0,475.0,858.0,24244.0
MAY23,Female,Interpersonal,Non-family violence,325.0,370.0,177.0,98.0,25.0,72.0,38.0,15.0,1119.0
MAY23,Female,Health,Health,3449.0,4128.0,1954.0,1176.0,942.0,449.0,405.0,161.0,12659.0
MAY23,Female,Health,Mental health issues,2900.0,3253.0,1413.0,809.0,732.0,379.0,305.0,57.0,9844.0
MAY23,Female,Health,Medical issues,932.0,1421.0,846.0,394.0,312.0,172.0,130.0,64.0,4271.0
MAY23,Female,Health,Problematic drug or substance use,643.0,923.0,268.0,242.0,119.0,38.0,98.0,37.0,2367.0
MAY23,Female,Health,Problematic alcohol use,232.0,246.0,142.0,160.0,59.0,16.0,32.0,48.0,934.0
MAY23,Female,Other,Other,3937.0,4924.0,3077.0,1680.0,886.0,539.0,411.0,488.0,15927.0
MAY23,Female,COVID,COVID-19,42.0,314.0,13.0,3.0,4.0,0.0,16.0,1.0,393.0
MAY23,Female,Not stated,Not stated,117.0,108.0,32.0,9.0,0.0,10.0,2.0,191.0,468.0
MAY23,Female,Total,Total Clients,14535.0,19835.0,9859.0,4903.0,4351.0,1449.0,1134.0,2019.0,57949.0
MAY23,Male,Accommodation,Accommodation,5363.0,7595.0,4275.0,1301.0,2160.0,854.0,473.0,480.0,22461.0
MAY23,Male,Accommodation,Housing crisis (e.g. eviction),3603.0,4819.0,2724.0,693.0,1565.0,422.0,291.0,122.0,14219.0
MAY23,Male,Accommodation,Inadequate or inappropriate dwelling conditions,1922.0,4068.0,2080.0,783.0,547.0,453.0,270.0,345.0,10454.0
MAY23,Male,Accommodation,Previous accommodation ended,1377.0,2216.0,1273.0,391.0,201.0,363.0,143.0,87.0,6046.0
MAY23,Male,Financial,Financial,4740.0,7168.0,3811.0,1267.0,792.0,537.0,454.0,376.0,19123.0
MAY23,Male,Interpersonal,Interpersonal Relationships,3382.0,4917.0,1951.0,1021.0,536.0,380.0,306.0,315.0,12800.0
MAY23,Male,Interpersonal,Time out from family/other situation,722.0,912.0,448.0,215.0,29.0,152.0,71.0,86.0,2635.0
MAY23,Male,Interpersonal,Relationship/family breakdown,1856.0,2058.0,949.0,416.0,220.0,247.0,230.0,63.0,6035.0
MAY23,Male,Interpersonal,Family and domestic violence,1948.0,3293.0,1102.0,640.0,313.0,101.0,149.0,217.0,7761.0
MAY23,Male,Interpersonal,Non-family violence,170.0,269.0,81.0,37.0,11.0,30.0,22.0,4.0,624.0
MAY23,Male,Health,Health,2338.0,3490.0,1368.0,701.0,711.0,390.0,272.0,172.0,9429.0
MAY23,Male,Health,Mental health issues,1790.0,2446.0,860.0,412.0,480.0,266.0,195.0,52.0,6493.0
MAY23,Male,Health,Medical issues,714.0,1213.0,595.0,299.0,274.0,147.0,91.0,78.0,3410.0
MAY23,Male,Health,Problematic drug or substance use,626.0,1247.0,245.0,162.0,186.0,77.0,79.0,28.0,2648.0
MAY23,Male,Health,Problematic alcohol use,293.0,424.0,164.0,126.0,85.0,52.0,32.0,64.0,1240.0
MAY23,Male,Other,Other,2904.0,4496.0,2083.0,1078.0,711.0,471.0,363.0,318.0,12409.0
MAY23,Male,COVID,COVID-19,22.0,388.0,9.0,4.0,0.0,0.0,6.0,3.0,432.0
MAY23,Male,Not stated,Not stated,128.0,94.0,34.0,7.0,0.0,15.0,2.0,209.0,489.0
MAY23,Male,Total,Total Clients,9501.0,13404.0,6669.0,2574.0,2896.0,1171.0,813.0,1167.0,38117.0
MAY23,Total,Accommodation,Accommodation,13077.0,16786.0,10153.0,3202.0,5133.0,1863.0,1191.0,1159.0,52468.0
MAY23,Total,Accommodation,Housing crisis (e.g. eviction),8840.0,10757.0,6621.0,1726.0,3656.0,1024.0,728.0,350.0,33658.0
MAY23,Total,Accommodation,Inadequate or inappropriate dwelling conditions,4728.0,8656.0,4871.0,1820.0,1300.0,966.0,654.0,817.0,23781.0
MAY23,Total,Accommodation,Previous accommodation ended,3383.0,4831.0,3075.0,966.0,496.0,760.0,341.0,170.0,14015.0
MAY23,Total,Financial,Financial,11885.0,16662.0,9390.0,3278.0,1772.0,1207.0,1137.0,753.0,46020.0
MAY23,Total,Interpersonal,Interpersonal Relationships,11210.0,16687.0,6352.0,4217.0,2233.0,1119.0,956.0,1325.0,44039.0
MAY23,Total,Interpersonal,Time out from family/other situation,2090.0,2223.0,1294.0,749.0,87.0,363.0,231.0,265.0,7299.0
