Table_Number,Year,Measure,Age,Indigenous_Status,Remoteness,Service_Type,Client_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
19A.1,2020-21,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,264.0,509.4,164.0,90.3,83.4,34.5,26.7,48.1,1220.3
19A.1,2020-21,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,32.3,76.46,31.56,33.83,47.07,63.71,61.97,194.91,47.49
19A.1,2020-21,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and Territory governments (unpublished),%,96.3,99.1,97.0,98.0,85.9,96.4,97.2,89.6,96.8
19A.1,2020-21,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and Territory governments (unpublished),%,3.7,0.9,3.0,2.0,14.1,3.6,2.8,10.4,3.2
19A.1,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,262.7,388.8,162.5,84.4,72.3,34.9,26.1,40.3,1072.0
19A.1,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,32.32,58.46,31.68,31.98,41.11,64.91,60.97,164.57,42.0
19A.1,2019-20,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and Territory governments (unpublished),%,97.0,99.1,96.8,98.3,94.8,96.8,97.6,96.8,97.7
19A.1,2019-20,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and Territory governments (unpublished),%,3.0,0.9,3.2,1.7,5.2,3.2,2.4,3.2,2.3
19A.1,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,248.6,355.1,149.1,80.2,71.7,32.7,25.1,38.7,1001.3
19A.1,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,30.9,54.41,29.52,30.77,41.14,61.57,59.28,157.39,39.76
19A.1,2018-19,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and Territory governments (unpublished),%,96.8,99.0,96.6,98.0,94.8,96.6,97.5,97.8,97.6
19A.1,2018-19,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and Territory governments (unpublished),%,3.2,1.0,3.4,2.0,5.2,3.4,2.5,2.2,2.4
19A.1,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,234.5,329.9,141.9,81.1,72.1,32.1,22.9,39.7,954.1
19A.1,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,29.62,51.66,28.59,31.36,41.7,61.09,55.07,160.83,38.52
19A.1,2017-18,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and Territory governments (unpublished),%,97.0,99.0,96.6,97.9,95.6,96.6,97.3,97.6,97.6
19A.1,2017-18,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and Territory governments (unpublished),%,3.0,1.0,3.4,2.1,4.4,3.4,2.7,2.4,2.4
19A.1,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,219.3,294.0,136.3,80.6,70.9,27.4,22.2,37.1,887.8
19A.1,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,State and Territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,28.12,47.09,27.91,31.39,41.29,52.7,54.58,151.37,36.41
19A.1,2016-17,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and Territory governments (unpublished),%,97.8,98.9,96.6,97.8,95.6,98.1,97.0,96.3,97.7
19A.1,2016-17,Recurrent expenditure,All ages,All people,All areas,,,,State and Territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and Territory governments (unpublished),%,2.2,1.1,3.4,2.2,4.4,1.9,3.0,3.7,2.3
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,rate,3.5,1.9,3.7,4.4,2.3,2.7,1.4,47.9,3.5
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.8,12.1,7.9,4.3,8.5,11.3,20.0,27.8,9.1
19A.2,2016,Rate of homeless people,All ages,All people,All areas,,,,Rate of homeless people,Per 10 000 population,Homelessness operational groups,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.2,5.2,10.2,7.9,7.9,9.4,6.9,18.1,7.6
