SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED50106,187,555,203,328,28,1433,197,128,813,467,754,78,2438,13,3,22,30,65,3,142,14,13,46,82,366,13,535,8,3,44,45,160,47,315,567,466,2539,1950,5702,413,11635
SED50202,121,412,187,396,29,1270,159,115,686,541,932,101,2529,3,0,36,29,80,3,157,14,6,61,102,473,28,679,21,8,74,97,391,139,730,675,359,2563,2397,6880,593,13473
SED50304,226,704,165,238,33,1658,527,175,1416,462,514,87,3174,23,16,124,64,77,9,313,40,19,168,147,368,45,781,90,23,203,116,212,89,738,2455,839,6753,2981,4564,633,18230
SED50405,214,671,255,533,48,1879,223,184,1078,700,977,87,3258,6,3,50,30,90,4,182,14,14,58,138,556,31,818,36,11,124,103,390,105,766,1019,648,4111,3395,9240,636,19047
SED50502,202,535,196,279,40,1430,237,140,801,441,639,60,2318,20,8,77,55,74,9,249,24,11,97,93,366,21,609,46,7,137,84,281,65,623,1175,642,4046,2291,5295,494,13938
SED50605,266,938,200,188,37,2100,594,235,1477,315,298,79,3001,25,8,100,35,52,3,232,51,13,155,78,212,14,524,92,17,303,77,151,82,725,2952,1038,7776,2163,2974,467,17374
SED50702,172,590,135,242,39,1436,332,152,1066,478,536,77,2644,28,7,132,86,174,17,450,35,12,167,123,361,22,734,68,8,190,136,235,147,784,1988,698,5994,3066,5683,727,18152
SED50805,355,1017,180,217,30,2271,485,237,1309,323,309,49,2711,28,16,119,49,53,6,276,39,17,127,94,211,5,496,52,25,174,89,144,53,537,2058,1093,6372,2154,3520,426,15622
SED50906,221,613,186,392,33,1577,258,141,1038,419,847,75,2773,3,5,28,21,69,4,134,31,14,75,78,410,14,621,15,4,55,54,233,75,439,737,539,3186,1954,6800,497,13713
SED51004,196,753,293,349,41,1836,241,146,1054,577,731,76,2828,7,3,72,37,87,9,217,18,8,106,148,477,22,790,39,16,114,105,312,76,668,1100,611,4451,3231,6969,569,16927
