SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED50106,17,200,1368,6100,4681,621,167,166,13322,8,248,426,232,35,7,4,35,989,0,15,46,28,10,0,0,5,103,6,262,474,263,44,7,4,35,1090,0,27,4,14,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,3,0,0,0,22,0,26,17,14,3,4,0,0,67,22,82,76,24,3,0,7,9,219,0,8,4,13,8,0,0,0,34,48,579,1935,6410,4744,628,170,212,14733
SED50202,15,73,547,7424,6346,746,142,233,15529,4,212,634,1568,58,7,3,70,2566,0,14,11,14,0,0,0,0,35,4,226,648,1581,58,7,3,70,2606,0,34,68,19,0,0,0,10,136,0,4,43,6,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,0,0,0,0,20,0,42,118,36,6,0,0,10,204,24,70,94,28,0,0,0,14,225,0,3,11,3,0,0,0,4,18,46,415,1413,9070,6410,758,143,330,18585
SED50304,8,60,513,4926,3554,550,82,111,9788,7,325,2669,3721,194,16,3,100,7029,0,72,350,486,124,0,0,14,1058,7,398,3023,4199,317,18,9,119,8084,0,318,663,43,8,0,0,8,1042,0,102,147,24,0,0,0,0,274,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,430,820,66,8,0,0,14,1331,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,14,11,884,4355,9193,3888,564,83,237,19217
SED50405,8,119,552,4626,11601,935,138,220,18201,0,14,188,300,20,0,0,10,531,0,8,37,56,0,0,0,0,106,0,29,222,354,20,0,0,11,636,0,15,35,0,0,0,0,0,50,0,25,86,0,0,0,0,3,110,0,3,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,41,130,0,0,0,0,5,173,9,34,47,0,3,0,0,5,89,0,0,4,3,0,0,0,0,15,14,217,952,4982,11635,933,138,236,19110
SED50502,12,74,699,5942,5929,717,113,167,13662,0,138,480,900,68,8,0,28,1629,0,19,57,141,15,4,0,7,243,9,156,540,1039,88,11,0,39,1874,0,36,124,94,0,0,0,5,261,0,18,43,0,0,0,0,0,63,0,15,34,6,0,0,0,0,53,0,0,0,0,0,0,0,0,0,3,8,12,0,0,0,0,0,23,6,79,210,96,4,0,0,7,398,0,3,0,0,0,0,0,0,5,0,0,3,4,0,0,0,4,17,16,309,1449,7089,6026,730,120,213,15952
SED50605,6,39,448,3603,6475,1569,300,79,12514,8,49,683,970,200,28,6,19,1959,0,4,105,389,194,31,0,3,732,8,57,785,1358,396,67,7,24,2700,0,21,164,54,0,0,0,5,249,0,30,78,13,0,0,0,3,122,0,76,179,132,5,0,0,8,400,0,48,104,19,0,0,0,4,177,0,0,3,0,0,0,0,0,13,6,177,535,217,8,0,0,10,953,0,0,0,0,0,0,0,0,3,0,0,5,4,4,0,0,3,15,13,270,1773,5181,6885,1634,311,118,16187
SED50702,12,192,1231,6192,4365,473,87,165,12713,6,259,576,1030,156,9,0,45,2080,6,138,533,599,185,6,0,27,1493,7,398,1108,1630,338,16,3,69,3573,3,151,319,101,0,0,0,41,609,3,150,361,67,0,0,0,9,587,0,222,290,65,3,0,0,8,590,0,303,635,288,19,0,3,8,1262,0,6,8,3,3,0,0,0,23,3,834,1610,524,26,4,3,57,3058,4,7,3,0,0,0,0,6,21,0,7,0,13,4,0,0,7,37,29,1427,3955,8359,4740,489,89,311,19404
SED50805,8,39,787,4527,3841,756,147,65,10163,4,74,1454,1361,143,19,5,38,3098,0,44,210,521,135,19,5,8,947,4,119,1666,1889,276,39,9,41,4050,3,123,196,31,5,0,0,7,356,0,106,253,38,0,0,0,3,405,0,37,124,43,5,0,0,0,209,0,0,30,4,0,0,0,0,33,0,0,7,3,5,0,0,0,15,12,263,603,119,14,0,0,10,1027,0,4,7,0,0,0,0,0,15,0,0,0,11,9,0,0,4,31,19,433,3070,6545,4148,799,157,121,15279
SED50906,9,76,710,5809,6243,634,84,177,13740,3,306,856,909,68,0,7,90,2236,0,15,89,278,43,3,0,5,433,3,321,942,1186,110,6,7,92,2667,4,124,185,67,0,0,0,13,397,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,0,0,0,0,0,0,0,0,5,3,139,275,111,7,0,0,12,553,9,39,42,9,0,0,0,14,116,0,4,7,13,7,0,0,8,33,24,579,1974,7135,6369,641,94,302,17111
SED51004,11,30,170,3384,9347,1143,137,132,14347,0,50,273,471,70,0,3,20,890,0,21,94,63,7,0,0,0,187,0,71,363,533,80,5,5,20,1075,0,19,9,34,0,0,0,0,69,0,35,120,47,0,0,0,6,210,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,13,0,61,138,79,3,0,0,4,287,0,0,0,3,0,0,0,0,9,0,0,0,4,5,0,0,0,3,11,159,675,4003,9432,1147,137,158,15728
