SED_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SED50106,3,0,6,0,10,0,0,0,10,0,0,7,3,0,0,7,8,0,0,0,8,0,0,11,533,82,21,9,647,0,3,10,655,35,0,682,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,8,0,0,7,8,0,0,0,9,0,0,0,9,0,0,6,539,82,21,7,656,0,3,10,663,29,0,695,61,14,6,3,80,4,0,4,86,8,0,96,0,0,0,0,0,0,0,0,0,0,0,0,603,96,24,13,738,4,3,12,747,46,0,794,28,3,0,0,32,0,0,0,30,5,0,35,24,0,0,0,30,0,0,0,30,3,0,34,5,0,3,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,59,5,4,0,67,0,0,0,74,4,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50202,15,0,3,0,22,0,0,0,22,0,0,22,7,0,0,4,13,0,0,0,13,0,0,13,435,59,14,4,517,8,6,8,527,39,0,562,10,0,0,0,11,3,0,3,20,5,0,16,13,3,0,0,19,0,0,0,20,0,0,19,29,4,0,0,26,3,0,0,35,4,0,39,457,66,14,4,545,12,3,18,561,42,0,599,170,27,4,0,205,3,0,3,207,44,0,250,0,0,0,0,0,0,0,0,0,0,0,0,629,85,21,10,754,18,3,18,768,83,0,852,68,15,0,0,87,0,0,0,87,4,0,88,72,17,0,0,87,0,0,0,87,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,4,0,0,4,141,33,5,7,181,0,0,5,181,10,0,189,9,0,0,0,9,0,0,0,9,0,0,5,8,0,0,0,8,0,0,0
SED50304,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,7,0,0,0,7,0,0,9,415,76,4,6,499,3,0,5,506,25,4,528,4,0,0,0,7,0,0,0,7,0,0,5,9,0,0,0,11,0,0,3,12,0,0,12,11,5,0,0,12,0,0,3,17,3,0,21,424,81,4,6,516,5,4,7,525,23,4,551,81,11,9,0,95,9,0,7,101,18,4,118,0,0,0,5,0,0,0,0,0,0,0,0,502,91,11,12,608,13,4,13,626,41,4,670,112,19,0,0,132,0,0,0,131,4,0,140,87,17,4,0,103,0,0,4,107,4,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,5,198,36,3,4,244,7,0,7,246,9,0,260,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,3,0,3
SED50405,17,6,9,0,27,0,0,0,27,0,0,31,8,0,0,0,6,0,0,0,10,0,0,7,843,66,26,7,936,18,0,18,956,39,0,992,12,0,0,0,12,0,0,0,15,0,0,15,24,3,0,0,25,0,0,0,28,0,0,28,34,3,0,0,36,0,0,4,43,0,0,43,873,71,26,7,977,18,0,21,998,39,0,1038,176,18,11,9,214,0,0,0,216,29,0,245,0,0,0,0,0,0,0,0,0,0,3,3,1050,93,40,10,1187,20,0,23,1208,70,8,1284,130,7,3,0,142,3,0,3,143,6,0,156,106,15,7,0,127,0,0,0,124,4,0,127,6,0,0,0,5,0,0,0,10,0,0,8,0,0,0,3,3,0,0,0,3,0,0,6,240,23,6,3,274,5,0,5,277,16,0,290,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0
SED50502,8,4,0,0,9,0,0,0,9,4,0,14,0,0,0,8,10,0,0,0,10,0,0,10,425,98,7,12,540,12,0,11,551,39,0,597,6,0,0,0,6,0,0,0,9,0,0,7,6,3,0,0,8,0,0,0,13,4,0,16,13,3,0,0,15,9,0,9,21,0,0,26,442,100,7,12,557,21,0,17,577,47,0,623,120,27,0,8,156,5,0,4,162,27,0,189,0,0,0,0,0,0,0,0,0,0,0,0,565,132,10,13,715,23,0,23,741,75,0,815,114,13,0,0,129,3,0,3,134,10,0,140,101,30,0,0,130,3,0,5,135,13,0,154,0,0,4,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,220,38,6,3,268,3,0,10,280,25,0,304,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0
SED50605,9,3,0,0,18,0,0,0,18,0,0,18,3,0,0,0,5,0,0,0,5,0,0,5,808,91,13,6,910,9,3,9,920,33,0,950,6,0,0,0,10,0,0,0,11,0,0,11,23,0,0,0,23,0,0,0,25,0,0,24,25,0,0,0,28,7,0,7,34,0,0,33,826,98,11,6,939,10,3,10,952,34,0,989,159,19,0,3,183,5,0,5,189,17,0,205,0,0,0,0,0,0,0,0,0,0,0,4,991,115,12,9,1125,10,3,13,1137,54,0,1195,213,20,4,0,240,3,3,8,253,3,0,255,262,36,3,0,301,4,0,9,304,17,0,320,9,0,0,0,9,0,0,0,9,3,0,10,0,0,0,0,0,0,0,0,3,0,0,3,482,56,8,3,554,8,3,11,565,28,0,587,6,0,0,0,6,0,0,0,6,0,0,6,5,0,0,0,8,0,0,0
SED50702,0,0,4,0,6,0,0,0,6,0,0,6,0,0,0,0,4,0,0,0,3,0,0,5,388,53,12,9,458,5,5,15,470,23,0,492,10,0,0,0,12,0,0,0,12,4,0,14,8,0,0,0,9,0,0,0,12,0,0,8,14,3,0,0,16,0,0,0,19,0,0,21,405,50,12,9,478,11,5,17,488,27,0,513,100,15,0,0,118,0,0,0,118,39,0,160,0,0,0,0,0,0,0,0,0,0,3,3,500,67,17,5,589,8,5,16,607,65,8,676,91,11,0,5,107,7,0,7,112,6,0,119,87,8,0,0,98,0,3,3,101,4,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,25,0,6,211,7,3,4,218,11,0,227,4,0,0,0,4,0,0,0,7,0,0,7,0,0,0,0,0,0,3,5
SED50805,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,3,0,0,0,3,0,0,3,726,68,19,0,811,8,0,7,822,27,0,850,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,6,3,0,6,728,68,19,0,818,8,0,11,826,28,0,860,126,4,5,0,132,0,0,0,135,12,0,149,5,0,0,0,5,0,0,0,5,0,0,5,856,76,23,0,954,10,0,8,962,45,0,1006,168,17,4,0,185,0,0,0,187,6,0,193,194,26,4,0,225,7,0,7,229,8,0,239,3,0,3,0,14,0,0,0,14,0,0,11,0,0,0,0,4,0,0,0,4,0,0,4,370,38,15,0,420,7,0,7,430,19,0,443,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0
SED50906,8,0,4,0,12,0,0,0,12,0,0,12,0,0,0,4,7,0,0,0,7,0,0,9,665,73,31,8,772,15,0,15,782,24,0,811,0,0,0,0,0,4,0,4,5,0,0,5,4,0,0,0,9,4,0,4,13,0,0,13,9,0,0,0,13,7,0,7,18,0,0,18,670,70,34,8,785,22,0,22,803,24,0,829,86,8,0,0,100,0,0,0,95,15,0,112,0,0,0,0,0,0,0,0,0,0,0,0,751,78,40,8,879,24,0,24,901,41,0,938,39,5,3,0,45,0,0,0,45,0,0,45,37,0,0,0,37,0,0,0,37,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3,3,0,84,0,0,0,84,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED51004,13,3,0,0,16,0,0,0,16,0,0,16,4,0,0,12,17,4,0,4,17,0,0,20,840,89,25,16,972,18,4,20,989,29,5,1029,14,0,0,0,13,0,0,0,13,0,0,10,15,0,0,0,14,0,0,0,20,0,0,20,30,3,0,0,30,0,0,0,28,0,0,31,867,93,25,16,1001,15,4,23,1020,27,5,1054,109,5,3,4,124,9,0,4,127,20,0,147,0,0,0,0,3,0,0,0,3,0,0,5,975,98,34,17,1123,23,6,25,1156,46,8,1209,156,13,0,3,176,0,0,0,175,9,0,186,188,22,11,0,216,0,0,3,219,3,0,223,10,0,3,0,12,0,0,0,12,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,348,35,12,4,404,0,4,3,406,6,0,420,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,8,0,0,0
