SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED50106,0,16,8,5,3,0,34,0,23,5,6,3,0,37,14,189,42,54,15,7,316,13,107,83,82,45,5,335,51,49,20,98,26,0,242,119,78,53,144,32,0,427,547,79,28,371,56,7,1081,657,18,12,219,34,0,939,137,6,0,45,8,0,197,23,0,0,8,0,0,30,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,40,17,45,22,5,144,1582,596,263,1089,235,28,3798
SED50202,0,23,3,8,6,4,42,0,27,9,12,0,0,41,24,197,21,33,5,0,278,60,111,57,60,27,4,326,181,64,8,108,24,0,383,620,77,13,269,29,3,1014,1288,43,9,484,58,6,1884,653,9,18,252,48,0,978,66,3,5,41,3,0,121,10,0,0,7,0,0,16,3,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54,43,9,58,15,10,184,2968,597,147,1332,218,36,5297
SED50304,9,30,0,3,0,0,51,0,57,3,7,0,0,65,17,309,25,57,5,0,409,69,135,60,74,12,5,345,140,42,6,99,14,3,304,452,57,14,210,28,0,759,1392,38,9,546,62,12,2067,1490,18,14,482,63,3,2077,418,0,0,126,16,4,563,121,0,0,27,6,0,151,55,3,0,17,5,0,75,30,0,0,0,0,0,27,7,0,0,6,0,0,11,8,0,0,0,0,0,7,50,33,7,65,11,15,190,4257,722,136,1720,222,48,7098
SED50405,0,4,0,8,0,0,16,0,8,0,0,0,0,12,7,59,5,14,7,0,90,40,51,10,28,11,0,147,30,18,6,36,12,0,106,109,46,3,81,140,0,384,794,17,3,278,44,0,1134,1684,4,0,380,32,0,2101,309,0,0,61,7,0,377,38,0,0,9,0,0,50,7,0,0,0,0,0,17,3,0,0,0,0,0,3,0,0,0,4,0,0,4,7,0,0,0,0,0,9,40,14,3,32,20,7,119,3073,224,33,932,276,14,4556
SED50502,0,10,0,7,0,0,24,3,24,5,3,0,0,36,3,241,29,23,0,4,302,14,112,23,41,4,0,193,20,47,6,66,6,0,139,85,76,19,125,13,0,317,543,56,15,347,24,3,992,852,30,5,353,37,5,1273,285,0,0,72,7,0,369,42,0,0,15,0,0,55,9,0,0,8,0,0,15,3,0,0,4,0,0,6,3,0,0,0,0,0,3,0,0,0,4,0,0,3,27,56,17,56,5,12,168,1893,658,122,1098,99,26,3902
SED50605,3,0,0,7,0,0,7,0,5,0,7,0,0,9,9,55,7,41,6,0,109,11,45,3,33,0,0,96,10,9,0,31,0,0,57,62,14,8,59,3,6,148,248,12,9,136,8,0,403,633,5,0,222,17,3,880,577,0,6,159,14,0,756,358,0,0,73,4,3,439,173,0,0,34,4,0,214,97,0,0,26,0,0,122,69,0,0,16,0,0,79,95,0,0,11,3,0,109,27,11,0,53,5,6,108,2380,157,26,890,58,16,3529
SED50702,9,46,4,7,0,0,58,3,73,7,12,0,0,94,20,441,31,48,9,5,556,41,146,44,80,8,4,314,94,74,18,74,8,0,264,315,85,14,158,16,0,596,1262,68,8,423,49,8,1818,2120,32,16,529,67,9,2771,797,5,3,122,11,3,943,208,0,0,39,0,0,251,83,0,0,16,0,0,102,27,0,0,7,3,0,36,13,0,0,4,4,0,15,10,0,0,9,3,0,26,79,52,12,80,14,25,267,5082,1028,148,1604,196,50,8125
SED50805,3,17,4,6,0,0,29,0,17,3,4,0,0,28,0,155,5,14,0,0,177,16,54,17,56,0,0,142,47,15,3,38,0,0,111,123,22,5,63,0,0,220,318,13,4,176,11,0,515,639,10,0,272,10,3,938,415,3,0,121,4,0,546,227,0,0,45,0,0,267,108,0,0,35,0,0,145,41,0,0,17,0,0,57,44,0,0,6,0,0,48,55,0,0,8,0,0,63,16,17,3,37,6,6,80,2057,326,36,904,38,15,3369
SED50906,4,20,3,7,8,0,29,3,41,9,8,5,0,68,19,277,33,40,4,0,381,46,179,118,67,22,6,433,98,73,33,108,3,4,326,400,89,20,257,32,4,796,994,35,13,509,33,3,1593,993,13,14,292,34,3,1346,208,0,0,44,3,0,259,44,0,0,7,0,0,55,18,0,0,7,0,0,22,3,3,0,0,0,0,12,0,0,0,5,0,0,7,0,0,0,0,0,0,4,51,39,19,50,21,16,191,2886,765,269,1395,165,36,5516
SED51004,0,10,0,7,0,0,11,0,10,0,3,0,0,11,0,51,3,28,0,0,77,12,44,12,24,0,0,98,13,21,12,23,0,0,65,24,40,0,64,0,0,138,416,34,12,216,15,0,686,958,11,5,420,23,0,1418,376,3,0,118,13,0,508,136,0,0,41,3,0,181,79,0,0,21,0,0,93,32,0,0,6,0,0,36,11,0,0,3,0,0,14,12,0,0,8,0,0,17,36,18,0,32,9,4,94,2106,236,47,1003,63,5,3471
