UCL_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
UCL501001,0,0,0,126,233,43443,1529,922,159,111,140,347,200,31,1549,48423,10020,265,115,10,15,18,31,17,3,784,11285,3373,48,34,7,0,5,7,6,0,279,3757,2176,84,53,13,12,10,25,14,0,174,2547,27,0,5,0,0,0,0,0,0,48,81,5579,125,90,16,11,15,36,17,0,493,6377,65,4,0,0,0,0,0,0,0,149,215,15664,391,198,27,29,35,62,38,3,1426,17881,245199,68141,52684,5844,5160,5313,6116,3426,1498,7608,400991,92103,73367,66942,12646,11506,13185,15702,6486,1332,4354,297620,15476,7257,6819,1628,1599,1805,3500,1825,485,1385,41780,252,141,117,27,23,30,71,38,27,176,904,107839,80765,73878,14303,13122,15025,19275,8351,1846,5911,340305,359,117,106,28,18,24,27,25,5,1142,1854,353400,149025,126662,20172,18296,20361,25422,11797,3346,14657,743151
UCL511001,0,0,0,4,10,1068,28,23,0,0,0,6,8,0,39,1180,285,6,6,0,0,0,0,3,0,24,324,63,0,0,0,0,0,0,0,0,3,65,28,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,3,96,5,0,0,0,0,0,0,0,0,0,0,368,9,5,0,0,0,0,3,0,33,425,6462,1787,1147,111,104,112,127,78,37,254,10214,947,1198,1237,191,208,177,210,95,33,69,4376,81,61,52,5,29,47,76,30,3,9,396,3,0,3,0,0,0,0,0,0,0,18,1030,1261,1294,201,240,225,282,128,43,76,4785,8,0,0,0,0,0,0,0,0,86,100,7494,3054,2448,308,347,341,418,204,75,418,15098
UCL512001,0,0,0,0,4,773,13,7,3,0,0,4,0,0,43,850,254,5,0,0,0,0,0,0,0,24,282,31,0,0,0,0,0,0,0,0,7,34,5,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,6,41,3,0,0,0,0,0,0,0,0,7,8,293,5,3,0,0,0,0,0,0,38,336,3302,425,251,49,25,31,56,19,26,135,4322,341,481,332,62,60,68,67,18,35,26,1484,23,47,38,29,0,15,13,4,7,9,185,3,0,0,0,0,0,0,0,0,0,0,371,528,373,90,58,87,78,23,39,30,1674,13,0,0,0,0,0,0,0,0,93,106,3688,952,622,139,88,113,134,40,61,257,6101
UCL512002,0,0,0,0,3,630,16,13,0,0,0,0,0,0,26,686,188,7,5,0,0,0,0,0,0,20,214,22,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,214,7,5,0,0,0,0,0,0,24,243,3000,463,361,25,40,27,42,37,11,119,4117,241,272,235,44,35,34,41,14,6,4,940,15,7,36,5,0,6,16,0,9,3,102,6,0,0,0,0,0,0,0,0,0,6,259,284,278,48,38,41,54,12,17,11,1041,5,0,0,0,0,0,3,0,0,9,13,3257,745,636,80,79,64,100,45,26,133,5171
UCL512003,0,0,0,0,8,391,5,6,0,0,0,0,0,0,27,432,80,0,0,0,0,0,0,0,0,11,95,30,0,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,8,9,121,0,0,0,0,0,0,0,0,17,145,1944,403,331,28,48,22,31,23,11,82,2930,365,413,464,79,82,70,58,51,23,26,1624,65,11,28,9,4,4,10,15,6,9,159,0,0,0,0,0,0,0,0,0,3,6,432,419,490,85,83,72,73,65,34,26,1784,12,0,0,0,0,0,0,0,0,13,21,2382,829,819,120,135,96,97,84,45,120,4729
UCL512004,0,0,0,0,3,130,14,3,0,0,0,4,0,0,12,157,27,0,0,0,0,0,0,0,0,3,32,12,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,5,47,1732,897,730,64,73,138,115,48,20,88,3920,378,751,804,115,148,191,251,94,48,39,2819,27,22,27,12,5,7,25,21,19,11,180,0,6,0,0,0,0,5,0,0,0,9,404,769,836,126,158,197,281,120,68,49,3010,5,5,0,0,0,0,0,0,0,29,42,2138,1676,1565,197,235,339,401,171,86,165,6974
UCL513001,0,0,0,0,0,43,0,0,0,0,0,0,0,0,5,50,4,0,3,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,4,14,713,231,193,15,26,23,45,15,0,52,1317,121,193,210,44,44,55,133,44,12,27,892,8,5,3,3,4,0,11,3,0,0,44,0,0,0,0,0,0,0,0,0,0,3,136,201,219,44,46,52,142,47,19,23,937,0,0,0,0,0,0,0,0,0,9,9,851,434,411,61,77,77,193,68,19,79,2257
UCL513002,0,0,0,0,0,127,4,0,0,0,0,0,0,0,5,142,35,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,3,44,679,121,89,11,20,3,20,13,6,36,992,66,75,76,11,17,12,28,7,3,3,305,4,3,0,0,0,3,8,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,72,80,74,11,17,20,31,14,6,6,331,0,0,0,0,0,0,0,0,0,0,0,756,202,165,23,37,26,54,23,7,42,1328
UCL513003,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,841,421,359,30,32,26,49,27,16,41,1849,193,385,445,104,71,79,100,57,18,36,1494,9,19,21,6,4,8,15,3,0,3,86,0,4,0,0,0,0,0,0,0,0,4,200,407,463,109,81,86,118,68,18,38,1583,0,0,0,0,0,0,0,0,0,3,3,1038,831,823,138,113,117,168,91,33,78,3434
UCL513004,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,402,351,49,40,53,66,31,23,58,1748,210,360,386,70,67,83,120,26,4,22,1348,26,9,9,4,6,14,13,8,0,0,82,0,0,4,0,0,0,0,0,0,0,8,234,362,393,75,77,100,133,34,9,22,1438,0,0,0,0,0,0,6,0,0,3,7,918,768,749,120,113,149,197,70,26,86,3195
