UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL501001,378,3378,27696,213225,286019,39693,6514,5976,582882,116,5553,26250,41298,3906,337,141,1410,79026,79,2165,9097,15563,3246,335,108,377,30958,199,7719,35348,56854,7157,669,253,1787,109986,120,4090,10881,3124,239,24,35,370,18883,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,18,188,236,105,101,41,31,21,735,681,15477,32599,9026,568,79,86,895,59408,180,796,807,192,79,15,10,115,2198,19,103,144,183,123,21,13,133,744,1455,27478,96596,279484,293943,40479,6882,8903,755215
UCL511001,17,91,968,8454,12705,1198,169,274,23878,8,328,1098,1147,86,0,7,98,2775,0,15,89,280,47,3,0,5,438,8,342,1187,1432,131,6,7,98,3206,4,132,211,93,0,0,0,13,450,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,5,3,0,0,0,0,0,0,9,3,142,296,136,7,0,0,12,610,16,118,71,21,3,0,0,26,238,0,8,4,12,12,0,0,7,50,39,707,2524,10053,12858,1203,183,415,27979
UCL512001,9,127,1084,5130,3778,435,107,135,10806,8,211,420,219,11,0,0,35,910,0,15,47,23,9,0,0,5,98,6,227,468,244,22,0,0,35,1006,0,20,4,14,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,3,0,0,0,18,0,22,12,14,6,0,0,0,59,0,21,48,16,4,0,0,6,99,0,5,0,5,7,0,0,0,18,23,399,1618,5418,3810,438,112,178,11993
UCL512002,8,70,521,3389,4563,402,55,107,9111,0,123,419,375,35,0,0,26,989,0,20,18,56,29,3,0,0,123,0,142,438,428,59,4,0,34,1110,0,0,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,0,0,20,0,9,29,5,3,0,0,0,47,4,40,73,20,3,0,0,6,152,0,4,5,5,0,0,0,4,17,19,266,1063,3843,4638,409,61,146,10445
UCL512003,17,78,689,4400,4339,471,79,127,10202,3,111,662,394,31,0,0,27,1225,0,8,86,93,80,15,0,0,285,5,116,743,489,109,19,4,27,1512,0,60,85,48,6,0,0,8,198,0,4,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,9,0,66,99,44,6,0,0,8,224,9,28,15,14,5,0,0,0,74,0,6,8,8,3,0,0,3,27,26,294,1557,4952,4455,493,86,168,12033
UCL512004,7,103,517,3429,3280,514,95,157,8106,3,207,514,553,41,0,0,43,1369,0,9,39,103,41,4,0,3,202,3,215,553,656,80,4,0,50,1569,0,42,61,6,3,0,0,3,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,42,61,13,3,0,0,3,125,25,90,12,12,4,4,0,0,148,0,4,0,0,7,0,0,0,18,38,465,1150,4116,3376,522,101,216,9972
UCL513001,16,104,293,1524,1266,154,29,87,3469,18,102,199,101,24,0,0,26,472,9,30,110,62,9,0,0,0,222,34,137,309,165,29,0,0,27,695,0,15,75,17,4,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,78,21,4,0,0,3,124,31,88,22,14,12,6,0,6,182,11,28,13,7,4,0,0,8,63,85,370,710,1736,1318,162,31,127,4532
UCL513002,3,48,206,1610,1175,154,30,37,3269,5,64,184,89,15,4,0,12,373,0,0,17,13,3,0,0,0,40,5,65,200,102,22,3,0,12,413,0,36,35,8,0,0,0,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,10,0,0,0,5,90,13,6,4,0,0,0,0,0,32,0,5,8,3,6,4,0,0,29,18,157,461,1731,1206,161,29,55,3828
UCL513003,0,35,127,1498,2085,182,28,64,4015,0,33,252,198,32,4,0,18,534,0,34,36,62,4,0,0,4,142,0,61,285,266,36,4,0,21,676,4,50,26,13,0,0,0,3,91,0,32,0,0,0,0,0,0,30,0,7,28,10,0,0,0,0,40,0,61,65,5,0,0,0,0,137,0,0,0,0,0,0,0,0,0,4,147,111,29,0,0,0,4,298,8,27,11,0,8,0,0,4,60,0,4,0,5,0,0,0,8,13,19,275,540,1790,2126,182,29,98,5062
UCL513004,7,117,202,1602,1222,117,17,57,3347,0,107,184,275,56,4,0,19,642,0,15,54,122,49,6,0,5,249,0,122,228,395,102,4,0,25,883,0,75,134,45,0,0,5,4,258,0,23,79,11,0,0,0,0,116,0,24,33,17,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,241,76,0,0,3,5,453,5,31,9,9,0,3,0,3,65,0,11,4,0,0,0,5,0,18,15,403,691,2084,1324,133,25,92,4766
