DATE,MONTH,GROUP,REASON FOR SEEKING ASSISTANCE,MEASURE,VALUE
2018-04-30,Apr18,Accommodation,Accommodation,,2233.0
2018-04-30,Apr18,Accommodation,Housing crisis (e.g. eviction),,1286.0
2018-04-30,Apr18,Accommodation,Inadequate or inappropriate dwelling conditions,,1071.0
2018-04-30,Apr18,Accommodation,Previous accommodation ended,,704.0
2018-04-30,Apr18,Financial,Employment difficulties,,248.0
2018-04-30,Apr18,Financial,Financial,,2384.0
2018-04-30,Apr18,Financial,Financial difficulties,,1834.0
2018-04-30,Apr18,Financial,Housing affordability stress,,1153.0
2018-04-30,Apr18,Financial,Problematic gambling,,8.0
2018-04-30,Apr18,Financial,Unemployment,,613.0
2018-04-30,Apr18,Health,Health,,1230.0
2018-04-30,Apr18,Health,Medical issues,,346.0
2018-04-30,Apr18,Health,Mental health issues,,719.0
2018-04-30,Apr18,Health,Problematic alcohol use,,242.0
2018-04-30,Apr18,Health,Problematic drug or substance use,,456.0
2018-04-30,Apr18,Interpersonal,Family and domestic violence,,2373.0
2018-04-30,Apr18,Interpersonal,Interpersonal relationships,,3398.0
2018-04-30,Apr18,Interpersonal,Non-family violence,,113.0
2018-04-30,Apr18,Interpersonal,Relationship/family breakdown,,1379.0
2018-04-30,Apr18,Interpersonal,Sexual abuse,,162.0
2018-04-30,Apr18,Interpersonal,Time out from family/other situation,,789.0
2018-04-30,Apr18,Not stated,Not stated,,97.0
2018-04-30,Apr18,Other,Discrimination including racial discrimination,,16.0
2018-04-30,Apr18,Other,Disengagement with school or other education and training,,120.0
2018-04-30,Apr18,Other,Itinerant,,89.0
2018-04-30,Apr18,Other,Lack of family and/or community support,,1087.0
2018-04-30,Apr18,Other,Other,,1787.0
2018-04-30,Apr18,Other,Other (not elsewhere classified),,545.0
2018-04-30,Apr18,Other,Transition from custodial arrangements,,82.0
2018-04-30,Apr18,Other,Transition from foster care and child safety residential placements,,46.0
2018-04-30,Apr18,Other,Transition from other care arrangements,,84.0
2018-04-30,Apr18,Other,Unable to return home due to environmental reasons,,149.0
2018-04-30,Apr18,Total,Total clients,,5818.0
2019-04-30,Apr19,Accommodation,Accommodation,,2636.0
2019-04-30,Apr19,Accommodation,Housing crisis (e.g. eviction),,1588.0
2019-04-30,Apr19,Accommodation,Inadequate or inappropriate dwelling conditions,,1210.0
2019-04-30,Apr19,Accommodation,Previous accommodation ended,,818.0
2019-04-30,Apr19,Financial,Employment difficulties,,260.0
2019-04-30,Apr19,Financial,Financial,,2797.0
2019-04-30,Apr19,Financial,Financial difficulties,,2108.0
2019-04-30,Apr19,Financial,Housing affordability stress,,1468.0
2019-04-30,Apr19,Financial,Problematic gambling,,12.0
2019-04-30,Apr19,Financial,Unemployment,,816.0
2019-04-30,Apr19,Health,Health,,1630.0
2019-04-30,Apr19,Health,Medical issues,,523.0
2019-04-30,Apr19,Health,Mental health issues,,951.0
