DATE,MONTH,SEX,AGE GROUP,MEASURE,VALUE
2017-07-31,Jul17,Total,60-64,,119.0
2017-07-31,Jul17,Male,45-49,,170.0
2017-07-31,Jul17,Male,5-9,,223.0
2017-07-31,Jul17,Male,50-54,,139.0
2017-07-31,Jul17,Male,55-59,,74.0
2017-07-31,Jul17,Male,60-64,,55.0
2017-07-31,Jul17,Male,65+,,78.0
2017-07-31,Jul17,Total,0-4,,579.0
2017-07-31,Jul17,Total,10-14,,350.0
2017-07-31,Jul17,Male,40-44,,171.0
2017-07-31,Jul17,Total,15-19,,593.0
2017-07-31,Jul17,Total,25-29,,495.0
2017-07-31,Jul17,Total,30-34,,589.0
2017-07-31,Jul17,Total,35-39,,586.0
2017-07-31,Jul17,Total,40-44,,529.0
2017-07-31,Jul17,Total,45-49,,440.0
2017-07-31,Jul17,Total,5-9,,454.0
2017-07-31,Jul17,Total,50-54,,305.0
2017-07-31,Jul17,Total,55-59,,174.0
2017-07-31,Jul17,Total,20-24,,556.0
2017-07-31,Jul17,Total,65+,,163.0
2017-07-31,Jul17,Male,35-39,,156.0
2017-07-31,Jul17,Male,25-29,,120.0
2017-07-31,Jul17,Female,0-4,,267.0
2017-07-31,Jul17,Female,10-14,,186.0
2017-07-31,Jul17,Female,15-19,,369.0
2017-07-31,Jul17,Female,20-24,,395.0
2017-07-31,Jul17,Female,25-29,,375.0
2017-07-31,Jul17,Female,30-34,,436.0
2017-07-31,Jul17,Female,35-39,,430.0
2017-07-31,Jul17,Female,40-44,,358.0
2017-07-31,Jul17,Male,30-34,,153.0
2017-07-31,Jul17,Female,45-49,,270.0
2017-07-31,Jul17,Female,50-54,,166.0
2017-07-31,Jul17,Female,55-59,,100.0
2017-07-31,Jul17,Female,60-64,,64.0
2017-07-31,Jul17,Female,65+,,85.0
2017-07-31,Jul17,Male,0-4,,312.0
2017-07-31,Jul17,Male,10-14,,164.0
2017-07-31,Jul17,Male,15-19,,224.0
2017-07-31,Jul17,Male,20-24,,161.0
2017-07-31,Jul17,Female,5-9,,231.0
2017-07-31,Jul17,Total,All ages,,5932.0
2017-08-31,Aug17,Total,All ages,,5988.0
2017-08-31,Aug17,Male,45-49,,170.0
2017-08-31,Aug17,Male,5-9,,217.0
2017-08-31,Aug17,Male,50-54,,131.0
2017-08-31,Aug17,Male,55-59,,95.0
2017-08-31,Aug17,Male,60-64,,51.0
2017-08-31,Aug17,Male,65+,,78.0
2017-08-31,Aug17,Total,0-4,,586.0
2017-08-31,Aug17,Total,10-14,,351.0
2017-08-31,Aug17,Total,15-19,,587.0
2017-08-31,Aug17,Female,0-4,,294.0
2017-08-31,Aug17,Total,20-24,,557.0
2017-08-31,Aug17,Total,30-34,,588.0
2017-08-31,Aug17,Total,35-39,,601.0
