UCL_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
UCL501001,117008,33865,25682,2713,2416,2488,2789,1644,731,3701,193031,42602,36006,30311,5593,5109,6105,7544,3021,591,2063,138961,6048,2795,2564,632,637,727,1372,642,181,558,16151,112,72,57,12,11,13,37,30,20,76,429,48760,38865,32936,6239,5762,6844,8955,3694,791,2702,155545,160,58,44,10,9,8,13,16,9,750,1075,165929,72792,58662,8961,8184,9345,11757,5342,1527,7152,349655,122653,32796,25963,3061,2665,2708,3127,1723,745,3692,199119,48577,36455,36001,6988,6327,7010,8050,3392,759,2243,155789,9413,4458,4249,994,953,1085,2124,1177,308,826,25593,133,63,62,12,11,17,34,13,9,98,449,58124,40977,40312,7995,7292,8108,10205,4581,1075,3169,181831,187,51,48,15,10,11,10,8,3,515,848,180955,73820,66314,11068,9968,10828,13343,6315,1818,7373,381803,239659,66659,51641,5769,5084,5196,5914,3362,1477,7392,392159,91176,72458,66315,12582,11439,13115,15595,6413,1352,4308,294754,15467,7251,6816,1628,1593,1808,3495,1820,489,1387,41745,246,137,116,27,22,29,73,38,27,172,879,106883,79844
UCL511001,3060,867,564,42,42,49,59,36,17,116,4856,421,586,575,79,96,76,87,43,17,32,2004,29,29,17,3,10,21,24,9,7,3,150,0,3,5,0,0,0,0,0,0,0,7,455,619,592,81,102,100,123,54,20,32,2163,5,0,0,0,3,0,0,0,0,83,92,3513,1485,1155,122,145,152,178,84,29,235,7107,3245,900,579,63,61,58,71,48,14,122,5169,531,611,661,118,121,100,121,55,18,35,2377,49,38,35,9,19,18,43,22,4,0,242,3,0,3,0,0,0,0,0,0,0,9,582,646,702,123,141,124,166,81,24,39,2637,3,0,0,0,0,0,0,0,0,4,12,3839,1550,1285,190,200,183,240,123,38,165,7812,6305,1771,1149,106,102,111,130,78,30,238,10024,956,1199,1234,195,213,174,216,98,36,66,4385,79,62,52,5,29,47,74,30,3,5,396,6,5,3,0,0,0,0,0,0,0,21,1038,1265
UCL512001,1430,213,130,23,14,9,27,9,17,59,1935,142,223,146,36,31,24,22,4,26,13,676,13,20,15,12,0,9,8,0,6,0,80,0,0,0,0,0,0,0,0,0,0,0,155,246,165,48,31,36,29,9,35,18,764,3,0,0,0,0,0,0,0,0,83,92,1587,454,299,67,43,44,58,16,56,163,2786,1826,226,124,32,21,21,33,9,3,70,2359,212,264,185,31,29,40,43,11,5,12,830,19,26,22,14,0,9,4,0,0,5,98,0,0,0,0,0,0,0,0,0,0,0,225,292,201,46,26,52,54,13,5,10,934,14,0,0,0,0,0,0,0,0,4,15,2062,520,328,76,47,73,82,26,7,87,3309,3257,442,252,51,32,34,59,17,26,127,4294,352,490,331,71,59,65,73,21,28,21,1508,27,47,38,29,0,15,13,4,7,9,178,3,0,0,0,0,0,0,0,0,0,0,381,539
UCL512002,1323,214,163,14,19,11,11,9,6,60,1833,107,120,102,14,22,19,16,4,4,3,416,3,3,24,0,0,0,3,0,0,6,48,0,0,0,0,0,0,0,0,0,0,0,110,124,122,20,24,16,20,5,5,9,462,0,0,0,0,0,0,0,0,0,9,13,1433,334,289,32,43,30,34,22,15,80,2307,1601,240,200,11,17,16,25,22,0,57,2192,137,157,143,26,16,18,22,11,4,0,540,10,9,14,5,0,0,7,3,5,0,57,6,0,0,0,0,0,0,0,0,0,6,154,161,160,28,18,22,30,11,12,3,597,0,0,0,0,0,0,3,0,0,0,8,1752,400,360,41,38,33,63,29,12,57,2796,2922,454,368,31,38,24,38,32,10,117,4024,249,276,244,43,39,40,39,14,6,4,957,15,7,33,5,3,6,17,0,9,3,102,6,0,0,0,0,0,0,0,0,0,4,264,286
UCL512003,947,191,150,13,19,18,14,15,3,41,1404,168,198,204,32,37,31,22,23,15,9,750,25,4,3,0,0,0,9,0,5,0,54,0,0,0,0,0,0,0,0,0,0,3,194,200,208,33,38,41,27,25,20,14,800,4,0,0,0,0,0,0,0,0,3,7,1143,386,353,51,63,55,42,37,19,62,2213,1041,215,180,17,34,18,12,12,4,48,1574,216,217,256,49,42,34,40,34,10,12,906,37,11,23,6,0,5,5,6,4,3,107,0,0,0,0,0,0,0,0,0,0,4,253,224,280,56,42,38,43,39,17,19,1020,8,0,0,0,0,0,0,0,0,10,21,1299,447,461,74,78,59,53,51,19,71,2606,1984,405,327,29,51,30,27,20,11,93,2977,383,413,455,78,82,67,56,58,27,23,1655,70,11,28,9,4,9,10,10,6,9,158,0,0,0,0,0,0,0,0,0,0,0,451,429
UCL512004,1000,445,376,30,41,72,63,23,11,58,2126,171,413,399,59,76,79,130,57,29,29,1439,8,9,12,4,8,3,12,9,12,3,72,0,3,0,0,0,0,0,0,0,0,3,174,426,406,55,82,90,143,68,36,30,1512,4,4,0,0,0,0,0,0,0,17,19,1179,874,787,89,126,160,203,92,46,107,3661,822,457,374,42,36,66,53,33,9,25,1912,216,346,418,66,74,109,121,37,17,15,1419,19,10,16,9,3,5,19,12,7,3,106,0,0,0,0,0,0,0,0,0,0,4,237,356,433,77,77,111,137,57,27,19,1532,0,8,0,0,0,0,0,0,0,7,19,1053,816,807,117,116,183,191,83,37,59,3463,1818,903,751,70,79,138,116,54,18,88,4038,384,760,813,121,151,189,255,100,44,43,2858,29,22,27,12,11,7,25,21,19,11,177,0,6,0,0,0,0,0,0,0,0,9,412,783
UCL513001,709,131,110,9,9,13,24,7,0,37,1044,73,114,84,16,16,25,54,19,7,10,416,0,3,0,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,80,113,81,14,16,25,54,27,11,10,432,0,0,0,0,0,0,0,0,0,7,7,791,244,196,24,26,39,79,30,11,54,1489,785,167,130,19,24,17,28,15,0,37,1212,112,101,141,29,30,36,101,36,3,16,604,9,5,4,0,0,0,11,4,0,0,32,0,0,0,0,0,0,0,0,0,0,4,118,106,147,26,35,42,108,43,3,16,641,4,0,0,0,0,0,0,0,0,3,3,904,272,275,44,57,53,138,57,3,52,1856,1491,293,240,22,33,32,50,24,0,73,2257,181,213,229,47,43,60,152,62,14,24,1026,8,4,3,3,4,0,13,4,0,0,49,0,0,0,0,0,0,0,0,0,0,4,197,222
UCL513002,326,63,42,7,5,6,11,9,0,15,480,31,32,36,6,3,6,15,0,0,0,129,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,26,36,36,6,4,6,16,4,0,0,142,0,0,0,0,0,0,0,0,0,0,0,355,101,74,13,18,6,23,9,0,22,621,367,62,54,4,14,3,8,7,4,20,546,47,44,56,8,16,14,16,5,3,3,209,0,0,0,0,0,3,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,50,43,55,8,16,18,19,10,3,3,223,0,0,0,0,0,0,0,0,0,0,0,419,107,111,11,26,17,31,16,3,22,767,690,121,95,11,20,11,20,13,3,37,1025,73,77,88,15,20,17,32,11,3,3,339,3,3,0,0,0,3,8,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,77,83
UCL513003,638,282,223,14,15,22,22,12,9,29,1276,137,223,224,44,35,33,50,24,7,20,789,6,10,12,0,0,4,0,4,0,0,33,0,4,0,0,0,0,0,0,0,0,5,143,236,236,44,34,36,53,28,7,20,826,0,0,0,0,0,0,0,0,0,0,7,785,514,459,59,54,57,75,36,18,52,2113,443,194,186,23,15,13,32,16,6,15,942,109,176,237,65,41,47,60,39,12,21,810,4,16,13,0,0,3,7,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,112,189,249,67,44,57,70,45,12,24,862,0,0,0,0,0,0,0,0,0,0,0,555,383,438,87,64,64,99,62,13,35,1805,1089,476,414,32,36,32,53,31,15,46,2218,238,399,463,108,76,85,109,68,18,36,1595,13,17,20,0,3,5,13,3,0,3,83,0,4,0,0,0,0,0,0,0,0,4,247,424
UCL513004,571,270,210,16,20,24,37,16,15,39,1225,138,245,193,32,34,52,60,13,4,22,786,8,0,0,0,0,4,0,0,0,0,26,4,0,3,0,0,0,0,0,0,0,11,151,246,198,36,34,54,68,18,4,22,822,0,0,0,0,0,0,0,0,0,6,9,725,520,408,54,60,80,99,35,12,57,2052,332,193,179,23,17,29,36,12,12,19,853,103,162,223,44,38,35,62,13,4,5,695,15,8,3,5,6,8,13,5,0,0,58,0,0,0,0,0,0,0,0,0,0,8,118,168,230,43,45,45,72,20,4,4,760,0,0,0,0,0,0,0,0,0,0,3,450,366,406,70,63,71,109,30,11,33,1616,903,465,389,44,37,52,65,38,23,58,2078,238,407,416,76,75,86,120,31,4,21,1479,22,10,5,4,6,14,13,8,0,0,82,3,0,3,0,0,0,0,0,0,0,12,270,416
