IREG_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
IREG501,25,36,34,444,1266,1078,1266,2355,2091,2184,2167,2167,190,369,300,1.1,0.9,1,3.1,2.5,2.7,14.1,3.6,6.8
IREG502,26,44,42,464,803,766,1207,1475,1447,1500,1517,1517,218,250,250,1,0.7,0.7,3,2.3,2.4,10.6,1.4,2.4
IREG503,26,37,36,411,1110,1034,1289,2070,2010,1300,1517,1517,162,290,272,1.1,0.8,0.8,3.2,2.4,2.5,13.4,1.7,2.8
IREG504,25,37,32,342,1320,717,989,2167,1584,1733,2000,2000,110,255,165,1.3,0.9,1.1,3.6,2.2,2.9,27.1,3.7,14.6
IREG505,23,37,37,610,878,874,1677,1902,1897,1900,1938,1935,330,350,350,0.9,0.8,0.8,3.1,2.6,2.6,7,1.8,1.9
IREG506,26,34,33,520,1670,1560,2034,3054,2886,1733,1863,1842,125,230,200,1,0.9,0.9,3.2,2.6,2.7,10.6,2.2,3.6
IREG507,23,45,44,497,712,705,1359,1388,1387,1517,1600,1600,275,300,300,0.9,0.7,0.7,3.1,2.4,2.4,7,1.3,1.6
IREG508,27,37,32,324,1348,461,842,2002,1327,1733,1600,1629,90,151,100,1.2,0.7,1,3.5,1.9,2.8,23.3,2.3,14.6
IREG594,40,40,40,298,481,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,37,40,40,1916,2141,2123,0,2250,2250,0,1733,1733,0,0,0,0,0.7,0.7,0,1.7,1.7,0,0,0
